subject_id,source_fold,delta_P,delta_U,delta_D,slope_P,slope_U,slope_D,AUC_P,AUC_U,AUC_D,min_U,max_drop_U,max_drop_D,late_minus_early_U,late_minus_early_D,cumulative_predicted_utility_damage,max_predicted_utility_damage,fraction_steps_predicted_damage,cumulative_predicted_decision_damage,max_predicted_decision_damage,mean_actual_utility_delta_small_step,mean_predicted_utility_delta,mean_cos_task_G,final_history_BA,final_history_loss,P_static,U_static,D_static,I_static,history_BA_t0,history_loss_t0,history_margin_t0,history_gradient_norm_t0,BA_NoAdapt_S2,BA_Generic_S2,FutureDeltaBA,NegativeTransfer,role,R_raw
41,3,0.8861518158354076,0.06000000000000005,0.06,0.12650158575547235,0.01171428571428572,0.01171428571428571,0.7983372567675835,0.040000000000000036,0.039999999999999994,0.0,0.0,0.0,0.04500000000000004,0.045,0.0,0.0,0.0,0.0,0.0,0.011257521614405807,0.012579398424462072,-0.7598019509467313,0.79,0.4502944211239295,0.9999999999999998,0.36,0.62,0.0804094620398468,0.7,0.5322215597990272,1.84983330398798,0.7815848171615966,0.78,0.78,0.0,0,outcome,0.0
46,3,0.8527163757942184,0.0,0.0,0.12180905795306853,0.0,0.0,0.7675381269774212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009781013199494138,0.0098701140511737,-0.8339872410930631,0.7,0.7152916517528775,0.9999999999999998,0.16999999999999993,0.39,0.12066923660198059,0.7,0.7853883287572163,2.65949792444706,0.5379170149114155,0.74,0.73,-0.010000000000000009,1,outcome,0.0
9,3,0.8273233149447802,0.039999999999999925,0.04,0.11802717466713938,0.007428571428571417,0.007428571428571427,0.7457444207662556,0.012,0.012,0.0,0.0,0.0,0.02999999999999997,0.03,0.0,0.0,0.0,0.0,0.0,0.003179880377283462,0.0032499048101252937,-0.7848746265359887,0.8899999999999999,0.22577216308409834,0.9999999999999998,0.39999999999999997,0.5,0.35516819108372416,0.84,0.2511723145435922,3.4518582063913343,0.3311650917852636,0.81,0.8,-0.010000000000000009,1,outcome,0.0
11,4,0.6682841816307782,0.040000000000000036,0.04,0.09473332068154752,0.005714285714285717,0.0057142857142857125,0.6066878028667106,0.01200000000000001,0.012,0.0,0.0,0.0,0.020000000000000018,0.02,0.0,0.0,0.0,0.0,0.0,0.0022134478450297258,0.002332096007310515,-0.5786267461049992,0.74,0.5841195509831629,0.9999999999999999,0.04999999999999993,0.09,0.08440564118179868,0.6799999999999999,0.6148102675332598,1.4729023487865924,0.37096448565468304,0.71,0.71,0.0,0,outcome,0.0
23,4,0.4936965880824286,0.020000000000000018,0.02,0.07053674490009701,0.0042857142857142885,0.004285714285714285,0.44412268933159915,0.008000000000000007,0.008,0.0,0.0,0.0,0.020000000000000018,0.02,0.0,0.0,0.0,0.01,0.01,0.003510134245317276,0.0036207032481095844,-0.45852317752992916,0.8,0.501192727680889,0.9999999999999999,0.050000000000000044,0.11,0.11392088741913464,0.74,0.5816154590864304,3.4239831551909448,0.6016510887210041,0.79,0.81,0.020000000000000018,0,outcome,0.01
3,4,0.8042539722086769,-1.1102230246251565e-16,0.04,0.10971833326497862,-0.002000000000000027,0.007714285714285711,0.7630483973852724,0.0019999999999999684,0.026000000000000002,-0.010000000000000009,0.010000000000000009,0.0,-0.01000000000000012,0.03,0.0,0.0,0.0,0.0,0.0,0.003693232847871131,0.00419477147751488,-0.7082550123755116,0.83,0.36359242477667075,0.9999999999999999,0.030000000000000027,0.15,0.03794175809981963,0.8200000000000001,0.3940704731817393,2.931051265746355,0.48468624563742413,0.94,0.95,0.010000000000000009,0,outcome,0.010000000000000009
30,4,0.6761128716129775,0.010000000000000009,0.01,0.09627875719622093,0.0022857142857142876,0.002285714285714285,0.6106873845812963,0.0030000000000000027,0.003,0.0,0.0,0.0,0.010000000000000009,0.01,0.0,0.0,0.0,0.0,0.0,0.0015260774163772916,0.0015588497575119928,-0.6469271392517056,0.8600000000000001,0.43507414669864053,0.9999999999999999,0.07000000000000006,0.09,0.041725787283862885,0.8500000000000001,0.45291169143715304,3.267812613546848,0.2789835032822039,0.75,0.75,0.0,0,outcome,0.0
31,4,0.738316951927821,0.0,0.02,0.10458163025403029,-0.0008571428571428576,0.0037142857142857134,0.6707862369160911,-0.006000000000000005,0.008,-0.010000000000000009,0.010000000000000009,0.0,-0.0050000000000000044,0.015,0.0,0.0,0.0,0.0,0.0,0.0007237516336273342,0.0007383799190222954,-0.7039981229588556,0.8400000000000001,0.36896469891441197,0.9999999999999999,1.1102230246251565e-16,0.04,0.07379882565655428,0.8400000000000001,0.37616479606328695,2.6006652798503636,0.1733479825178499,0.8,0.8,0.0,0,outcome,0.010000000000000009
49,4,0.8260515753447485,0.010000000000000009,0.01,0.11790069610104853,0.0031428571428571456,0.003142857142857142,0.7442491106149645,0.013000000000000012,0.013000000000000001,0.0,0.0,0.0,0.015000000000000013,0.015,0.0,0.0,0.0,0.01,0.01,0.005872090108854944,0.0060307963368130026,-0.7504673640487277,0.79,0.4166724406507646,0.9999999999999999,0.020000000000000018,0.02,0.07587398119462452,0.77,0.4674337384008795,2.794712130278349,0.4574508013077039,0.78,0.77,-0.010000000000000009,1,outcome,0.01
8,4,0.887731836604432,0.030000000000000027,0.13,0.12582502554177655,0.007428571428571434,0.02628571428571428,0.8068469716574669,0.013000000000000012,0.079,-0.010000000000000009,0.010000000000000009,0.0,0.030000000000000027,0.1,0.0,0.0,0.0,0.0,0.0,0.03393008837688638,0.040281864901482944,-0.6739865426673787,0.76,0.4984020821110805,0.9999999999999999,-0.010000000000000009,0.13,0.013403791897937991,0.72,0.7429416911747304,3.23635681271553,1.5650124555559801,0.72,0.73,0.010000000000000009,0,outcome,0.010000000000000009
