block,dataset,task,subject_id,future_session,fold,seed_i,seed_j,family,fusion_rule,trials,trial_identity_sha256,label_sha256,class_order,BA_A,BA_B,macro_F1_A,macro_F1_B,ensemble_BA,ensemble_macro_F1,gain_over_best_pp,gain_over_mean_pp,exclusive_correct_fraction,correct_A,correct_B,ensemble_correct,orientation_count,orientation_BA_difference_pp,G_EE_pp,G_LL_pp,G_EL_pp,D_avg_pp,D_best_pp
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,LiteBN_homogeneous,LOGIT50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.55,0.5800000000000001,0.5248653785239151,0.525101763907734,0.56,0.5225694444444444,-2.0000000000000018,-0.5000000000000004,0.17,55,58,56,,,,,,,
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,Heterogeneous_A,LOGIT50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.64,0.5800000000000001,0.6179966044142615,0.525101763907734,0.62,0.5876736111111112,-2.0000000000000018,0.9999999999999898,0.14,64,58,62,,,,,,,
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,Heterogeneous_B,LOGIT50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.63,0.55,0.5783475783475784,0.5248653785239151,0.63,0.5960257670051315,0.0,3.9999999999999925,0.24,63,55,63,,,,,,,
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,EEGNet_homogeneous,PROB50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.64,0.63,0.6179966044142615,0.5783475783475784,0.62,0.5824175824175825,-2.0000000000000018,-1.5000000000000013,0.17,64,63,62,,,,,,,
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,LiteBN_homogeneous,PROB50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.55,0.5800000000000001,0.5248653785239151,0.525101763907734,0.56,0.5225694444444444,-2.0000000000000018,-0.5000000000000004,0.17,55,58,56,,,,,,,
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,Heterogeneous_A,PROB50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.64,0.5800000000000001,0.6179966044142615,0.525101763907734,0.62,0.5876736111111112,-2.0000000000000018,0.9999999999999898,0.14,64,58,62,,,,,,,
OpenBMI_MI,OpenBMI,MI,24,2,0,0,1,Heterogeneous_B,PROB50,100,1f10f1f71e29537dabe48621e2747816af5f98e8778751e8cb8b2cdd1dc99f6a,e4132ad4afb661ec90dea2624b1687cbeba5ec7948fdb1a0a8f5da5dc19baaab,"[0, 1]",0.63,0.55,0.5783475783475784,0.5248653785239151,0.63,0.5960257670051315,0.0,3.9999999999999925,0.24,63,55,63,,,,,,,
OpenBMI_MI,OpenBMI,MI,25,2,0,0,1,EEGNet_homogeneous,LOGIT50,100,dfe3a302cde71cfeb04b25a148db5bdc7ee2ab61f96d05b2062857082285069a,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.98,1.0,0.9799919967987194,1.0,1.0,1.0,0.0,1.0000000000000009,0.02,98,100,100,,,,,,,
OpenBMI_MI,OpenBMI,MI,25,2,0,0,1,LiteBN_homogeneous,LOGIT50,100,dfe3a302cde71cfeb04b25a148db5bdc7ee2ab61f96d05b2062857082285069a,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.96,0.99,0.9599358974358975,0.9899989998999901,0.98,0.9799919967987194,-1.0000000000000009,0.5000000000000004,0.03,96,99,98,,,,,,,
OpenBMI_MI,OpenBMI,MI,25,2,0,0,1,Heterogeneous_A,LOGIT50,100,dfe3a302cde71cfeb04b25a148db5bdc7ee2ab61f96d05b2062857082285069a,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.98,0.99,0.9799919967987194,0.9899989998999901,0.99,0.9899989998999901,0.0,0.5000000000000004,0.03,98,99,99,,,,,,,
OpenBMI_MI,OpenBMI,MI,25,2,0,0,1,Heterogeneous_B,LOGIT50,100,dfe3a302cde71cfeb04b25a148db5bdc7ee2ab61f96d05b2062857082285069a,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",1.0,0.96,1.0,0.9599358974358975,0.99,0.9899989998999901,-1.0000000000000009,1.0000000000000009,0.04,100,96,99,,,,,,,
