dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_id,matched_subject,assigned_subject
OpenBMI,outcome,1,0,48,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6100000000000001,0.6080795899909557,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,50
OpenBMI,outcome,1,0,50,correct_adapter,pda_r1_lx0.5_lp0.01,0.56,0.5584102769971899,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,
OpenBMI,outcome,1,0,50,wrong_adapter,pda_r1_lx0.5_lp0.01,0.56,0.5584102769971899,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,14,
OpenBMI,outcome,1,0,50,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.5700000000000001,0.5501621508525996,False,False,dca465c3da21d6c33b39f440bc4640dcedd4440b685fe5262d29e7afcd6fe77f,,2
OpenBMI,outcome,1,1,2,correct_adapter,pda_r1_lx0.5_lp0.01,0.71,0.7076318177235609,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,2,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6599999999999999,0.6486151302190988,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,43,
OpenBMI,outcome,1,1,2,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.67,0.66996699669967,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,14
OpenBMI,outcome,1,1,14,correct_adapter,pda_r1_lx0.5_lp0.01,0.8300000000000001,0.8295739348370927,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,14,wrong_adapter,pda_r1_lx0.5_lp0.01,0.79,0.78997899789979,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,2,
OpenBMI,outcome,1,1,14,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.77,0.7688674505074866,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,34
OpenBMI,outcome,1,1,34,correct_adapter,pda_r1_lx0.5_lp0.01,0.63,0.6093337556752191,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,34,wrong_adapter,pda_r1_lx0.5_lp0.01,0.62,0.5967741935483871,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,40,
OpenBMI,outcome,1,1,34,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.62,0.5967741935483871,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,40
OpenBMI,outcome,1,1,40,correct_adapter,pda_r1_lx0.5_lp0.01,0.81,0.8098288459613652,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,40,wrong_adapter,pda_r1_lx0.5_lp0.01,0.8,0.7987117552334944,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,34,
OpenBMI,outcome,1,1,40,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.81,0.8095238095238095,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,43
OpenBMI,outcome,1,1,43,correct_adapter,pda_r1_lx0.5_lp0.01,0.84,0.8376623376623377,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,43,wrong_adapter,pda_r1_lx0.5_lp0.01,0.84,0.8383838383838383,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,2,
OpenBMI,outcome,1,1,43,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.83,0.8279178054458953,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,44
OpenBMI,outcome,1,1,44,correct_adapter,pda_r1_lx0.5_lp0.01,0.8999999999999999,0.8996386993175431,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,44,wrong_adapter,pda_r1_lx0.5_lp0.01,0.86,0.8585858585858586,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,50,
OpenBMI,outcome,1,1,44,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.88,0.8792270531400965,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,48
OpenBMI,outcome,1,1,48,correct_adapter,pda_r1_lx0.5_lp0.01,0.63,0.6236395076797885,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,48,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6499999999999999,0.6491228070175439,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,14,
OpenBMI,outcome,1,1,48,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6399999999999999,0.6386993175431553,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,50
OpenBMI,outcome,1,1,50,correct_adapter,pda_r1_lx0.5_lp0.01,0.6,0.5998399359743898,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,
OpenBMI,outcome,1,1,50,wrong_adapter,pda_r1_lx0.5_lp0.01,0.65,0.6439833180754755,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,44,
OpenBMI,outcome,1,1,50,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.63,0.628178072555522,False,False,46ff46a0a0460969d5656eb4647adefee42a772a27f61aa3e4a6398828ee82e0,,2
OpenBMI,outcome,1,2,2,correct_adapter,pda_r1_lx0.5_lp0.01,0.7,0.6980676328502415,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,,
OpenBMI,outcome,1,2,2,wrong_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7144022847817217,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,50,
OpenBMI,outcome,1,2,2,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.73,0.7253585596582239,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,,14
OpenBMI,outcome,1,2,14,correct_adapter,pda_r1_lx0.5_lp0.01,0.6599999999999999,0.6594551282051282,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,,
OpenBMI,outcome,1,2,14,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6788438378161381,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,34,
OpenBMI,outcome,1,2,14,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6788438378161381,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,,34
OpenBMI,outcome,1,2,34,correct_adapter,pda_r1_lx0.5_lp0.01,0.75,0.7469379491851402,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,,
OpenBMI,outcome,1,2,34,wrong_adapter,pda_r1_lx0.5_lp0.01,0.72,0.72,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,14,
OpenBMI,outcome,1,2,34,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.75,0.7469379491851402,False,False,9a4f0028092ff5c494dfc08b3143502538f8bc9c0f39b0170422dee1dff805be,,40
