dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,matched_subject,assigned_subject
OpenBMI,outcome,0,1,47,full_pda,pda_r1_lx0.5_lp0.01,0.85,0.8465473145780051,False,False,,
OpenBMI,outcome,0,1,47,correct_adapter,pda_r1_lx0.5_lp0.01,0.85,0.8465473145780051,False,False,,
OpenBMI,outcome,0,1,47,wrong_adapter,pda_r1_lx0.5_lp0.01,0.8400000000000001,0.8357963875205254,False,False,46,
OpenBMI,outcome,0,1,47,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.85,0.8481627695110842,False,False,,49
OpenBMI,outcome,0,1,49,population,pda_r1_lx0.5_lp0.01,0.8500000000000001,0.8492613807657522,False,False,,
OpenBMI,outcome,0,1,49,intercept_only,pda_r1_lx0.5_lp0.01,0.86,0.859775641025641,False,False,,
OpenBMI,outcome,0,1,49,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.8400000000000001,0.8389694041867954,False,False,,
OpenBMI,outcome,0,1,49,single_session,pda_r1_lx0.5_lp0.01,0.78,0.7756017951856384,False,False,,
OpenBMI,outcome,0,1,49,mean_pooled,pda_r1_lx0.5_lp0.01,0.85,0.84998499849985,False,False,,
OpenBMI,outcome,0,1,49,no_crossfit,pda_r1_lx0.5_lp0.01,0.83,0.8279178054458953,False,False,,
OpenBMI,outcome,0,1,49,crossfit_mean,pda_r1_lx0.5_lp0.01,0.85,0.84998499849985,False,False,,
OpenBMI,outcome,0,1,49,full_pda,pda_r1_lx0.5_lp0.01,0.86,0.8590982286634461,False,False,,
OpenBMI,outcome,0,1,49,correct_adapter,pda_r1_lx0.5_lp0.01,0.86,0.8590982286634461,False,False,,
OpenBMI,outcome,0,1,49,wrong_adapter,pda_r1_lx0.5_lp0.01,0.76,0.7453310696095077,False,False,32,
OpenBMI,outcome,0,1,49,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.72,0.6961805555555556,False,False,,15
OpenBMI,outcome,0,2,15,population,pda_r1_lx0.5_lp0.01,0.76,0.7552019583843329,False,False,,
OpenBMI,outcome,0,2,15,intercept_only,pda_r1_lx0.5_lp0.01,0.77,0.767182913250329,False,False,,
OpenBMI,outcome,0,2,15,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7126436781609196,False,False,,
OpenBMI,outcome,0,2,15,single_session,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,2,15,mean_pooled,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,2,15,no_crossfit,pda_r1_lx0.5_lp0.01,0.35,0.3350383631713555,False,False,,
OpenBMI,outcome,0,2,15,crossfit_mean,pda_r1_lx0.5_lp0.01,0.5,0.3333333333333333,False,False,,
OpenBMI,outcome,0,2,15,full_pda,pda_r1_lx0.5_lp0.01,0.49,0.3288590604026846,False,False,,
OpenBMI,outcome,0,2,15,correct_adapter,pda_r1_lx0.5_lp0.01,0.49,0.3288590604026846,False,False,,
OpenBMI,outcome,0,2,15,wrong_adapter,pda_r1_lx0.5_lp0.01,0.27,0.2610588116206094,False,False,19,
OpenBMI,outcome,0,2,15,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.27,0.2610588116206094,False,False,,19
OpenBMI,outcome,0,2,19,population,pda_r1_lx0.5_lp0.01,0.76,0.7564935064935066,False,False,,
OpenBMI,outcome,0,2,19,intercept_only,pda_r1_lx0.5_lp0.01,0.73,0.7286704853783539,False,False,,
OpenBMI,outcome,0,2,19,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7395833333333333,False,False,,
OpenBMI,outcome,0,2,19,single_session,pda_r1_lx0.5_lp0.01,0.56,0.45436507936507936,False,False,,
OpenBMI,outcome,0,2,19,mean_pooled,pda_r1_lx0.5_lp0.01,0.32,0.3156199677938808,False,False,,
OpenBMI,outcome,0,2,19,no_crossfit,pda_r1_lx0.5_lp0.01,0.3,0.29549114331723025,False,False,,
OpenBMI,outcome,0,2,19,crossfit_mean,pda_r1_lx0.5_lp0.01,0.32,0.3156199677938808,False,False,,
OpenBMI,outcome,0,2,19,full_pda,pda_r1_lx0.5_lp0.01,0.31,0.304365359411231,False,False,,
OpenBMI,outcome,0,2,19,correct_adapter,pda_r1_lx0.5_lp0.01,0.31,0.304365359411231,False,False,,
OpenBMI,outcome,0,2,19,wrong_adapter,pda_r1_lx0.5_lp0.01,0.5700000000000001,0.4724573671942093,False,False,32,
OpenBMI,outcome,0,2,19,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.5700000000000001,0.4724573671942093,False,False,,32
OpenBMI,outcome,0,2,32,population,pda_r1_lx0.5_lp0.01,0.74,0.7395833333333333,False,False,,
OpenBMI,outcome,0,2,32,intercept_only,pda_r1_lx0.5_lp0.01,0.75,0.7469379491851402,False,False,,
OpenBMI,outcome,0,2,32,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.73,0.7175436761167486,False,False,,
OpenBMI,outcome,0,2,32,single_session,pda_r1_lx0.5_lp0.01,0.62,0.6100164203612479,False,False,,
OpenBMI,outcome,0,2,32,mean_pooled,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6396986570586308,False,False,,
OpenBMI,outcome,0,2,32,no_crossfit,pda_r1_lx0.5_lp0.01,0.62,0.6041666666666667,False,False,,
OpenBMI,outcome,0,2,32,crossfit_mean,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6396986570586308,False,False,,
OpenBMI,outcome,0,2,32,full_pda,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6396986570586308,False,False,,
OpenBMI,outcome,0,2,32,correct_adapter,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6396986570586308,False,False,,
OpenBMI,outcome,0,2,32,wrong_adapter,pda_r1_lx0.5_lp0.01,0.62,0.5766488413547237,False,False,33,
OpenBMI,outcome,0,2,32,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.62,0.5766488413547237,False,False,,33
