dataset,role,fold,seed,subject,recipe,persistent_norm,transient_norm,persistent_transient_ratio,transient_mean_norm,historical_crossfit_gain,n_historical_blocks,fisher_a_sum,fisher_c_sum,adapter_collapse,transient_zero_center_error
OpenBMI,outcome,4,2,30,pda_r1_lx0.5_lp0.01,0.566078302166313,0.03228021783955359,17.53638420223689,0.0,-0.36,2,48.529095005972394,21.084803462933376,False,0.0
OpenBMI,outcome,4,2,38,pda_r1_lx0.5_lp0.01,0.3793683311987613,0.03359701447630101,11.291727467819019,0.0,-0.4,2,46.8372911352884,22.25588741034957,False,0.0
OpenBMI,outcome,4,2,52,pda_r1_lx0.5_lp0.01,0.2738196396307924,0.07811970079650418,3.5051291394992865,0.0,-0.27,2,26.910450834176466,18.248526602686358,False,0.0
WBCIC,outcome,0,0,1,pda_r1_lx0.5_lp0.01,0.13142923598281134,0.0868203152052443,1.5138074040863707,0.0,-0.0633012820512821,2,11.345903561842935,47.76405578241827,False,0.0
WBCIC,outcome,0,0,3,pda_r1_lx0.5_lp0.01,0.09811539717889883,0.08269748443896627,1.186437505862848,0.0,-0.03999999999999998,2,9.173819328515782,35.46781196081696,False,0.0
WBCIC,outcome,0,0,5,pda_r1_lx0.5_lp0.01,0.34236084804398065,0.0535816584769665,6.38951569950291,0.0,-0.08533653846153849,2,8.393434539166375,40.67588894659987,False,0.0
WBCIC,outcome,0,0,16,pda_r1_lx0.5_lp0.01,0.11780401363953284,0.10905134382197168,1.0802619161837204,6.938893903907228e-18,0.005720594138900081,2,12.160385608961793,47.70898263434551,False,6.938893903907228e-18
WBCIC,outcome,0,0,19,pda_r1_lx0.5_lp0.01,0.03765004683308806,0.006244187111299052,6.029615410620724,0.0,-0.016506602641056467,2,15.17481573930429,64.6273448182876,False,0.0
WBCIC,outcome,0,0,21,pda_r1_lx0.5_lp0.01,0.016086280408254123,0.002149817701578136,7.482625339090623,0.0,0.006102440976390566,2,12.97842407698613,37.558848451665654,False,0.0
WBCIC,outcome,0,0,28,pda_r1_lx0.5_lp0.01,0.16068190640254984,0.04111073732279344,3.9085143411782437,0.0,-0.08499999999999996,2,5.237453647942121,42.815736742405264,False,0.0
WBCIC,outcome,0,0,33,pda_r1_lx0.5_lp0.01,0.4221369226599822,0.0646691148571375,6.527643429054776,0.0,0.004807692307692291,2,4.047606233977644,24.784071828145578,False,0.0
WBCIC,outcome,0,0,37,pda_r1_lx0.5_lp0.01,0.11289821740710684,0.0850835718002588,1.3269097079298149,0.0,-0.010265700483091778,2,9.834312939430461,54.95867088309183,False,0.0
WBCIC,outcome,0,1,1,pda_r1_lx0.5_lp0.01,0.13333532465875675,0.02209637499964197,6.034262391949684,0.0,0.007211538461538491,2,6.887664081903283,44.60131187452865,False,0.0
WBCIC,outcome,0,1,3,pda_r1_lx0.5_lp0.01,0.04210704720939633,0.010860720539598846,3.877003100841374,0.0,-0.02499999999999991,2,5.473297373770599,38.383959709973595,False,0.0
