version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds,fold,seed
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,2,"['20', '41', '36', '46', '37', '32', '49']",27,7,0.8507142857142858,0.8507142857142858,0.0,4,7,24.80906867980957,1,1
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,3,"['8', '14', '31', '18', '33', '47', '39']",27,7,0.8642857142857143,0.8635714285714285,0.0007142857142857,6,4,22.96962666511536,1,1
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,4,"['15', '53', '26', '9', '24', '27']",28,6,0.7866666666666666,0.7975,-0.0108333333333333,11,11,33.14468574523926,1,1
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8028571428571429,0.8035714285714286,-0.0007142857142856,1,1,13.168111085891724,1,1
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714,1,0,13.22396183013916,1,1
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,2,"['20', '41', '36', '46', '37', '32', '49']",27,7,0.8492857142857143,0.8507142857142858,-0.0014285714285714,2,7,24.58706259727478,1,1
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,3,"['8', '14', '31', '18', '33', '47', '39']",27,7,0.8635714285714287,0.8635714285714285,1.1102230246251563e-16,4,4,18.72194242477417,1,1
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,4,"['15', '53', '26', '9', '24', '27']",28,6,0.7849999999999999,0.7975,-0.0125,9,11,33.188844203948975,1,1
V0,V0__lg1__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8021428571428572,0.8035714285714286,-0.0014285714285714,1,1,13.320711851119995,1,1
V0,V0__lg1__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714,1,0,13.129104852676392,1,1
