dataset,fold,subject_id,protected_rank,align_protected,novelty_protected,direction_strength_protected,novelty_nonprotected_descriptor,novelty_pca_descriptor,novelty_full_latent_descriptor,BA,difficulty,NLL,accuracy,macro_F1,trials
OpenBMI,4,24,4,0.7314896625227084,0.2685103374772916,0.6101981890627639,0.7558044741338199,0.2860986061759454,0.3893486434842141,0.6666666666666666,0.33333333333333337,0.8703176034838713,0.6666666666666666,0.6493506493506493,36
OpenBMI,4,28,4,0.972330617035801,0.0276693829641989,1.994325727674394,0.2546933073642261,0.0126982890623706,0.0289954326092073,0.9166666666666666,0.08333333333333337,0.2012456833710832,0.9166666666666666,0.9166023166023166,36
OpenBMI,4,32,4,0.9425967101175856,0.0574032898824142,1.346805208190068,0.6985451706689235,0.0211636889771047,0.0918684458527943,0.75,0.25,0.7837851792450512,0.75,0.7482517482517483,36
OpenBMI,4,40,4,0.8998602875232319,0.1001397124767681,1.2493715988744762,0.6396509849413471,0.0718854328922207,0.1185359844975497,0.7777777777777777,0.22222222222222232,0.46854174268321547,0.7777777777777778,0.775,36
OpenBMI,4,41,4,0.9548725323820384,0.0451274676179617,0.9004483330587327,0.4603319385029467,0.0209497682376693,0.0784591111122872,0.75,0.25,0.5553083864530647,0.75,0.7401764234161989,36
OpenBMI,4,46,4,0.81472545254984,0.18527454745016,0.5866216575419556,0.4037623653260535,0.1332356679454511,0.2275937400820512,0.6388888888888888,0.36111111111111116,0.8428507023064433,0.6388888888888888,0.6148148148148148,36
OpenBMI,4,47,4,0.8586437658530639,0.1413562341469361,1.3851036984824674,0.4161644697431071,0.0364942155430035,0.0914698300476668,0.9444444444444444,0.05555555555555558,0.1874178821386054,0.9444444444444444,0.9442724458204335,36
OpenBMI,4,53,4,0.8629573774086418,0.1370426225913582,1.293407311830578,0.7806701014849702,0.050129175274401,0.1139877697611551,0.8611111111111112,0.13888888888888884,0.2936208306311349,0.8611111111111112,0.8610038610038611,36
WBCIC,0,2,1,1.0,0.0,0.4271204801322057,0.78,2.0,0.2969820050805403,0.745,0.255,0.4936097652724459,0.745,0.7448405253283302,200
WBCIC,0,11,1,1.0,0.0,1.146869501533299,1.08,0.0,0.0957660676755675,0.69,0.31000000000000005,0.546177258574479,0.69,0.6899689968996899,200
WBCIC,0,13,1,1.0,0.0,0.7316136968882407,1.07,0.0,0.2887637895720251,0.86,0.14,0.3381804141588759,0.86,0.859775641025641,200
WBCIC,0,18,1,1.0,0.0,0.2130416541940187,0.71,1.0,0.5233119711526948,0.645,0.355,0.625785482214717,0.645,0.6417669466939125,200
WBCIC,0,27,1,1.0,0.0,0.1078605772427727,1.02,1.0,0.5921578807630009,0.58,0.42000000000000004,0.6593682041176979,0.58,0.5716034271725826,200
WBCIC,0,36,1,1.0,0.0,2.0640934478022794,0.51,0.0,0.0191496169866208,0.985,0.015000000000000013,0.10052576716445923,0.985,0.9849996249906248,200
