pair_id,dataset,outer_fold,meta_fold,draw,draw_seed,alpha_inner,lambda_meta,mu_harm,gA_norm,gB_future_norm,g_harm_norm,g_combined_norm,g_AB_mean_norm,gB_future_over_gA,half_g_harm_over_gA,g_combined_over_gA,g_AB_mean_over_gA,cos_A_B_future,cos_A_harm,cos_B_future_harm,active_harm_fraction,clip_threshold,clip_triggered,clip_post_norm,future_loss_mean,baseline_loss_mean,scalar_harm_mean
OpenBMI-fold0-meta4-draw6,OpenBMI,0,4,6,3995644034,0.0001,1.0,0.5,3.4506313800811768,2.954604148864746,1.342752456665039,5.492996692657471,2.8786799907684326,0.8562502984005317,0.1945661980030812,1.5918816261759745,0.8342473227901588,0.569215714931488,-0.4245930314064026,-0.13953626155853271,0.3333333432674408,5.0,True,5.0,0.26831498742103577,0.2689081132411957,0.00019279122352600098
OpenBMI-fold0-meta4-draw7,OpenBMI,0,4,7,3197392513,0.0001,1.0,0.5,4.134889602661133,3.8275508880615234,1.7430871725082397,6.064373970031738,3.117595911026001,0.9256718451680518,0.21077795781856226,1.4666350381226207,0.75397319169527,0.20015369355678558,-0.3442922830581665,0.062291938811540604,0.5,5.0,True,5.0,0.2949255108833313,0.2952507734298706,0.00024585676146671176
OpenBMI-fold0-meta4-draw8,OpenBMI,0,4,8,2354414403,0.0001,1.0,0.5,1.964342474937439,4.595842361450195,4.603222846984863,6.581839084625244,2.2110824584960938,2.339633958990051,1.1716955942551384,3.3506576213676103,1.1256094528865253,-0.2970845103263855,-0.29661694169044495,0.9968442916870117,0.8333333730697632,5.0,True,5.0,0.4442622661590576,0.4439944922924042,0.00026776394224725664
OpenBMI-fold0-meta4-draw9,OpenBMI,0,4,9,2528438398,0.0001,1.0,0.5,3.2026453018188477,4.15891695022583,3.4150092601776123,6.9029741287231445,3.2011492252349854,1.298588060271269,0.533154461132202,2.155397641069651,0.9995328622301656,0.47297918796539307,-0.27483806014060974,0.5342736840248108,0.5,5.0,True,5.0,0.36933594942092896,0.36997684836387634,0.0002987682819366455
OpenBMI-fold1-meta0-draw0,OpenBMI,1,0,0,1020370941,0.0001,1.0,0.5,4.961668968200684,4.005839824676514,2.703099489212036,7.557620048522949,3.984286069869995,0.8073573328551189,0.27239820980966184,1.5232011843111068,0.8030132794842357,0.49274301528930664,-0.521999716758728,0.1883833110332489,0.2857142984867096,5.0,True,5.0,0.35365068912506104,0.3546823263168335,0.0006849936326034367
OpenBMI-fold1-meta0-draw1,OpenBMI,1,0,1,778087984,0.0001,1.0,0.5,4.504430294036865,3.7161898612976074,3.854214668273926,6.47017240524292,2.770128011703491,0.8250077409827475,0.42782487647508727,1.4364019382891502,0.6149785501999423,-0.1069602370262146,-0.15992386639118195,0.7265767455101013,0.5714285969734192,5.0,True,5.0,0.5285799503326416,0.5284050703048706,0.0002744964440353215
OpenBMI-fold1-meta0-draw2,OpenBMI,1,0,2,2818401749,0.0001,1.0,0.5,4.8870768547058105,3.7435286045074463,2.06791615486145,7.551055908203125,3.954615831375122,0.7660056749266729,0.21156984188515832,1.545106846627989,0.8091986168720033,0.5923582315444946,-0.38100606203079224,0.02945716492831707,0.2857142984867096,5.0,True,5.0,0.39054641127586365,0.3916735053062439,0.00036888039903715253
OpenBMI-fold1-meta0-draw3,OpenBMI,1,0,3,780996175,0.0001,1.0,0.5,4.892143726348877,4.484076976776123,5.3107991218566895,5.936899185180664,2.4218907356262207,0.916587334224274,0.542788542091778,1.213557801502188,0.49505715103626674,-0.4713662564754486,-0.6396883726119995,0.9009799361228943,0.7142857313156128,5.0,True,5.0,0.36917537450790405,0.3681594431400299,0.001651646918617189
OpenBMI-fold1-meta0-draw4,OpenBMI,1,0,4,3884285345,0.0001,1.0,0.5,2.4658496379852295,5.554399013519287,2.696627378463745,7.293060302734375,3.2893950939178467,2.2525294843434236,0.5467947714498677,2.957625716665073,1.3339804030409215,0.21926438808441162,-0.13211630284786224,0.6216583847999573,0.2857142984867096,5.0,True,5.0,0.3339117765426636,0.33421504497528076,8.705259097041562e-05
OpenBMI-fold1-meta0-draw5,OpenBMI,1,0,5,4260896212,0.0001,1.0,0.5,3.6167359352111816,3.781406879425049,4.391383171081543,5.620604038238525,2.8875885009765625,1.04553026462637,0.6070920368181552,1.5540543017029353,0.7983962757314091,0.17737603187561035,-0.604210376739502,0.24900926649570465,0.2857142984867096,5.0,True,5.0,0.3861347734928131,0.3863978087902069,0.0009506302885711193
