dataset,outer_fold,meta_fold,draw,draw_seed,dropout_seed,epsilon,dot_AB,cos_AB,conflict,delta_B_first_order,delta_B_actual,sign_prediction_correct
WBCIC,2,3,1,514881082,914475410,0.0001,0.40040573477745056,0.10363036394119263,False,-0.00022423683200762485,-0.00028845667839050293,True
WBCIC,2,3,2,3053340152,1144721135,0.0001,-0.24033766984939575,-0.06020929664373398,True,0.00015769286975504142,0.0011511147022247314,True
WBCIC,2,4,0,2371589545,1997536082,0.0001,0.32919231057167053,0.07377010583877563,False,-0.00016956761731751972,-0.00022363662719726562,True
WBCIC,2,4,1,213552392,3102570862,0.0001,0.0026849359273910522,0.0008779704803600907,False,-2.228739744092477e-06,-8.970499038696289e-05,True
WBCIC,2,4,2,2574114030,1834958341,0.0001,-0.13618355989456177,-0.033058784902095795,True,9.028237932151852e-05,-0.00013932585716247559,False
WBCIC,3,0,0,3004557815,3637535047,0.0001,0.1422453224658966,0.04916001856327057,False,-0.00012785543298401937,3.30507755279541e-05,False
WBCIC,3,0,1,3094162062,325526153,0.0001,0.40556734800338745,0.17532408237457275,False,-0.0003262004078768433,-0.00048804283142089844,True
WBCIC,3,0,2,3663451308,2534557777,0.0001,0.051083870232105255,0.006944600958377123,False,-2.172651234290373e-05,0.00019761919975280762,False
WBCIC,3,1,0,1970656011,860967091,0.0001,1.439602255821228,0.49518367648124695,False,-0.0012165075006898797,-0.0006124377250671387,True
WBCIC,3,1,1,750050576,2244097859,0.0001,1.1330444812774658,0.3146679997444153,False,-0.0005954560364132739,-0.0005054473876953125,True
WBCIC,3,1,2,3522087473,2415629691,0.0001,1.1194095611572266,0.25865331292152405,False,-0.0004807685046421941,-0.00023922324180603027,True
WBCIC,3,2,0,2705964540,3420964368,0.0001,0.32754769921302795,0.11341626197099686,False,-0.0002616293592261353,-0.0004976987838745117,True
WBCIC,3,2,1,1579381618,3577832671,0.0001,0.018851567059755325,0.006218594498932362,False,-1.794963541447087e-05,-0.0007210671901702881,True
WBCIC,3,2,2,1580222558,2477645475,0.0001,-0.2081574946641922,-0.02632216177880764,True,7.64164340944328e-05,-9.700655937194824e-05,False
WBCIC,3,3,0,1820089960,969067562,0.0001,0.7240450978279114,0.23708629608154297,False,-0.0005244241820012101,-0.000460207462310791,True
WBCIC,3,3,1,4256956483,755759582,0.0001,0.16689537465572357,0.04215247556567192,False,-9.063392432685338e-05,-1.3649463653564453e-05,True
WBCIC,3,3,2,1646459539,2772671604,0.0001,-0.7880270481109619,-0.2009098380804062,True,0.0003733596953398081,0.0001448988914489746,True
WBCIC,3,4,0,1721489680,2927838194,0.0001,-1.1064510345458984,-0.1387699395418167,True,0.0007117610914311696,0.0002771317958831787,True
WBCIC,3,4,1,3195823629,604602950,0.0001,0.10440616309642792,0.035167161375284195,False,-6.488904442602172e-05,-3.886222839355469e-05,True
WBCIC,3,4,2,507232261,2005890472,0.0001,-0.49928104877471924,-0.1493402123451233,True,0.000266670434484511,0.00014802813529968262,True
WBCIC,4,0,0,1402697340,1863560833,0.0001,-0.38923847675323486,-0.2222711592912674,True,0.0006622802905817741,0.0007067024707794189,True
WBCIC,4,0,1,1383650924,3399606696,0.0001,1.488823413848877,0.29802271723747253,False,-0.0014276349749214033,-0.0005089938640594482,True
WBCIC,4,0,2,2435454582,1155751460,0.0001,0.6539215445518494,0.26919931173324585,False,-0.000618813214653463,-0.0002627372741699219,True
WBCIC,4,1,0,4017041543,2126032648,0.0001,0.43347692489624023,0.2656688392162323,False,-0.00038239970500295636,-0.0005261898040771484,True
WBCIC,4,1,1,2613772389,1482370377,0.0001,0.13372282683849335,0.05522706359624863,False,-7.647467523540334e-05,-9.706616401672363e-05,True
WBCIC,4,1,2,2350575743,1188126679,0.0001,-0.20489704608917236,-0.07917694747447968,True,0.00012904684458417951,7.998943328857422e-05,True
WBCIC,4,2,0,4237029138,3250156237,0.0001,0.26012372970581055,0.06888284534215927,False,-0.00010727628115174271,-0.000444561243057251,True
WBCIC,4,2,1,1790125802,3568857805,0.0001,0.994648277759552,0.2697182893753052,False,-0.0007534647489530689,-0.00040781497955322266,True
WBCIC,4,2,2,152970877,292327469,0.0001,-0.028698354959487915,-0.018642716109752655,True,3.255547339072789e-05,5.036592483520508e-06,True
WBCIC,4,3,0,3730270179,2686027321,0.0001,-0.35506874322891235,-0.1296556293964386,True,0.00030001233846875975,-0.00024649500846862793,False
WBCIC,4,3,1,2125923451,4248124183,0.0001,-0.3665498197078705,-0.1065509244799614,True,0.00029628749870482955,-0.000209808349609375,False
WBCIC,4,3,2,3136512093,2239985089,0.0001,0.14422696828842163,0.04311608523130417,False,-0.00010543428014334034,1.4603137969970703e-05,False
WBCIC,4,4,0,366527598,1781992242,0.0001,0.06082705035805702,0.0646829679608345,False,-6.81191442658934e-05,-0.0002715587615966797,True
