task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_SSVEP,OpenBMI,4,0,12,0.26,0.2451303917933506,0.26,100
OpenBMI_SSVEP,OpenBMI,4,0,13,0.24000000000000002,0.22703880166974752,0.24,100
OpenBMI_SSVEP,OpenBMI,4,0,17,0.29000000000000004,0.277989283896562,0.29,100
OpenBMI_SSVEP,OpenBMI,4,0,18,0.25,0.22962105462105464,0.25,100
OpenBMI_SSVEP,OpenBMI,4,0,24,0.26999999999999996,0.26482429999379153,0.27,100
OpenBMI_SSVEP,OpenBMI,4,0,25,0.29,0.27817162133932316,0.29,100
OpenBMI_SSVEP,OpenBMI,4,0,29,0.3,0.2844008220461709,0.3,100
OpenBMI_SSVEP,OpenBMI,4,0,36,0.34,0.27846680841011107,0.34,100
OpenBMI_SSVEP,OpenBMI,4,0,37,0.3400000000000001,0.322421530015515,0.34,100
OpenBMI_SSVEP,OpenBMI,4,0,39,0.26,0.23617152369422345,0.26,100
OpenBMI_SSVEP,OpenBMI,4,0,42,0.19999999999999998,0.19165884025230667,0.2,100
OpenBMI_SSVEP,OpenBMI,4,0,51,0.35,0.3390879409827283,0.35,100
OpenBMI_SSVEP,OpenBMI,4,0,54,0.27,0.25413845905867183,0.27,100
WBCIC_MI,WBCIC,0,0,sub-2,0.755,0.7549938748468712,0.755,200
WBCIC_MI,WBCIC,0,0,sub-3,0.7,0.6985227615315044,0.7,200
WBCIC_MI,WBCIC,0,0,sub-17,0.63,0.62996299629963,0.63,200
WBCIC_MI,WBCIC,0,0,sub-19,0.9,0.8999599839935974,0.9,200
WBCIC_MI,WBCIC,0,0,sub-21,0.75,0.749096748293858,0.75,200
WBCIC_MI,WBCIC,0,0,sub-25,0.915,0.9148957472904308,0.915,200
WBCIC_MI,WBCIC,0,0,sub-31,0.495,0.4928573221862369,0.495,200
WBCIC_MI,WBCIC,0,0,sub-33,0.815,0.8146246148450612,0.815,200
WBCIC_MI,WBCIC,0,0,sub-38,0.53,0.5269726247987118,0.53,200
WBCIC_MI,WBCIC,0,0,sub-42,0.595,0.5947467166979362,0.595,200
WBCIC_MI,WBCIC,1,0,sub-2,0.65,0.6430028559771522,0.65,200
WBCIC_MI,WBCIC,1,0,sub-3,0.6499999999999999,0.648735447611401,0.65,200
WBCIC_MI,WBCIC,1,0,sub-17,0.5700000000000001,0.568922305764411,0.57,200
WBCIC_MI,WBCIC,1,0,sub-19,0.845,0.8446854881134297,0.845,200
WBCIC_MI,WBCIC,1,0,sub-21,0.72,0.7197477729956961,0.72,200
WBCIC_MI,WBCIC,1,0,sub-25,0.885,0.8841630782402861,0.885,200
WBCIC_MI,WBCIC,1,0,sub-31,0.48,0.42857142857142855,0.48,200
WBCIC_MI,WBCIC,1,0,sub-33,0.755,0.7497382466355116,0.755,200
WBCIC_MI,WBCIC,1,0,sub-38,0.45999999999999996,0.4586466165413534,0.46,200
WBCIC_MI,WBCIC,1,0,sub-42,0.6,0.5920032639738881,0.6,200
WBCIC_MI,WBCIC,2,0,sub-2,0.73,0.72997299729973,0.73,200
WBCIC_MI,WBCIC,2,0,sub-3,0.64,0.6355906468266019,0.64,200
WBCIC_MI,WBCIC,2,0,sub-17,0.54,0.5383380168606985,0.54,200
WBCIC_MI,WBCIC,2,0,sub-19,0.81,0.8090644156366193,0.81,200
WBCIC_MI,WBCIC,2,0,sub-21,0.6799999999999999,0.6767676767676768,0.68,200
WBCIC_MI,WBCIC,2,0,sub-25,0.875,0.8747463613817982,0.875,200
WBCIC_MI,WBCIC,2,0,sub-31,0.475,0.4739347178035522,0.475,200
WBCIC_MI,WBCIC,2,0,sub-33,0.8300000000000001,0.8298468621759583,0.83,200
WBCIC_MI,WBCIC,2,0,sub-38,0.5549999999999999,0.5454429377665415,0.555,200
WBCIC_MI,WBCIC,2,0,sub-42,0.565,0.5649021029731689,0.565,200
WBCIC_MI,WBCIC,3,0,sub-2,0.7,0.6997297567811029,0.7,200
WBCIC_MI,WBCIC,3,0,sub-3,0.62,0.6100164203612479,0.62,200
WBCIC_MI,WBCIC,3,0,sub-17,0.49,0.4812328349099786,0.49,200
WBCIC_MI,WBCIC,3,0,sub-19,0.83,0.8299829982998299,0.83,200
WBCIC_MI,WBCIC,3,0,sub-21,0.7749999999999999,0.7740453415681253,0.775,200
WBCIC_MI,WBCIC,3,0,sub-25,0.875,0.8746207277012964,0.875,200
WBCIC_MI,WBCIC,3,0,sub-31,0.475,0.4749868746718668,0.475,200
WBCIC_MI,WBCIC,3,0,sub-33,0.765,0.7648530331457161,0.765,200
WBCIC_MI,WBCIC,3,0,sub-38,0.545,0.5184038527691779,0.545,200
WBCIC_MI,WBCIC,3,0,sub-42,0.675,0.67499187479687,0.675,200
WBCIC_MI,WBCIC,4,0,sub-2,0.6950000000000001,0.6940745755911633,0.695,200
WBCIC_MI,WBCIC,4,0,sub-3,0.655,0.6549223575304444,0.655,200
WBCIC_MI,WBCIC,4,0,sub-17,0.55,0.54995499549955,0.55,200
WBCIC_MI,WBCIC,4,0,sub-19,0.8400000000000001,0.8395989974937343,0.84,200
WBCIC_MI,WBCIC,4,0,sub-21,0.745,0.7448405253283302,0.745,200
WBCIC_MI,WBCIC,4,0,sub-25,0.865,0.8644272049408752,0.865,200
WBCIC_MI,WBCIC,4,0,sub-31,0.47000000000000003,0.4501504305425874,0.47,200
WBCIC_MI,WBCIC,4,0,sub-33,0.7749999999999999,0.7733625443831684,0.775,200
WBCIC_MI,WBCIC,4,0,sub-38,0.535,0.5347091932457786,0.535,200
WBCIC_MI,WBCIC,4,0,sub-42,0.62,0.6198479391756703,0.62,200
