"chronological_index","stage","branch","commit_sha","local_experiment_path","dataset","biological_subject_count","sessions","task","backbone","seed_count","split_protocol","training_role","validation_role","future_outer_role","intervention","primary_hypothesis","primary_metric","statistical_unit","exact_primary_result","exact_effect_size","confidence_interval","p_or_permutation","controls","protocol_frozen_before_outcome","prospective_status","evidence_class","validator_status","exact_terminal","scientific_interpretation","stronger_not_justified","manuscript_role","authoritative_source"
"36","OPENBMI_FOLDCORRECT_REPAIR_V3","codex/persist-eeg-exp4-persist-guard-final-v1","9821c577ef63cfa7f02bda796cc36ad0682d8dae..b92c6992b4b222d1f43f27eb40ec5e168c943e7a","experiments/persist_eeg_openbmi_foldcorrect_baseline_and_dynamic_v3","OpenBMI V8_SEARCH MI","40","source S1+S2; target S2 unseen-subject outcome; no target adaptation for vanilla","motor imagery","fresh StandardEEGNet plus fold-correct cached surrogate","3","five original subject folds; cache k loaded inside evaluation fold k","authorized 40-subject development source roles train models and normalization","each development subject tested once on frozen fold outcome","OpenBMI internal-14 INVALID_FOR_CONFIRMATION project-global; historical outer and WBCIC unused","repair cached baseline and dynamic actionability fold mapping","fold-correct dynamic signals provide actionable prediction and old NoAdapt is a valid vanilla baseline","fresh vanilla BA and corrected dynamic prediction metrics","biological subject","fresh vanilla S1+S2-to-S2 BA 0.749667; repaired NoAdapt 0.82675; Generic 0.83125; dynamic RMSE worsened and only 2/5 folds improved","corrected dynamic RMSE reduction=-0.17318; dynamic Spearman=0.248211","vanilla subject 95% CI [0.721833,0.777169]","NOT_REPORTED","fresh vanilla; repaired NoAdapt; repaired Generic; static and gradient predictors","TRUE_FOR_REPAIR_PROTOCOL","DEVELOPMENT_ALREADY_OBSERVED; INTERNAL14_INVALID_FOR_CONFIRMATION","AUTHORITATIVE_IMPLEMENTATION_REPAIR_NEGATIVE","FOLD_CACHE_LEGALITY_PASS","EXP4_OPENBMI_DYNAMIC_ACTIONABILITY_NOT_SUPPORTED_FOLD_CORRECT","The old 88.125% NoAdapt is not a valid vanilla baseline and repaired dynamic actionability remains unsupported.","Dynamic intervention support or internal-holdout generalization","AUTHORITATIVE_REPAIRED_NEGATIVE_BASELINE","experiments/persist_eeg_openbmi_foldcorrect_baseline_and_dynamic_v3/FINAL_SUMMARY.md"
"37","EXP4_PERSIST_GUARD_FINAL","codex/persist-eeg-exp4-persist-guard-final-v1","b92c6992b4b222d1f43f27eb40ec5e168c943e7a","experiments/persist_eeg_exp4_persist_guard_final_v1","OpenBMI V8_SEARCH MI","40","source S1+S2; target S1 action features; target S2 outcome","motor imagery","StandardEEGNet three-seed ensemble","3","five subject folds; adaptive development variants; subject bootstrap","source-only bank and risk model; target history constructs bounded actions","target S2 scores development BA/harm","OpenBMI internal-14 INVALID_FOR_CONFIRMATION project-global; WBCIC not reached","source-only PERSIST risk features select bounded shrink actions","PERSIST-Guard improves Strong Generic BA and negative-transfer safety","paired subject BA PERSIST-Guard minus Strong Generic plus harm gates","biological subject","delta +0.001 with CI crossing zero; 2/5 folds; 4/10 gates passed; three-seed mean increment 0.0000833","0.001000","95% CI [-0.00125625,0.00350000]","NOT_REPORTED","NoAdapt; Strong Generic; confidence and identity risk controls; fixed shrink actions","TRUE_FOR_SELECTED_DEVELOPMENT_VARIANT","ADAPTIVE_DEVELOPMENT; INTERNAL14_INVALID_FOR_CONFIRMATION","VALID_NEGATIVE_METHOD_RESULT","DEVELOPMENT_GATE_FAIL; HOLDOUT_NOT_AUTHORIZED","EXP4_PERSIST_GUARD_NOT_SUPPORTED","The tested guard did not meet prespecified effect, fold, harm, or AUROC gates.","Confirmed guard, second-backbone transfer, WBCIC transfer, or internal confirmation","APPENDIX_NEGATIVE_METHOD_RESULT","experiments/persist_eeg_exp4_persist_guard_final_v1/EXP4_FINAL_REPORT.json"
"38","EXP4_HEADROOM_MECHANISM_AUDIT","codex/persist-eeg-exp4-headroom-mechanism-audit-v1","47e773142cc8cd098eeeb89103bebe68c525d760","experiments/persist_eeg_exp4_headroom_mechanism_audit_v1","OpenBMI V8_SEARCH MI","40","target S1 constructs fixed actions; target S2 scoring only","motor imagery","clean Strong Generic plus frozen P/U/exact-D risk features","NOT_APPLICABLE","five development folds; fixed alpha action bank 0,0.25,0.5,0.75,1","source/target S1 constructs five legal actions and predictors","target S2 only scores oracle and harm prediction after freeze","OpenBMI internal-14 INVALID_FOR_CONFIRMATION and filtered before materialization","audit oracle headroom and incremental predictive value before new model training","action bank has enough oracle headroom and exact Exp3 D adds beyond confidence/update","oracle BA gain and prospective harm AUROC","biological subject","oracle gain 0.00825 fails 0.01 gate; exact-D harm AUROC 0.4982; strongest confidence 0.7276; exact D adds no value","oracle minus Generic=0.00825; exact-D incremental AUROC=-0.082437","NOT_REPORTED","NOT_REPORTED","NoAdapt; 25/50/75/100% Generic actions; confidence; update magnitude; identity; P; PUDfinite","TRUE","PROSPECTIVELY_FROZEN_DEVELOPMENT_AUDIT; INTERNAL14_INVALID_FOR_CONFIRMATION","PRIMARY_NEGATIVE_STOPPING_EVIDENCE","PHASE_A_GATE_RECOMPUTED","EXP4_STOP_INSUFFICIENT_ACTION_HEADROOM","Constructive actionability search must stop under the frozen headroom and mechanism gates.","Validated selector, sealed improvement, or D-based action superiority","CORE_OR_APPENDIX_NEGATIVE_STOP_RULE","experiments/persist_eeg_exp4_headroom_mechanism_audit_v1/FINAL_REPORT.json"
"39","PERSIST_NET_CONSTRUCTION","codex/persist-eeg-persist-net-final-v1","b76762d08ece89ee25cfd5656f43bfdd367e217d..12ab811c2a6194192b430f9c010781acd1c0379f","experiments/persist_eeg_persist_net_final_v1","OpenBMI V8_SEARCH MI","40","source S1+S2; target history S1; target outcome S2","motor imagery","PERSIST-Net dual pathway and EEGNet controls","3 primary","five folds x three seeds=15 runs; subject mean before bootstrap","source subjects train teacher/distilled branches; target S1 adapts allowed branch","target S2 development outcome","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED","independent protected P/U/D pathway frozen during target adaptation","protection by construction improves future-session performance over strongest legal baseline and controls","paired subject BA FULL minus Strong Generic","biological subject; seeds aggregated within subject","FULL BA 0.763917 versus Strong Generic 0.792417; 0/5 folds and 0/3 seeds positive","-0.028500","95% CI [-0.040917,-0.016250]","NOT_REPORTED","Vanilla; Strong EEGNet; Strong Generic; dual capacity; identity/random/PCA; all-adapt; P-only/P+U/P+D","TRUE","PROSPECTIVELY_FROZEN_DEVELOPMENT; INTERNAL14_INVALID_FOR_CONFIRMATION","PRIMARY_CONSTRUCTIVE_FALSIFICATION","FINAL_ARTIFACT_AUDIT_PASS; EXACT_D_VALIDATION_PASS","PERSIST_NET_CONSTRUCTIVE_HYPOTHESIS_NOT_SUPPORTED","A task-consequential protected pathway did not improve future-session deployment.","Constructive benefit, cross-dataset generality, or outer confirmation","CORE_NEGATIVE_METHOD_EVIDENCE_OR_APPENDIX","experiments/persist_eeg_persist_net_final_v1/FINAL_REPORT.json"
"40","PERSIST_NET_SOURCE_ONLY_DIAGNOSTIC","codex/persist-eeg-persist-net-source-only-diagnostic-v1","8f46a5beeb6b41aecfc64ac90996ab1ab8e4dba2","experiments/persist_eeg_persist_net_source_only_diagnostic_v1","OpenBMI V8_SEARCH MI","40","source-trained checkpoint; outcome Session 2 replay; no target-history adaptation","motor imagery","frozen PERSIST-Net and EEGNet controls","3 inherited","five folds x three seeds; zero optimizer steps","existing checkpoints only; no training or adaptation","development Session 2 replay with one subject per inference batch","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED","evaluate PUD source-only before target adaptation","PUD failure is caused only by target adaptation rather than source representation","paired subject BA PUD source-only versus controls","biological subject","PUD source BA 0.7565; trails Vanilla by 0.029667 and dual by 0.021167; 32/40 harmed despite protected erasure harm 0.135583","PUD-Vanilla=-0.029667; protected erasure harm=0.135583","PUD-Vanilla CI [-0.043417,-0.016998]; erasure-harm CI [0.117083,0.155417]","NOT_REPORTED","Vanilla; Strong EEGNet; capacity-matched dual; adapted PUD diagnostic","INHERITS_FROZEN_SOURCE; NO_NEW_TRAINING","READ_ONLY_DEVELOPMENT_DIAGNOSTIC; INTERNAL14_INVALID_FOR_CONFIRMATION","VALID_NEGATIVE_FAILURE_LOCALIZATION","REPLAY_VALIDATION_PASS","SOURCE_ONLY_PERSIST_NOT_SUPPORTED","The PUD source representation already underperforms while remaining task-consequential under erasure.","Erasure consequence as evidence of generalization utility","APPENDIX_FAILURE_LOCALIZATION","experiments/persist_eeg_persist_net_source_only_diagnostic_v1/FINAL_REPORT.json"
"41","FAILURE_LOCALIZATION_AND_PUD_AUX","codex/persist-eeg-final-failure-localization-and-aux-v1","0ff7e15ad82f0c78cb6a4752e059e47cdd3c7626..3b519a138fe5074858717c70b611926fd3708f75","experiments/persist_eeg_final_failure_localization_and_aux_v1","OpenBMI V8_SEARCH MI","40","source S1+S2; future outcome S2","motor imagery","single-path EEGNet plus PUD auxiliary controls","3","five folds x three seeds; 720 method-run-subject rows","source-only inner validation selects lambda; one authorized soft-aux family","outcome Session 2 development subjects","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED","soft PUD auxiliary objective after failure localization","soft auxiliary PUD avoids hard-factorization failure and beats Vanilla","paired subject BA PUD-Aux minus historical Vanilla","biological subject","PUD-Aux BA 0.776833 versus Vanilla 0.786167; 0/5 folds, 1/3 seeds","-0.009333","95% CI [-0.017250,-0.001333]","NOT_REPORTED","Vanilla; Random-Aux; Identity-Aux; Full-Teacher-KD-Aux; P-only-Aux","TRUE_FOR_PHASE_B","PROSPECTIVELY_FROZEN_DEVELOPMENT_FAMILY; INTERNAL14_INVALID_FOR_CONFIRMATION","SUPERSEDED_NEGATIVE_COMPARATOR","NO_STANDALONE_VALIDATOR; INTEGRITY_ROWS_REPORTED","PUD_AUX_CONSTRUCTIVE_HYPOTHESIS_NOT_SUPPORTED","The authorized soft auxiliary family failed against the historical baseline; the comparator was later repaired.","Historical Vanilla as exact causal control or hard-factorization causality","HISTORY_ONLY_AFTER_MATCHED_REPAIR","experiments/persist_eeg_final_failure_localization_and_aux_v1/FINAL_CLOSURE_REPORT.md"
"42","FINAL_CLOSURE_MATCHED_REPAIR","codex/persist-eeg-final-closure-repair-v1","b2c11bfaffcdc8a6d150b922c89a39acaa84fd02..3366d419cfd5d26e88f5de3d751199d9068b649e","experiments/persist_eeg_final_closure_repair_v1","OpenBMI V8_SEARCH MI","40","source S1+S2; future outcome S2","motor imagery","exactly matched single-path EEGNet AuxNet methods","3","five folds x three seeds; exact initialization, order, source rows, and selection matching","inner/outer source roles rebuild all teachers and targets without outcome selection","development outcome Session 2; subject bootstrap after seed aggregation","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED","PUD-Aux versus exact Matched-TaskOnly with repaired joins","PUD auxiliary objective yields at least 0.005 BA beyond an exactly matched task-only pipeline","paired subject BA PUD-Aux minus Matched-TaskOnly","biological subject","PUD-Aux 0.770250 versus matched 0.766000; 27/40 positive, 3/5 folds, 3/3 seeds; fails M1/M2/M3","0.004250","95% CI [-2.78e-18,0.008167]","NOT_REPORTED","Matched-TaskOnly; Random-Aux; Identity-Aux; Full-Teacher-KD-Aux; P-only-Aux; historical Vanilla external reference","TRUE","PROSPECTIVELY_FROZEN_EXACT_MATCHED_DEVELOPMENT; INTERNAL14_INVALID_FOR_CONFIRMATION","AUTHORITATIVE_MATCHED_NEGATIVE_REPAIR","FINAL_VALIDATION_PASS","PUD_AUX_MATCHED_NOT_SUPPORTED","A small matched relative increment did not meet the prespecified magnitude, CI, or fold gates.","Clean constructive success, historical-pipeline equivalence, or proven harm mechanism","FINAL_CONSTRUCTIVE_NEGATIVE_CLOSURE","experiments/persist_eeg_final_closure_repair_v1/FINAL_CLOSURE_REPAIRED.md"
"43","SUBJECT_INVARIANCE_STRESS_TEST","codex/persist-eeg-subject-invariance-stress-test-v1","f60329a10591c01e2b16b02b449a725a63e2ed42..32f88afa76ace3a19ab9c2cfefc1c0b916fd3eb3","experiments/persist_eeg_subject_invariance_stress_test_v1","OpenBMI V8_SEARCH MI","40","source Sessions 1+2; unseen-subject outcome Session 2","motor imagery","EEGNet and EEGConformer","3","five folds x three seeds x two backbones=30 matched runs; shared subjects paired","inner-train source subjects fit ERM/DANN/CORAL/MMD and identity probes","outcome subjects scored only after selection freeze","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; all WBCIC data not accessed","standard subject-invariance penalties at fixed strengths","reducing source subject identifiability reliably improves future-session task BA","identity suppression versus BA change slope; D-versus-I held-run RMSE","subject for performance; matched run for manipulation; configuration cluster for slope","DANN/MMD achieve identity suppression but global positive alignment absent; D beats I in 23/30 runs","global slope=0.327133; RMSE(MI)-RMSE(MD)=0.00163586","slope CI [-0.186146,0.745321]; D-I CI [0.000363626,0.002764625]","NOT_REPORTED","ERM; DANN; CORAL; MMD; identity and decision prediction models","TRUE_WITH_PREGRID_ENGINEERING_AMENDMENT","PROSPECTIVELY_FROZEN_DEVELOPMENT_STRESS_TEST; INTERNAL14_INVALID_FOR_CONFIRMATION","PRIMARY_STRONG_MISALIGNMENT_EVIDENCE","FINAL_VALIDATION_PASS","SUBJECT_INVARIANCE_AUDIT_STRONG_MISALIGNMENT_SUPPORTED","Identity suppression is not a reliable operational target in this fixed stress test; D is more task-grounded.","Identity never matters, invariance is universally harmful, D guarantees generalization, or biological causality","CORE_MAIN_TEXT_COUNTEREXAMPLE_EVIDENCE","experiments/persist_eeg_subject_invariance_stress_test_v1/FINAL_REPORT.md"
"44","PROSPECTIVE_UTILITY_GATE","codex/persist-eeg-prospective-utility-gate-v1","3654486141c91333e0507e95be98f4bdc41c0254","experiments/persist_eeg_prospective_utility_gate_v1","OpenBMI V8_SEARCH MI","40","source fit Sessions 1+2; pseudo-target Session 2; outcome Session 2 after global freeze","motor imagery","EEGNet and EEGConformer","3","five folds; 30 runs; eight directions each; global source freeze before outcome","fit-train/validation and pseudo-target roles construct U_pseudo and predictors","outcome subjects provide future utility only after all 30 source units freeze","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC not accessed","choose suppression direction using source-only pseudo-target utility","pseudo-target suppression utility predicts unseen-subject future utility and provides actionable headroom","within-run Spearman; held-run RMSE; Top1 minus random policy","subject-first utility with run-cluster/hierarchical inference; 240 cells not subjects","within-run Spearman weak; CIs cross zero; only 8.75% helpful cells; utility model and policy gates fail","mean within-run Spearman=0.0890; Top1-random=0.00095","Spearman CI [-0.149990,0.302712]; Top1-random CI [-0.001104,0.002766]","policy permutation p=0.23576; prediction permutation p=0.97003","random expected; highest identity; lowest D; lowest source consequence; oracle Top1","TRUE","PROSPECTIVELY_FROZEN_REUSED_DEVELOPMENT; NOT_CONFIRMATION","PRIMARY_NEGATIVE_PROSPECTIVE_GATE","FINAL_VALIDATION_PASS","NO_ACTIONABLE_SUPPRESSION_HEADROOM","Source-only pseudo utility did not provide a reliable direction selector; constructive route closes.","Selective utility-gated method, independent confirmation, or universal impossibility","CORE_NEGATIVE_ACTIONABILITY_EVIDENCE","experiments/persist_eeg_prospective_utility_gate_v1/FINAL_REPORT.md"
"45","WBCIC_INDEPENDENT_REPLICATION","codex/persist-eeg-wbcic-independent-replication-v1","9f76a4437c0635febea190cc51ea89500703a5c6..1ff8edda656372d8d36a2bcdb7d96311f88f8da6","experiments/persist_eeg_wbcic_independent_replication_v1","WBCIC nm000348 development","41","model-fit S1+S2; validation/discovery S3; held outcome S3","motor imagery","EEGNet","3","five folds x three seeds=15 runs; subject-first hierarchical bootstrap","model-fit subjects train models and construct identity/directions","validation selects lambda; disjoint outcome subjects score S3 after run source freeze","WBCIC S3 PROSPECTIVE_ALREADY_OBSERVED; outer-10 OUTER_UNTOUCHED; OpenBMI internal-14 INVALID_FOR_CONFIRMATION","replicate persistent-block consequence, D-versus-I prediction, and invariance alignment","OpenBMI representation distinctions replicate on an independent dataset and invariance manipulation clarifies identity utility","R1 block harm; R2 RMSE(MI)-RMSE(MD); R3 identity suppression versus BA","biological subject with run-cluster hierarchy; 15 runs are not people","R2 strong: MI 0.016506 vs MD 0.011869, 10/15 favor D; R1 partial; no method met meaningful identity reduction, so R3 inconclusive","RMSE difference=0.004636343; global slope=-0.222963","D-I CI [0.001237,0.007194]; slope CI [-0.446857,-0.046909]","NOT_REPORTED","M0/MI/MD/MID; matched-random persistent blocks; ERM/DANN/CORAL/MMD","TRUE","PROSPECTIVELY_FROZEN_WBCIC_DEVELOPMENT; S3_ALREADY_OBSERVED; OUTER10_UNTOUCHED","MIXED_PRIMARY_REPLICATION","FINAL_VALIDATION_PASS","WBCIC_INVARIANCE_MANIPULATION_INCONCLUSIVE","D-over-I prediction replicates strongly; block consequence is partial; manipulation remains inconclusive.","Strong invariance counterexample, universal dataset generality, physiological causality, or outer confirmation","CORE_CROSS_DATASET_MECHANISM_EVIDENCE_WITH_NEGATIVE_BOUNDARY","experiments/persist_eeg_wbcic_independent_replication_v1/FINAL_REPORT.md"
"46","P4A_CROSS_SETTING_ASSET","codex/persist-eeg-p4a-cross-setting-expansion-v1","7f2c9330e9ccb9f48fb6eef1f85c2eaf1734a987..281e7c66c9818b5d2efe96968900cb585af20287","experiments/persist_eeg_p4a_cross_setting_expansion_v1","OpenBMI MI/ERP and WBCIC MI","OpenBMI 40 per setting; WBCIC 41 per setting","OpenBMI source S1+S2 to held-subject S2; WBCIC source S1+S2 to held-subject S3","motor imagery and ERP","EEGNet and EEGConformer","3","six settings x five folds x three seeds=90 ERM run rows; cohorts repeat across settings","source roles train competent ERM and compute eight frozen source directions","authorized outcome used for ERM competence only; new direction utility kept unopened until later protocols","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED; S4/S6 utilities later PROSPECTIVE_ALREADY_OBSERVED under P4C","build competent cross-setting source evidence cube","source primitives are available across dataset, task, and backbone for later frozen tests","ERM competence BA and source-artifact completeness","biological subject within setting; 90 runs/720 direction rows not people","all six settings pass competence; mandatory new ERM 45/45; full non-ERM 405 grid paused after 205 cells","BA S1-S6=0.75492,0.77192,0.78843,0.78441,0.85635,0.83390","NOT_REPORTED","NOT_REPORTED","cross-setting ERM; non-ERM partial grid excluded from primary gate","TRUE; LEAN_COMPUTATIONAL_AMENDMENT_BEFORE_P4B_OUTCOMES","SOURCE_ASSET_ONLY; NOT_AN_EFFECT_CONFIRMATION","VALID_SOURCE_ASSET","LEAN_FINAL_VALIDATION_PASS","P4A_LEAN_CROSS_SETTING_CUBE_COMPLETE","The competent-ERM source cube is valid; the original 405-grid outcome was not completed.","Completed invariance grid or evidence that suppression helps","APPENDIX_ASSET_AND_COMPETENCE","experiments/persist_eeg_p4a_cross_setting_expansion_v1/P4A_LEAN_FINAL_REPORT.md"
"47","P4B_IDENTITY_RELIABILITY_DISCOVERY","codex/persist-eeg-p4b-identity-reliability-discovery-v1","b4d6fcabf4e8e33501d32c9bb1b70625ac93106b..8b26c073cea98743f73734cff4f60b58c8e3fe71","experiments/persist_eeg_p4b_identity_reliability_discovery_v1","OpenBMI and WBCIC discovery settings S1,S2,S3,S5","OpenBMI 40 per setting; WBCIC 41","setting-specific future session outcome after source freeze","motor imagery and ERP","EEGNet and EEGConformer by setting","3","four discovery settings; five folds x three seeds x eight directions; leave-one-setting-out","source cube fixes I,P,D,C,O and regimes before future utility","future direction utility in discovery settings only; reserved S4/S6 untouched during P4B","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED; S4/S6 later PROSPECTIVE_ALREADY_OBSERVED and cannot repair P4B","linear identity-by-task-entanglement reliability model","identity is a reliable nuisance proxy only when task entanglement is low","LOSO RMSE MI versus MINT; interaction; simple-slope and regime contrasts","biological subject nested in setting/fold/run/direction; rows are repeated","MINT much worse than MI; interaction and DeltaSlope wrong sign; only coarse DeltaRegime positive","RMSE_MI-RMSE_MINT=-0.014896525; beta_IxE=0.000094884","RMSE diff CI [-0.032068834,0.000567501]; beta CI [-0.001507482,0.000675706]","NOT_REPORTED","M0; MI; ME; MADD; MINT; secondary I-by-D/C/O models","TRUE","PROSPECTIVELY_FROZEN_DISCOVERY; RESERVED_S4_S6_NOT_USED_IN_P4B","PRIMARY_NEGATIVE_CROSS_SETTING_RESULT","P4B_FINAL_VALIDATION_PASS","P4B_IDENTITY_RELIABILITY_CONDITION_NOT_SUPPORTED","The continuous reliability condition failed; positive DeltaRegime alone cannot override failed primary gates.","P4B support, P4C authorization by P4B, or cherry-picked setting conclusion","CORE_NEGATIVE_CROSS_SETTING_EVIDENCE","experiments/persist_eeg_p4b_identity_reliability_discovery_v1/P4B_FINAL_REPORT.md"
"48","P4C_SUPPRESSION_SAFETY","codex/persist-eeg-p4c-suppression-safety-validation-v1","cc4b6bb3dc9f5182a80b1c658ccb2c278d397226","experiments/persist_eeg_p4c_suppression_safety_validation_v1","S4 WBCIC MI and S6 OpenBMI ERP","WBCIC 41; OpenBMI 40","setting-specific source roles; reserved future outcomes opened after P4C freeze","motor imagery and ERP","EEGConformer","3","S4/S6 five folds x three seeds; preoutcome low/high regime assignments","P4A/P4B source cube fixes zI and E_task regimes","S4/S6 future utilities first opened under this P4C safety protocol","S4/S6 now PROSPECTIVE_ALREADY_OBSERVED; OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED","rank-one suppression in preassigned high-I low-E versus high-E regimes","task-entangled high-identity directions define a prospective suppression-safety veto","pooled DeltaRegime and high-E suppression utility","biological subject first; setting/fold/seed/direction hierarchy","pooled DeltaRegime positive but CI crosses zero; high-E harm CI reaches zero; low-E suppression not beneficial; G1/G2 fail","DeltaRegime=0.004169563; U_high=-0.005007713","DeltaRegime CI [-0.001973230,0.011134038]; U_high CI [-0.011772474,0.000122837]","NOT_REPORTED","matched-random; highest-identity; noop; low/high regimes","TRUE","PROSPECTIVE_FIRST_USE_OF_RESERVED_S4_S6; NOW_ALREADY_OBSERVED","SCOPED_PARTIAL_SUPPORT_WITH_NEGATIVE_PRIMARY_CONTEXT","P4C_SAFETY_FINAL_VALIDATION_PASS","P4C_SAFETY_BOUNDARY_PARTIAL_SUPPORTED","A coarse asymmetric safety boundary is partially supported, while continuous P4B reliability remains negative.","Beneficial low-E suppression, specific matched-random advantage, P4B rescue, or model authorization","SECONDARY_PARTIAL_SAFETY_BOUNDARY","experiments/persist_eeg_p4c_suppression_safety_validation_v1/P4C_SAFETY_FINAL_REPORT.md"
"49","P4D_METHOD_LEVEL_BRIDGE","codex/persist-eeg-p4d-method-level-bridge-v1","57d5e4f1ae0a7c80d95ca27983fedad2ec3f690c","experiments/persist_eeg_p4d_method_level_bridge_v1","S4 WBCIC MI and S6 OpenBMI ERP","WBCIC 41; OpenBMI 40","source identity manipulation; future task outcome after bridge freeze","motor imagery and ERP","EEGConformer settings; DANN only competent","3","30 prospective DANN setting-run rows, 15 per setting; setting/fold/seed bootstrap","S4 source identity selects canonical lambda; S6 canonical-only training before outcome","future method task outcomes opened only after protocol and burden freeze","S4/S6 PROSPECTIVE_ALREADY_OBSERVED; OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED","global invariance moderated by frozen unsafe identity burden","unsafe burden yields a negative interaction and positive low-versus-high simple-slope bridge across methods/settings","interaction beta zSI x Runsafe and DeltaSlope bridge","setting/fold/seed run hierarchy; underlying subjects not replaced by 30 runs","only DANN competent; interaction wrong sign and CI crosses zero; all G1-G5 fail","interaction=0.017615955; DeltaSlope=-0.008807978","interaction CI [-0.009109571,0.041107147]; DeltaSlope CI [-0.020553573,0.004554785]","NOT_REPORTED","DANN primary; MMD/CORAL excluded after source competence failure; low/high burden headroom","TRUE","CONDITIONAL_PROSPECTIVE_METHOD_BRIDGE; S4_S6_ALREADY_OBSERVED","PRIMARY_NEGATIVE_METHOD_BRIDGE","P4D_FINAL_VALIDATION_PASS","P4D_METHOD_LEVEL_BRIDGE_NOT_SUPPORTED","The coarse safety signal did not generalize to a method-level bridge; only one method was competent.","Method-general moderation, P4E authorization, or selective-invariance model","CORE_OR_APPENDIX_NEGATIVE_BRIDGE","experiments/persist_eeg_p4d_method_level_bridge_v1/P4D_FINAL_REPORT.md"
"50","SCST_DR_TRANSPORT_VALIDITY","codex/persist-eeg-final-scst-dr","0312681a960f066e8a760edf839521d62d61f60e..ad732ba9be5c1886acc4f5cb264d7528934a5db4","experiments/persist_eeg_final_scst_dr","OpenBMI and WBCIC development","OpenBMI 40; WBCIC 41","first legal source session bank; independent second legal session validity","motor imagery","EEGNet and EEGConformer","1 historical ERM seed","four settings x five folds=20 units; source-subject bootstrap","model-fit first session defines transport bank/support and alpha","second legal session tests affinity, class fidelity, and manifold validity; no future performance","OpenBMI internal-14 INVALID_FOR_CONFIRMATION; WBCIC outer-10 OUTER_UNTOUCHED; neither outcome read","source-support-constrained same-class subject transport at alpha<=0.25","transport remains subject-faithful, class-faithful, stable, and on-manifold in all four settings","seven-gate transport validity at final embedding","source biological subject for bootstrap; centroids/trials/settings not people","both OpenBMI settings pass; both WBCIC settings fail unchanged 3NN ratio <=1.25; 2/4 pass","WBCIC ratios 1.3079565 and 1.3407996","threshold comparison; no interval for ratio gate","NOT_APPLICABLE","no transport; wrong class; subject permutation; norm-matched random; unconditional transport; same-class mixup","TRUE_FOR_REPAIR2","PROSPECTIVELY_FROZEN_REPAIR2_DEVELOPMENT_VALIDITY; NO_FUTURE_PERFORMANCE","AUTHORITATIVE_FINAL_NEGATIVE_REPAIR","STAGE0_REPAIR2_VALIDATION_PASS; FINAL_CLOSURE_VALIDATION_PASS","TRANSPORT_VALIDITY_NOT_SUPPORTED; FINAL_CONSTRUCTIVE_HYPOTHESIS_NOT_SUPPORTED","OpenBMI transport validity does not satisfy the required cross-dataset four-setting gate; no training is authorized.","Transport validity across datasets, SCST performance, Repair-3, or outer generalization","CORE_NEGATIVE_TRANSPORT_BOUNDARY","experiments/persist_eeg_final_scst_dr/STAGE0_REPAIR2_REPORT.md"
