block,draw,subject,u_random,finite_logit_rms,delta_BA_random,persistence_random
P01_04,17,S088,0.008389249899679554,0.4551237122691707,0.02631578947368421,21.322091087471005
P01_04,17,S095,0.059912032517704925,0.360773542522188,-0.013392857142857206,24.028069427025493
P01_04,17,S097,-0.0332385431986086,0.2832146439153932,0.0,4.049132701562737
P01_04,17,S102,0.04414261058797535,0.367108533074682,0.01666666666666672,8.61747096875737
P01_04,17,S106,-0.03307769113840552,0.33080606112421423,0.002232142857142849,16.926118593092735
P01_04,18,S002,0.05592248994700275,0.532680338120623,-0.024553571428571397,28.338705208573874
P01_04,18,S015,-0.07717767389753304,0.2918391615466535,-0.01785714285714285,25.370898899099693
P01_04,18,S018,0.059368400665609396,0.48459249392685466,-0.04999999999999999,32.63782356281601
P01_04,18,S030,-0.008765708865077422,0.42009388552445204,0.006696428571428575,44.763527491900476
P01_04,18,S043,-0.13413067521404923,0.4925373734611416,-0.04999999999999999,-0.00894969114287747
P01_04,18,S044,-0.2756616207309977,1.0643054371116887,0.016666666666666663,29.81916670036656
P01_04,18,S066,-0.12035597526364071,0.564673816640415,-0.04999999999999999,19.76510312026474
P01_04,18,S072,0.007323531669550406,0.4446006752067238,-0.033333333333333326,55.36693305386558
P01_04,18,S077,0.020104374835112356,0.49880385724266435,0.03452380952380951,24.694839020008573
P01_04,18,S083,-0.13059335456146728,0.5281824747157736,-0.058035714285714274,32.668588487495285
P01_04,18,S088,-0.0387793617364815,0.609796955984522,0.0789473684210526,16.600311970239922
P01_04,18,S095,0.038919153363364586,0.6315440558982623,0.0401785714285714,23.758951801383752
P01_04,18,S097,-0.04898951232938639,0.44255545990968176,0.0,25.70362076920142
P01_04,18,S102,0.027786747907645046,0.41624472682409897,-0.04999999999999999,37.68348904380811
P01_04,18,S106,0.019428316533891026,0.5482158583294746,-0.0580357142857143,18.248921526581515
P01_04,19,S002,0.06071673784906364,0.5711380609947144,-0.015625,28.99184460746286
P01_04,19,S015,-0.04709516069291616,0.39741082715053067,0.0,34.755921030861444
P01_04,19,S018,0.023220137851804504,0.5034402115818191,0.016666666666666663,32.997235440935626
P01_04,19,S030,-0.03536015878907072,0.5908566186754142,0.015625,38.63529339641206
P01_04,19,S043,-0.07796947072573443,0.548170456010541,-0.06666666666666665,5.5850306254428
P01_04,19,S044,-0.32561388570143207,1.226446183519124,0.016666666666666663,30.697501373808343
P01_04,19,S066,-0.13232310189937774,0.5764065489052344,-0.05000000000000002,24.1227026319648
P01_04,19,S072,-0.2327513919018727,0.8812823887113268,0.08333333333333331,42.9739365279852
P01_04,19,S077,0.11132825409601814,0.8577658210870467,-0.002232142857142849,23.589838666634257
P01_04,19,S083,0.0031312832474707287,0.5606964604187913,-0.046875,35.81378695652228
P01_04,19,S088,0.06211527923676471,0.6396287774863382,0.0789473684210526,14.65166614039849
P01_04,19,S095,0.07457765120529712,0.5728947933241265,0.015625,31.069480806198413
P01_04,19,S097,-0.02236725658780307,0.554917318675461,-0.016666666666666663,20.512764647537672
P01_04,19,S102,-0.03083194903355284,0.5205445308765316,-0.016666666666666607,33.317943278765824
P01_04,19,S106,-0.04337554599104571,0.7063659211464245,-0.07142857142857145,23.215062664348828
P01_04,20,S002,-0.025607798429472216,0.3503601925347773,-0.03125,28.50871093492437
P01_04,20,S015,-0.027851358218615882,0.23758754890683922,0.015625,31.482499142318964
P01_04,20,S018,-0.001497199123782844,0.40868947994229965,0.01666666666666672,33.40314584512906
P01_04,20,S030,0.019811221856966175,0.484482811197471,-0.002232142857142849,37.14213520690922
P01_04,20,S043,-0.15756472724750883,0.50944252807829,-0.04999999999999999,30.244633237958308
