fold,seed,inner_fold,run,kind,draw,subject,n_trials,n_shifts,rescue_rate,harm_rate,net_rescue,stable_correct_rate,stable_wrong_rate,true_margin_change,correct_probability_change,prediction_flip_rate,ce_change,ba_change,confidence_change
0,0,0,0_0,matched_random,1,37,200,12,0.0,0.0,0.0,0.975,0.025,0.00010406218158702056,2.655323544183468e-05,0.0,-3.422262389803113e-05,0.0,4.027779595005952e-05
0,0,0,0_0,matched_random,1,41,200,12,0.01,0.005416666666666667,0.004583333333333333,0.7195833333333334,0.265,5.276965908706188e-05,3.5094109946648413e-07,0.015416666666666667,6.605151864616713e-05,0.004583333333333338,0.00013464850816639085
0,0,0,0_0,matched_random,1,42,200,12,0.0008333333333333334,0.0008333333333333334,0.0,0.7741666666666667,0.22416666666666665,3.1479422468692063e-05,5.9347529582240615e-05,0.0016666666666666668,-0.0003112933795398353,0.0,-0.00014418085671918704
0,0,0,0_0,matched_random,1,43,200,12,0.0,0.00375,-0.00375,0.84625,0.15,7.423837513973315e-05,-6.457203020885621e-05,0.00375,0.0003006394574835137,-0.0037500000000000866,0.00010643182008659908
0,0,0,0_0,matched_random,2,7,200,12,0.009583333333333333,0.0004166666666666667,0.009166666666666667,0.7995833333333333,0.19041666666666668,8.622005892296632e-05,-0.00019910645226313647,0.01,0.000621139851092487,0.009166666666666656,8.537511964339639e-05
0,0,0,0_0,matched_random,2,16,200,12,0.0016666666666666668,0.0,0.0016666666666666668,0.905,0.09333333333333334,0.00035438728518784047,-1.6239872456081228e-05,0.0016666666666666668,4.9033876646163535e-05,0.001666666666666668,4.562711959599832e-06
0,0,0,0_0,matched_random,2,24,200,12,0.006666666666666667,0.00375,0.0029166666666666672,0.70625,0.2833333333333333,8.934094182526072e-05,0.00014826471777443492,0.010416666666666666,-0.0006842095915755266,0.0029166666666666694,-0.00014399538157817537
0,0,0,0_0,matched_random,2,37,200,12,0.0,0.0,0.0,0.975,0.025,0.0004981689217189948,4.064290406645477e-05,0.0,-4.782358520820337e-05,0.0,5.932450579314264e-05
0,0,0,0_0,matched_random,2,41,200,12,0.014166666666666666,0.006666666666666667,0.007499999999999999,0.7183333333333334,0.2608333333333333,0.0001329355329896013,5.50433094910513e-06,0.020833333333333332,0.00010614153947306129,0.007500000000000007,0.0002434369764175914
0,0,0,0_0,matched_random,2,42,200,12,0.0016666666666666668,0.00125,0.00041666666666666675,0.77375,0.22333333333333333,0.00014674396564563115,8.751866995287086e-05,0.002916666666666667,-0.0004098168089038535,0.000416666666666667,-0.00018078502378336141
0,0,0,0_0,matched_random,2,43,200,12,0.0,0.005833333333333334,-0.005833333333333334,0.8441666666666666,0.15,0.00024964281901096306,-8.312285217079096e-05,0.005833333333333334,0.0004277593257096642,-0.005833333333333431,0.0001663318883980452
0,0,0,0_0,matched_random,3,7,200,12,0.005833333333333334,0.0004166666666666667,0.005416666666666667,0.7995833333333333,0.19416666666666665,-2.459800026069085e-05,-1.1290585190729315e-05,0.00625,4.0429263941449916e-05,0.005416666666666625,3.401967489435924e-05
0,0,0,0_0,matched_random,3,16,200,12,0.00125,0.0,0.00125,0.905,0.09375,-0.0002010624638448159,-2.853224221201723e-05,0.00125,4.9255089228994495e-05,0.0012500000000000011,-2.7410650146553195e-05
0,0,0,0_0,matched_random,3,24,200,12,0.00375,0.004583333333333333,-0.0008333333333333335,0.7054166666666667,0.28625,-5.7275299138079084e-05,-1.793585168938606e-05,0.008333333333333333,6.122058700348919e-05,-0.000833333333333334,3.4586078079120315e-05
0,0,0,0_0,matched_random,3,37,200,12,0.0,0.0,0.0,0.975,0.025,-0.00013183058006688953,-1.0575139528617507e-05,0.0,1.902546611928537e-05,0.0,-1.09692125531879e-05
