setting_id,fold,seed,method,lambda,I_ERM,I_method,S_I_abs,S_I_rel,checkpoint_sha256,task_outcome_accessed_for_selection
S4,4,0,CORAL,0.01,0.0811204581734215,0.08079942094887582,0.00032103722454568384,0.003957537121590268,1e4c3bdaae9103006a8ad9877325fb1b43a717cc9600ee6667b38a925d1f6c73,False
S4,4,0,CORAL,0.1,0.0811204581734215,0.07323435764232045,0.007886100531101059,0.09721469415452172,284bf8406651bbda1e1e0ff5df5a970fbb240c546b814a0fae98a42b1ba2f05f,False
S4,4,0,CORAL,1.0,0.0811204581734215,0.06935584598792444,0.01176461218549707,0.14502645140639292,d22d4e35273357f3c389b2ffc484bd6cc4b1933d7f85957b2aeb1624accd7623,False
S4,4,1,DANN,0.01,0.07012086803466078,0.06812547870955421,0.001995389325106567,0.028456426467678472,76bf6c2fc627883ae8a4fa5de5be0864805d6e56e2a8b6107ebea80c199fbe8d,False
S4,4,1,DANN,0.1,0.07012086803466078,0.06205816772856676,0.008062700306094017,0.11498289356591589,838c3cb85716177b4868b614767602d0b126c300ddc5bd2552983fc9b7ce02d2,False
S4,4,1,DANN,1.0,0.07012086803466078,0.09953876803618256,-0.02941790000152178,-0.41953131536479216,9fa5948250672b2a72ebaa26ae2d91adf9a5542fc2d51d395ec8284e39f00e1c,False
S4,4,1,MMD,0.01,0.07012086803466078,0.06629199083778992,0.0038288771968708613,0.0546039617610501,6cb8b6229b27747ca96c5f0bd9f44512bdc82a9a04f66e8c9785450c30dcb893,False
S4,4,1,MMD,0.1,0.07012086803466078,0.0647009370405438,0.005419930994116973,0.07729412293299912,5a2021e6b9079bde08bdae806aedfefc510142c1498867507c4249f93786119d,False
S4,4,1,MMD,1.0,0.07012086803466078,0.07698782576167185,-0.006866957727011069,-0.09793030119819393,c15f6d16c7a40e3fb696c08845115d554a31a421eca4d1f7463a1c9825666ca6,False
S4,4,1,CORAL,0.01,0.07012086803466078,0.0714441705385318,-0.0013233025038710267,-0.01887173591744537,13b1803caebae3268ec02f0ae952a02761c1d1daa0afd600b72f328323828978,False
S4,4,1,CORAL,0.1,0.07012086803466078,0.06641194649521176,0.003708921539449017,0.05289326335154325,875eff45fe2ab1191b93078dc4f961d4b944da49aa3ebfb5d7fbbd2726b743ba,False
S4,4,1,CORAL,1.0,0.07012086803466078,0.07132903589897466,-0.0012081678643138805,-0.017229790476915554,79b441c374d66af3c8d4978d332a91f4037e5b5c80942b4c69cc0e7c15fdea73,False
S4,4,2,DANN,0.01,0.06654068453432171,0.06745862100927646,-0.0009179364749547503,-0.013795116196429915,e94323995a69c075e2d0f18c9d1511555b7e226ae80ec6703e0c0772a8a6da5b,False
S4,4,2,DANN,0.1,0.06654068453432171,0.04805612709308926,0.018484557441232452,0.2777933165298339,9f4bee38ee4d50b437af154951e664e12e443461d24da56928bd266922e2eec3,False
S4,4,2,DANN,1.0,0.06654068453432171,0.042746653587433237,0.023794030946888478,0.35758620628944565,a436714ec1fb074d238f1d7e73f8c625910221a7a0bdbc2411369cb324d34cdc,False
S4,4,2,MMD,0.01,0.06654068453432171,0.07072036158140493,-0.004179677047083219,-0.06281385706010471,e022a38cc7cf6330d07effa8aba95fc7c7e1457e14a108892f0cb50736de7f83,False
S4,4,2,MMD,0.1,0.06654068453432171,0.0760373448623406,-0.00949666032801888,-0.14271960672388,d57ac35751a482a4c1929b7ed23ca5cd9af09a79fbaa26b064f89e0fd5927f77,False
S4,4,2,MMD,1.0,0.06654068453432171,0.08100844912938876,-0.014467764595067045,-0.21742734833734897,f75a11792f1c6569885873b7b98fe654cfa78582dba41585483f606ef6dc7ad6,False
S4,4,2,CORAL,0.01,0.06654068453432171,0.06985917072799541,-0.0033184861936736976,-0.04987153674248946,62d08825d4d9b8c728d6e511209e33bab1385d7f2088ac3a3cbaf5bdf03d0910,False
S4,4,2,CORAL,0.1,0.06654068453432171,0.06264872626533591,0.0038919582689858068,0.058489904276831456,2f31b94aab25be8afe2e6bdc7f23a57740c8e6b75edc69bcb22d8b9c27d32a55,False
S4,4,2,CORAL,1.0,0.06654068453432171,0.07018249600342319,-0.0036418114691014747,-0.05473059819768304,b99bf5e9ee684180c7690533249442b8f5949a8b318f18d380ace819c9932f4e,False
