dataset,method_id,subject_id,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,baseline,baseline_BA,delta_BA,OUTER_TEST_USED
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-1,0.9450000000000001,0.945,0.9449876222149984,0.2540048469232163,0.06851726808266752,0.13790175624217768,current,0.965,-0.019999999999999907,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-11,0.75,0.75,0.74997499749975,0.4822095693326645,0.16070793971642175,0.08611656845930504,current,0.75,0.0,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-12,0.76,0.76,0.7580401250126021,0.5766983430518541,0.19431108696967736,0.17811987788710665,current,0.7350000000000001,0.02499999999999991,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-13,0.845,0.845,0.8446854881134297,0.3345700838318759,0.10150521769867737,0.10445245494423207,current,0.865,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-14,0.49,0.49,0.4729226953286482,0.7087081813176556,0.25683559897408315,0.09050429526483962,current,0.6000000000000001,-0.1100000000000001,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-16,0.55,0.55,0.5349317899958661,0.7551382112673873,0.26887573338120974,0.13160248544957218,current,0.5700000000000001,-0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-17,0.865,0.865,0.8649966249156229,0.3103237409535387,0.09774814848056117,0.07668196466293903,current,0.845,0.020000000000000018,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-18,0.62,0.62,0.6199619961996199,0.6418418247773817,0.22495962279757328,0.08191739885813051,current,0.6499999999999999,-0.029999999999999916,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-19,0.95,0.95,0.9499799919967987,0.13612609894137506,0.03907550396728791,0.03949025868179304,current,0.9450000000000001,0.004999999999999893,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-2,0.7350000000000001,0.735,0.7335009428032684,0.47421444629058557,0.16091132171956501,0.08222062912564553,current,0.7250000000000001,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-21,0.845,0.845,0.8443423464135975,0.3051822449144596,0.09945237407959771,0.06730265160494808,current,0.8600000000000001,-0.015000000000000124,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-22,0.76,0.76,0.7599039615846338,0.487025845094958,0.1594971225887416,0.06512469676746811,current,0.75,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-23,0.975,0.975,0.9749993749843746,0.0752880680249319,0.018610126999517758,0.04957999762661391,current,0.99,-0.015000000000000013,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-24,0.9741161616161617,0.9743589743589743,0.9743346758272131,0.12363647823523977,0.032924784082663916,0.06262962577290195,current,0.9433396464646464,0.03077651515151525,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-25,0.99,0.99,0.9899989998999901,0.04691129327562784,0.00957966084566618,0.035879735238387125,current,0.98,0.010000000000000009,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-26,0.6699999999999999,0.67,0.6694711538461539,0.6174680378638251,0.21364519185127817,0.12658647069639392,current,0.73,-0.06000000000000005,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-27,0.595,0.595,0.5772332263368042,0.6591070488865839,0.23366423997158228,0.10033694713181143,current,0.6699999999999999,-0.07499999999999996,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-28,0.69,0.69,0.6895032051282051,0.5555267836110912,0.19951919356886463,0.17117411820576067,current,0.66,0.029999999999999916,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-29,0.8999999999999999,0.9,0.899507587177168,0.32080573171658494,0.08425306644797416,0.07311281797084895,current,0.915,-0.015000000000000124,False
WBCIC_NEMAR_nm000348_authorized_development_S3,M3_HIERARCHICAL_RELIABILITY_SEARCH,sub-3,0.88,0.88,0.8794091046126018,0.3168872716372971,0.09407355396641595,0.09219691497401346,current,0.88,0.0,False
