expert,subject_id,configuration,candidate_order,history_cv_BA,history_cv_worst_session_BA,history_cv_NLL,selected,target_sessions_used,target_S3_labels_used_for_fit,OUTER_TEST_USED
EEGNet_STABLE,sub-35,"{'family': 'logistic', 'C': 0.01}",1,0.9675,0.965,0.15566429823292147,False,"S1,S2",False,False
EEGNet_STABLE,sub-35,"{'family': 'logistic', 'C': 0.1}",2,0.9724999999999999,0.97,0.08401593879353333,False,"S1,S2",False,False
EEGNet_STABLE,sub-35,"{'family': 'logistic', 'C': 1.0}",3,0.9775,0.975,0.0693765056525148,True,"S1,S2",False,False
EEGNet_STABLE,sub-36,"{'family': 'logistic', 'C': 0.001}",0,0.9125,0.88,0.47442864967228526,False,"S1,S2",False,False
EEGNet_STABLE,sub-36,"{'family': 'logistic', 'C': 0.01}",1,0.915,0.88,0.258965735208519,False,"S1,S2",False,False
EEGNet_STABLE,sub-36,"{'family': 'logistic', 'C': 0.1}",2,0.915,0.885,0.19946415863905587,True,"S1,S2",False,False
EEGNet_STABLE,sub-36,"{'family': 'logistic', 'C': 1.0}",3,0.9025,0.865,0.23320403063182982,False,"S1,S2",False,False
EEGNet_STABLE,sub-37,"{'family': 'logistic', 'C': 0.001}",0,0.825,0.7849999999999999,0.5841963897061215,False,"S1,S2",False,False
EEGNet_STABLE,sub-37,"{'family': 'logistic', 'C': 0.01}",1,0.8425,0.81,0.41451123850093125,True,"S1,S2",False,False
EEGNet_STABLE,sub-37,"{'family': 'logistic', 'C': 0.1}",2,0.83,0.7949999999999999,0.3796705129256743,False,"S1,S2",False,False
EEGNet_STABLE,sub-37,"{'family': 'logistic', 'C': 1.0}",3,0.8049999999999999,0.775,0.5158808476465031,False,"S1,S2",False,False
EEGNet_STABLE,sub-38,"{'family': 'logistic', 'C': 0.001}",0,0.4525,0.42,0.7047215595608057,False,"S1,S2",False,False
EEGNet_STABLE,sub-38,"{'family': 'logistic', 'C': 0.01}",1,0.4825,0.46499999999999997,0.8081820517599465,False,"S1,S2",False,False
EEGNet_STABLE,sub-38,"{'family': 'logistic', 'C': 0.1}",2,0.58,0.5,1.0845723410650447,True,"S1,S2",False,False
EEGNet_STABLE,sub-38,"{'family': 'logistic', 'C': 1.0}",3,0.5349999999999999,0.49,1.3642750271034254,False,"S1,S2",False,False
EEGNet_STABLE,sub-41,"{'family': 'logistic', 'C': 0.001}",0,0.775,0.75,0.577078891953885,False,"S1,S2",False,False
EEGNet_STABLE,sub-41,"{'family': 'logistic', 'C': 0.01}",1,0.7775000000000001,0.755,0.42863650924843155,False,"S1,S2",False,False
EEGNet_STABLE,sub-41,"{'family': 'logistic', 'C': 0.1}",2,0.7775000000000001,0.755,0.4141255884172909,True,"S1,S2",False,False
