benchmark,outer_fold,subject_id,component_id,P_persistence,G_task_overlap,R_history_transfer,future_ce_gain,future_ba_gain,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_00,0.935352594057907,0.17038923834537498,0.005788227210154543,-0.016289710347251102,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_01,0.8175276389106937,0.3140642112395361,0.005751077409741814,-0.010267922799319568,0.0,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_02,0.4074611374131608,0.33605126846510536,0.0040819744920091786,-0.0077300283784654256,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_03,0.766939646548485,0.34118089270157137,0.005328674617067274,0.020805803394206596,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_04,0.6248323100819172,0.3603431888105824,0.007779665917986411,-0.006811728655622518,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_05,0.24222850271209928,0.3598028000400495,-2.3187897046878653e-05,-0.013928477201904266,-0.030000000000000027,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_06,0.4002690162365304,0.29802092546438735,0.0010242947771426543,0.0003536654660570848,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,35,META_SGD_PC_GROUP_07,0.4832325884481271,0.41695209869425637,0.0056604349944261965,-0.017059258022070645,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_FULL_S025,0.8494699767466639,0.36156177120012845,0.007807072264558124,0.00426539499286735,0.0,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_FULL_S050,0.8494699767466638,0.36156177120012845,0.01383511657777231,0.0074651741519980025,0.0,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_00,0.8430506408031659,0.31994000492509556,0.01236608596376279,0.008490516492649591,0.0,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_01,0.5942599726905174,0.43131011805161057,0.015974940499916296,-0.017881566527674517,0.0,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_02,0.7521957590770416,0.37683170409436806,0.0190600845290761,-0.0003902506741694789,0.0,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_03,0.19259730528007626,0.2771799416526902,-0.003100472730023472,-0.003311547016196653,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_04,-0.17754478733874518,0.20414269058187615,-0.014163204894426525,0.003545055918235354,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_05,-0.15978173653219732,0.3688273931061024,-0.021044008308904003,-0.00038951258727844273,0.0,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_06,0.29415594124007777,0.3994197967071989,0.0034019689279847776,-0.020144068936533727,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,27,META_SGD_PC_GROUP_07,0.7244678560586627,0.44247768107461294,0.016096889882546872,0.007119001429487057,0.0,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_FULL_S025,0.4165578145365608,0.44278541105857266,0.010680352920368535,-0.00933921444070518,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_FULL_S050,0.4165578145365608,0.4427854110585728,0.015779181263712583,-0.023190817532878605,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_00,0.3994544704318471,0.30505215565185223,0.011246962464615262,-0.026672819593761415,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_01,0.4328206360446627,0.25704248750248093,-0.0012001847020567946,-0.010649467361909831,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_02,0.5693797201474964,0.3182944601990208,0.00790261852025076,-0.012309267354446929,0.0,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_03,0.1362786632657319,0.3102283874077138,-0.0056354441297659374,-0.020918210430405648,0.0,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_04,0.598504709885707,0.3110945476049853,0.014681089995032287,-0.004043414737854828,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_05,-0.5553838229360584,0.21725322267030253,-0.03224826134941952,-0.013533927009938662,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_06,-0.055455502936059005,0.1750165718129456,-0.013571486262915516,-0.019612855661257755,0.0,False
OpenBMI_MI_S1_to_S2,0,20,META_SGD_PC_GROUP_07,-0.7705766209996767,0.19750159585870888,-0.04788580329133582,-0.0012098284506303902,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_FULL_S025,0.8156844099067171,0.29128177461673455,0.0034071628293425513,0.003039111448956744,0.0,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_FULL_S050,0.8156844099067173,0.2912817746167346,0.006084581692448649,0.005325521535946898,0.0,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_00,0.870364852493197,0.20362784500166975,0.0056866661249939075,0.006984827835231029,0.0,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_01,0.25033559166389546,0.4045929992922041,-0.005448975040508022,-0.015679919974359913,0.0,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_02,0.6171110387648642,0.2614445106314615,0.007462984590451065,0.014645771858719209,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_03,-0.4067400636588851,0.2752283767356096,-0.009836711074871253,0.004499028553938675,0.0,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_04,0.6608875512785926,0.30618540094002544,0.007662643394107941,-0.0057834779466779535,0.0,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_05,0.6138313373110689,0.5526333352422408,0.015080378137703822,0.003692181614657397,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_06,0.3603347754766435,0.3276140645984657,-0.0007855371944062023,0.003547972120758386,0.0,False
OpenBMI_MI_S1_to_S2,0,6,META_SGD_PC_GROUP_07,0.03535025612312735,0.20483455157816205,-0.0099167890929166,0.0036032424611671804,0.0,False
OpenBMI_MI_S1_to_S2,0,21,META_SGD_FULL_S025,0.9325799869678513,0.4024737794590986,0.010720538564100622,0.00308476476907835,0.0,False
OpenBMI_MI_S1_to_S2,0,21,META_SGD_FULL_S050,0.9325799869678512,0.4024737794590986,0.019169399345535507,0.0055665120801941526,0.0,False
OpenBMI_MI_S1_to_S2,0,21,META_SGD_PC_GROUP_00,0.9362606014612246,0.3700608581947539,0.019385925771323614,0.00595824573214148,0.0,False
OpenBMI_MI_S1_to_S2,0,21,META_SGD_PC_GROUP_01,0.3696216521799516,0.32756294451379053,0.004196160714980482,-0.0006310774360829205,0.0,False
