benchmark,outer_fold,subject_id,role,base_kind,component_id,family,strength,c_value,group,history_base_ce,history_base_ba,history_margin_mean,history_margin_std,history_entropy_mean,history_prototype_separation,history_gradient_norm,history_session_drift,history_samples,update_rms,update_mean_abs,history_component_ce_gain,history_component_ba_gain,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,split_update_disagreement,U_signed_utility_prior,future_ce_gain,future_ba_gain,meta_query_label_used_for_utility_target,evaluation_future_label_used_for_controller_fit,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_01,projected_gradient,0.5,0.1,1,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.49999999999999994,0.39538112720017415,0.026426286312519975,0.010000000000000009,0.5997497211710342,0.01,0.3111986054504844,0.010858443525681744,0.4234969260906417,0.0,-0.008485558410784633,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_02,projected_gradient,0.5,0.1,2,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.5,0.40156619876926336,0.03751233411427762,0.030000000000000027,0.010616656566827568,0.03,0.42021491616520973,0.000821544704982094,0.6884807791751535,0.0,0.007303313026307906,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_03,projected_gradient,0.5,0.1,3,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.5,0.3836610486667874,0.01876114235957735,0.020000000000000018,0.523768943304583,0.04,0.2850111831398625,0.005424095515126723,0.45839133767915236,0.0,0.002684370531428615,0.020000000000000018,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_04,projected_gradient,0.5,0.1,4,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.5,0.3612045631664788,0.006996243834534427,-0.009999999999999898,-0.6334559426954527,0.03,0.14855714755565716,-0.030334733955889426,0.829684424208367,0.0,-0.004859747516420154,0.020000000000000018,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_05,projected_gradient,0.5,0.1,5,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.49999999999999994,0.379336421002062,0.014889443852040468,0.010000000000000009,0.2566384934308942,0.01,0.24030945957777916,-0.014751136607724341,0.5929590562875051,0.0,-0.0038895416070262867,0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_06,projected_gradient,0.5,0.1,6,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.49999999999999994,0.36448549940049413,0.012520622611747245,0.0,0.31821520339742443,0.0,0.20289210298059318,-0.004195956759067518,0.5634238239121403,0.0,0.008409813930778637,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,45,meta_train,raw,META_SGD_PC_GROUP_07,projected_gradient,0.5,0.1,7,0.2142268953005177,0.9299999999999999,2.40189066529274,1.333327999461468,0.3297190515841249,7.118446272904212,0.2764731253471537,0.0,100.0,0.5,0.3831321498006139,0.00691940356255441,0.020000000000000018,-0.20452883459335844,0.02,0.16978248788799247,-0.011683282825261501,0.7267584483274625,0.0,0.0019405780183631705,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.2979337282076183,0.251117546816659,0.0015881505392424944,0.0,0.9910755436454701,0.02,0.04014807310819131,-0.0007278048495418799,0.06019441139272179,0.0,-0.006668134405740489,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.1401206231969893,0.11673684604528224,0.0022042611584411897,0.020000000000000018,0.5628092772969004,0.04,0.05620684084016565,-0.0009984496580852098,0.17574939338876572,0.0,-0.005387086804401586,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,RIDGE_C001_A50,ridge_head,0.5,0.01,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.6127695852024346,0.5041219648891677,0.04240785384529694,0.05999999999999994,0.9893576987604733,0.08,0.24959847258914658,0.013553936605068484,0.1066852685770581,0.0,0.003936341590716597,0.0,True,False,False
