benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-41,3,0.8899999999999999,0.2449959006215493
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-42,3,0.7,0.5414814174451257
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-44,1,0.865,0.3080204337445436
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-45,1,0.955,0.13699557517004948
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-47,4,0.97,0.1318196070172725
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-48,4,0.8600000000000001,0.3212780800338746
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-49,2,0.92,0.17242523662495068
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-5,0,0.815,0.35915389384457214
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-50,4,0.955,0.10153163316985032
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-6,3,0.925,0.15327883055954533
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-7,4,0.8600000000000001,0.31318925628498784
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__CONFORMER_NORM_FROZEN,sub-9,2,0.63,0.6430603967845883
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-1,0,0.935,0.17932364076390464
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-11,1,0.78,0.5243912011455832
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-12,4,0.72,0.4854098476280005
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-13,1,0.895,0.283015672643254
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-14,4,0.5800000000000001,0.6822318330002375
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-16,0,0.585,0.695490292210693
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-17,4,0.825,0.34688691487757883
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-18,1,0.63,0.6293154084000416
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-19,0,0.97,0.11687074756189231
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-2,1,0.79,0.479772358773696
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-21,0,0.875,0.25213705502491546
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-22,2,0.7649999999999999,0.5155010686217044
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-23,3,0.98,0.04885477429995915
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-24,3,0.9281881313131313,0.18561298223819153
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-25,2,0.98,0.08216977242340921
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-26,2,0.7250000000000001,0.5512361588158763
WBCIC_S1S2_to_S3_authorized_development,CONFORMER_NORM_FIXED_CALIBRATION,sub-27,1,0.675,0.6292161988026387
