benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-22,2,0.835,0.36128723620254105
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-23,3,0.915,0.23913397546989493
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-24,3,0.9177714646464646,0.20324663789623845
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-25,2,0.505,0.7358836609992955
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-26,2,0.6599999999999999,0.6358385741333602
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-27,1,0.5800000000000001,0.6776852657663724
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-28,0,0.625,0.709660174669952
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-29,2,0.8,0.4532150234146063
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-3,0,0.79,0.5122305990103747
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-30,3,0.8700000000000001,0.25443003851328105
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-31,3,0.5549999999999999,0.7447717610074892
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-32,4,0.5900000000000001,0.6750868896815052
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-33,0,0.935,0.206248359083877
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-34,2,0.555,0.735510806690035
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-35,2,0.95,0.12727819877244795
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-36,1,0.99,0.0557504738320547
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-37,0,0.895,0.24169924127300085
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-38,3,0.47,0.8525312155142685
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-41,3,0.845,0.32493828349752335
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-42,3,0.6950000000000001,0.5467854778010627
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-44,1,0.8049999999999999,0.3908405388707264
WBCIC_S1S2_to_S3_authorized_development,HISTORY_EA_EEGNET_FIXED_CALIBRATION,sub-45,1,0.935,0.14223267181533605
