fold,seed,run,audit_fold,block,rank,assignment,fit_subject_count,identity_full_skill,identity_erased_skill,identity_evidence,identity_full_ce,identity_erased_ce,identity_full_top1_ba,identity_erased_top1_ba,identity_null_mean,identity_null_q95,identity_null_sd,identity_measurement_competent,identity_coordinates,outer_test_used,outer_membership_enumerated
1,0,1_0,2,5,4,uncertain,20,0.22507295281585504,0.20880932607962754,0.0162636267362275,2.770659320738136,2.7869229474743635,0.534,0.50925,-0.007908452483452484,0.016203301371302277,0.014840086739191193,True,"[13, 14, 15, 16]",False,False
1,0,1_0,2,6,3,protected,20,0.22507295281585504,0.2150566613607423,0.010016291455112736,2.770659320738136,2.7806756121932485,0.534,0.5105,-0.007908452483452484,0.016203301371302277,0.014840086739191193,True,"[17, 18, 19]",False,False
1,0,1_0,3,0,1,neutral,21,0.20138497212057627,0.16684900724667195,0.03453596487390431,2.8431374656028465,2.877673430476751,0.4816666666666667,0.42095238095238097,-0.0076006892849909595,0.01682853954409686,0.013799985389389998,True,[0],False,False
1,0,1_0,3,1,2,neutral,21,0.20138497212057627,0.1654424514184496,0.03594252070212667,2.8431374656028465,2.8790799863049736,0.4816666666666667,0.4440476190476191,-0.0076006892849909595,0.01682853954409686,0.013799985389389998,True,"[1, 2]",False,False
1,0,1_0,3,2,2,neutral,21,0.20138497212057627,0.16843818748814599,0.03294678463243028,2.8431374656028465,2.876084250235277,0.4816666666666667,0.4216666666666667,-0.0076006892849909595,0.01682853954409686,0.013799985389389998,True,"[3, 4]",False,False
1,0,1_0,3,3,4,uncertain,21,0.20138497212057627,0.1658606441602366,0.03552432796033966,2.8431374656028465,2.8786617935631864,0.4816666666666667,0.4180952380952381,-0.0076006892849909595,0.01682853954409686,0.013799985389389998,True,"[5, 6, 7, 8]",False,False
1,0,1_0,3,4,4,protected,21,0.20138497212057627,0.18575856063273033,0.015626411487845937,2.8431374656028465,2.8587638770906927,0.4816666666666667,0.4692857142857143,-0.0076006892849909595,0.01682853954409686,0.013799985389389998,True,"[9, 10, 11, 12]",False,False
1,0,1_0,3,5,4,uncertain,21,0.20138497212057627,0.18048491062475147,0.020900061495824795,2.8431374656028465,2.8640375270986715,0.4816666666666667,0.4566666666666666,-0.0076006892849909595,0.01682853954409686,0.013799985389389998,True,"[13, 14, 15, 16]",False,False
1,0,1_0,3,6,3,protected,21,0.20138497212057627,0.19389903498835515,0.007485937132221121,2.8431374656028465,2.850623402735068,0.4816666666666667,0.46238095238095245,-0.0076006892849909595,0.01682853954409686,0.013799985389389998,True,"[17, 18, 19]",False,False
1,0,1_0,4,0,1,neutral,21,0.18278885158477776,0.15609364530608416,0.026695206278693595,2.8617335861386453,2.888428792417339,0.43952380952380954,0.3914285714285714,-0.00545393875750799,0.01848521959759343,0.013223034200833655,True,[0],False,False
1,0,1_0,4,1,2,neutral,21,0.18278885158477776,0.14817475200110852,0.03461409958366923,2.8617335861386453,2.8963476857223145,0.43952380952380954,0.38499999999999995,-0.00545393875750799,0.01848521959759343,0.013223034200833655,True,"[1, 2]",False,False
1,0,1_0,4,2,2,neutral,21,0.18278885158477776,0.15573821378892894,0.02705063779584882,2.8617335861386453,2.8887842239344943,0.43952380952380954,0.3973809523809524,-0.00545393875750799,0.01848521959759343,0.013223034200833655,True,"[3, 4]",False,False
1,0,1_0,4,3,4,uncertain,21,0.18278885158477776,0.14452968639579677,0.03825916518898098,2.8617335861386453,2.899992751327626,0.43952380952380954,0.385,-0.00545393875750799,0.01848521959759343,0.013223034200833655,True,"[5, 6, 7, 8]",False,False
1,0,1_0,4,4,4,protected,21,0.18278885158477776,0.16653739335880147,0.01625145822597629,2.8617335861386453,2.8779850443646215,0.43952380952380954,0.4083333333333333,-0.00545393875750799,0.01848521959759343,0.013223034200833655,True,"[9, 10, 11, 12]",False,False
1,0,1_0,4,5,4,uncertain,21,0.18278885158477776,0.16421572623210623,0.018573125352671527,2.8617335861386453,2.8803067114913166,0.43952380952380954,0.4180952380952382,-0.00545393875750799,0.01848521959759343,0.013223034200833655,True,"[13, 14, 15, 16]",False,False
1,0,1_0,4,6,3,protected,21,0.18278885158477776,0.17635429788642742,0.0064345536983503315,2.8617335861386453,2.8681681398369956,0.43952380952380954,0.42666666666666664,-0.00545393875750799,0.01848521959759343,0.013223034200833655,True,"[17, 18, 19]",False,False
1,1,1_1,0,0,1,neutral,20,0.23179910380596236,0.21454237177701008,0.017256732028952282,2.7639331697480287,2.7811899017769806,0.5045,0.47450000000000003,-0.008270345125545564,0.01975299261091666,0.016060594898561115,True,[0],False,False
1,1,1_1,0,1,1,harmful,20,0.23179910380596236,0.2070353059908825,0.02476379781507987,2.7639331697480287,2.7886969675631086,0.5045,0.48100000000000004,-0.008270345125545564,0.01975299261091666,0.016060594898561115,True,[1],False,False
1,1,1_1,0,2,3,neutral,20,0.23179910380596236,0.15609379175071791,0.07570531205524444,2.7639331697480287,2.8396384818032727,0.5045,0.3959999999999999,-0.008270345125545564,0.01975299261091666,0.016060594898561115,True,"[2, 3, 4]",False,False
