backbone,fold,subject_id,n_s1_validation,n_s2,adaptation_effect_stability,decision_stability,representation_stability,raw_delta2,certificate_se,certificate_snr,certificate_lcb90,s1_parameter_relative_change,s1_anchor_confidence,identity_I,identity_status,feature_input_sessions,s3_feature_input_accessed,seed_count
EEGConformer,4,50,60.0,200.0,-0.44164459412756135,-0.30085486330177985,-0.41230089419454546,-0.003333333333333355,0.009947577710391274,-0.38448331317558065,-0.016081667121461862,0.2692061737179756,0.925808093276063,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,1,60.0,200.0,-0.4372153842757693,-0.7039176407620923,-0.45662747343077353,0.001666666666666668,0.010947195734709458,0.14469811050273465,-0.012362729165473409,0.28136326372623444,0.7815630715917088,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,2,60.0,200.0,-0.43840633382318317,-0.45185766286877477,-0.3748140791769517,-0.004999999999999986,0.02102915604546635,-0.24039633991767803,-0.03194994785214909,0.10433371116717656,0.8417379244938358,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,3,60.0,200.0,-0.19261421066731899,-0.28124062862610516,-0.2513671445557378,-0.0016666666666666867,0.009176787479730707,-0.3415696476037648,-0.013427193027985661,0.28481557220220566,0.8618771228503478,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,5,60.0,200.0,-0.3092473478794919,-0.3147002669477756,-0.29230907138271084,0.0016666666666667052,0.016595394236219647,0.18520683255974033,-0.01960118679759042,0.10222404698530833,0.8084162516661536,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,3,6,60.0,200.0,-0.8258372960587352,-0.8703293475620487,-0.8257983851508061,-0.003333333333333355,0.004689053430348836,-0.23695884624502994,-0.009342597097919184,0.14553956935803095,0.7682312896929044,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,7,60.0,200.0,-0.23449440841055394,-0.33296193740185326,-0.32895972277800284,-0.001666666666666668,0.009046984882016914,-0.12360386244468861,-0.013260844305673777,0.10017256438732147,0.8506039839698404,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,9,60.0,200.0,-0.29492555404299664,-0.2799715365180622,-0.28006239086248114,-0.02,0.01799454814650131,-1.1824029001543706,-0.04306094134841645,0.14426519721746445,0.7190337166129127,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,11,60.0,200.0,-0.23087942572310047,-0.2717649592585286,-0.28310769042160916,0.01833333333333335,0.012614119008416564,1.5004588999529902,0.0021676893701312017,0.1723322942852974,0.8637424616340099,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,12,60.0,200.0,-0.090510084535589,-0.15155277582649493,-0.1935381587175291,9.25185853854297e-18,0.019448192103055446,4.6428165026072645e-05,-0.024923861036682832,0.21416606505711874,0.6857086071763526,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,13,60.0,200.0,-0.518983946785731,-1.8743211035370593,-1.0570059610901212,-0.003333333333333336,0.01519101219055044,0.031055570285891527,-0.022801398788340362,0.21020120879014334,0.9089680339338164,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,14,60.0,200.0,-0.13429896361486454,-0.15476730607980685,-0.21507210542168984,0.0016666666666666496,0.01949039718588876,0.09563739041104252,-0.023311282359995165,0.18068147947390875,0.6628901636728982,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,16,60.0,200.0,-0.15430622912477263,-0.186852920644668,-0.23022962415872072,-0.016666666666666673,0.02298264659551312,-0.8045833345115984,-0.04612011339150479,0.3071855753660202,0.6731728133905183,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,4,17,60.0,200.0,-0.3737275020121609,-0.38119856841917055,-0.35655553442103977,-0.006666666666666672,0.010832918993675595,-0.498617960440165,-0.02054961096242947,0.16935843725999197,0.785866783690034,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,1,18,60.0,200.0,-0.5089156015569567,-0.597818970638257,-0.4032228328754906,0.003333333333333336,0.016789314539759747,0.1833842223578209,-0.018183038999516486,0.3305743883053462,0.6999063178230694,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,19,60.0,200.0,-1.8961065435249875,-2.3650336465193016,-1.3825399220664305,0.001666666666666668,0.002925179949744899,0.18992227187680696,-0.002082102277428583,0.2196771651506424,0.6537323994676474,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,0,21,60.0,200.0,-0.20351134583420108,-0.10541648110144203,-0.23744533612316074,0.0033333333333333734,0.01587101826623175,0.23352650703977598,-0.01700619497254287,0.1847417081395785,0.7832340185106478,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,2,22,60.0,200.0,-0.4770542690723352,-0.3831413851368682,-0.387920898596018,0.003333333333333318,0.010195212187986745,0.47919583707749763,-0.009732356807240486,0.2605780363082886,0.7728485580815011,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGNet,3,23,60.0,200.0,-0.4926416945134817,-0.7631913304866217,-0.6661055708427851,-0.006666666666666636,0.011813206255998937,-0.6414110917470208,-0.021805899638143344,0.21503174304962158,0.8233960327840029,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
