dataset,fold,seed,checkpoint_variant,subject_id,method,trials,BA,macro_F1,accuracy,non_deployable
WBCIC,3,1,selected_best,sub-26,PROB50,200,0.655,0.6542999574137629,0.655,False
WBCIC,3,1,selected_best,sub-47,EEGNet,200,0.9550000000000001,0.9549086900974473,0.955,False
WBCIC,3,1,selected_best,sub-47,LiteBN,200,0.925,0.9246817805227084,0.925,False
WBCIC,3,1,selected_best,sub-47,LOGIT50,200,0.94,0.9398496240601504,0.94,False
WBCIC,3,1,selected_best,sub-47,PROB50,200,0.94,0.9398496240601504,0.94,False
WBCIC,3,2,selected_best,sub-24,EEGNet,195,0.9079861111111112,0.9076898800757416,0.9076923076923077,False
WBCIC,3,2,selected_best,sub-24,LiteBN,195,0.9286616161616161,0.9281881313131313,0.9282051282051282,False
WBCIC,3,2,selected_best,sub-24,LOGIT50,195,0.9131944444444444,0.9128113411009705,0.9128205128205128,False
WBCIC,3,2,selected_best,sub-24,PROB50,195,0.9131944444444444,0.9128113411009705,0.9128205128205128,False
WBCIC,3,2,selected_best,sub-13,EEGNet,200,0.87,0.8697916666666667,0.87,False
WBCIC,3,2,selected_best,sub-13,LiteBN,200,0.865,0.8648344221671547,0.865,False
WBCIC,3,2,selected_best,sub-13,LOGIT50,200,0.88,0.8798919027124412,0.88,False
WBCIC,3,2,selected_best,sub-13,PROB50,200,0.88,0.8798919027124412,0.88,False
WBCIC,3,2,selected_best,sub-11,EEGNet,200,0.645,0.6439228666716819,0.645,False
WBCIC,3,2,selected_best,sub-11,LiteBN,200,0.765,0.7647117719206027,0.765,False
WBCIC,3,2,selected_best,sub-11,LOGIT50,200,0.72,0.7199719971997199,0.72,False
WBCIC,3,2,selected_best,sub-11,PROB50,200,0.72,0.7199719971997199,0.72,False
WBCIC,3,2,selected_best,sub-29,EEGNet,200,0.855,0.8549963749093727,0.855,False
WBCIC,3,2,selected_best,sub-29,LiteBN,200,0.875,0.8740903024350936,0.875,False
WBCIC,3,2,selected_best,sub-29,LOGIT50,200,0.875,0.8748466871918099,0.875,False
WBCIC,3,2,selected_best,sub-29,PROB50,200,0.875,0.8748466871918099,0.875,False
WBCIC,3,2,selected_best,sub-26,EEGNet,200,0.615,0.6121981315000882,0.615,False
