task,subject_id,fold,seed,method,trials,BA,macro_F1,accuracy,AUROC,AUPRC
ERP,25,0,2,EEGNet,1980,0.7575757575757576,0.7685191396225548,0.8767676767676768,0.8870247933884297,0.6701990682672057
ERP,25,0,2,LiteBN,1980,0.7948484848484849,0.7807279216689085,0.8722222222222222,0.90089072543618,0.67846848417312
ERP,25,0,2,LOGIT50,1980,0.7906060606060605,0.788156331794625,0.8813131313131313,0.9060826446280993,0.7019248699103112
ERP,29,0,2,EEGNet,1980,0.8593939393939394,0.8316967685779566,0.898989898989899,0.9479458218549127,0.8386792564699683
ERP,29,0,2,LiteBN,1980,0.8678787878787879,0.8411175381925711,0.9050505050505051,0.9397630853994492,0.8472899959967554
ERP,29,0,2,LOGIT50,1980,0.8693939393939394,0.8542818425198586,0.9156565656565656,0.9544664830119375,0.8642386146884299
ERP,36,0,2,EEGNet,1980,0.9545454545454546,0.8860734351058397,0.9262626262626262,0.9958640955004591,0.9834507872116723
ERP,36,0,2,LiteBN,1980,0.9463636363636363,0.8827506035947421,0.9247474747474748,0.9938861340679521,0.9744572752733709
ERP,36,0,2,LOGIT50,1980,0.9557575757575758,0.8913041748680486,0.9303030303030303,0.9958696051423325,0.9827500187592241
ERP,37,0,2,EEGNet,1980,0.9466666666666667,0.9239864864864865,0.9555555555555556,0.9892506887052341,0.9602994460418232
ERP,37,0,2,LiteBN,1980,0.9490909090909091,0.9302738336713996,0.9595959595959596,0.9895941230486686,0.9564106341092254
ERP,37,0,2,LOGIT50,1980,0.9503030303030303,0.933458798225568,0.9616161616161616,0.9909329660238752,0.9632447145048743
ERP,39,0,2,EEGNet,1980,0.753030303030303,0.7073166213236557,0.8065656565656566,0.8370247933884296,0.5813722114029529
ERP,39,0,2,LiteBN,1980,0.7478787878787878,0.7168136990397931,0.8222222222222222,0.8296198347107437,0.5612553911833118
ERP,39,0,2,LOGIT50,1980,0.7584848484848485,0.7243340291904881,0.8257575757575758,0.8443728191000918,0.5957755224989275
ERP,42,0,2,EEGNet,1980,0.8581818181818182,0.807449494949495,0.8767676767676768,0.9378365472910928,0.8289388161805977
ERP,42,0,2,LiteBN,1980,0.8757575757575757,0.8307210031347962,0.8939393939393939,0.9533333333333334,0.8605412477728045
ERP,42,0,2,LOGIT50,1980,0.886060606060606,0.839098692636246,0.898989898989899,0.955426997245179,0.8709604908529845
ERP,51,0,2,EEGNet,1980,0.7896969696969697,0.7351156394147929,0.8232323232323232,0.8693296602387512,0.6559320267124893
ERP,51,0,2,LiteBN,1980,0.7778787878787878,0.6957322438170239,0.7772727272727272,0.8616730945821854,0.6447705168740103
ERP,51,0,2,LOGIT50,1980,0.7948484848484849,0.7309461114137,0.8156565656565656,0.8773957759412305,0.6767949634183557
ERP,54,0,2,EEGNet,1980,0.7393939393939395,0.7159211292418725,0.8262626262626263,0.8382038567493113,0.5778857140313522
ERP,54,0,2,LiteBN,1980,0.7287878787878788,0.69065395273547,0.7984848484848485,0.8140018365472911,0.5346084572432095
ERP,54,0,2,LOGIT50,1980,0.7512121212121212,0.7242470890888615,0.8297979797979798,0.838273645546373,0.5758273901671837
ERP,4,1,0,EEGNet,1980,0.8921212121212121,0.8384020074125758,0.896969696969697,0.9576198347107436,0.8733208699977367
ERP,4,1,0,LiteBN,1980,0.8824242424242423,0.8522074727511768,0.9111111111111111,0.9516400367309459,0.8523133114904567
ERP,4,1,0,LOGIT50,1980,0.8966666666666667,0.8649465620007465,0.9186868686868687,0.9625711662075299,0.8831698821441943
ERP,12,1,0,EEGNet,1980,0.96,0.9200617704501067,0.9515151515151515,0.9944389348025713,0.9816335830712379
ERP,12,1,0,LiteBN,1980,0.9533333333333334,0.9093473005640612,0.9444444444444444,0.991011937557392,0.976386437380105
ERP,12,1,0,LOGIT50,1980,0.9630303030303031,0.9276296104885213,0.9565656565656566,0.9942920110192838,0.9823560217735248
ERP,13,1,0,EEGNet,1980,0.9178787878787878,0.8496396374995083,0.9015151515151515,0.9788191000918274,0.9340473569701173
ERP,13,1,0,LiteBN,1980,0.9190909090909091,0.8499113112293628,0.9015151515151515,0.9816951331496786,0.9336243506621943
ERP,13,1,0,LOGIT50,1980,0.926969696969697,0.866761220993131,0.9146464646464646,0.9840073461891645,0.943935133274364
ERP,17,1,0,EEGNet,1980,0.846060606060606,0.7896943351488805,0.8626262626262626,0.920135904499541,0.7943578287501869
ERP,17,1,0,LiteBN,1980,0.8336363636363636,0.7612201483440701,0.8358585858585859,0.9172102846648301,0.7735192181137609
ERP,17,1,0,LOGIT50,1980,0.8524242424242424,0.7921643101910293,0.8631313131313131,0.9259044995408632,0.8017542027317832
ERP,18,1,0,EEGNet,1980,0.9193939393939394,0.892590704627021,0.9363636363636364,0.9783875114784204,0.9198104360886898
ERP,18,1,0,LiteBN,1980,0.9124242424242424,0.8891867490918492,0.9348484848484848,0.9786060606060606,0.9252321674059841
ERP,18,1,0,LOGIT50,1980,0.9154545454545455,0.8966324608818222,0.9398989898989899,0.9824462809917356,0.9319575243415409
ERP,24,1,0,EEGNet,1980,0.8148484848484848,0.6894072002655525,0.752020202020202,0.9042607897153352,0.7093911524557353
ERP,24,1,0,LiteBN,1980,0.8106060606060606,0.7252864996958572,0.8015151515151515,0.8940055096418733,0.7432902416680834
