subject,session,basis_type,basis_draw,direction,epsilon,A_P_mean,n_trials,task,fold,stage
16,2,PCA,0,0,0.5,0.016641052439808846,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,1,0.5,0.23520441353321075,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,2,0.5,-0.009773006662726402,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,3,0.5,0.14081436395645142,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,4,0.5,-0.16363359987735748,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,5,0.5,-0.13966494798660278,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,6,0.5,0.09961406886577606,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,7,0.5,-0.10926825553178787,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,8,0.5,0.03074694611132145,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,9,0.5,0.09986425191164017,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,10,0.5,-0.1571275293827057,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,11,0.5,-0.1362566500902176,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,12,0.5,-0.08263970166444778,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,13,0.5,0.24041099846363068,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,14,0.5,0.011756496503949165,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,15,0.5,-0.014834960922598839,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,0,1.0,0.016734058037400246,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,1,1.0,0.2365151345729828,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,2,1.0,-0.009241558611392975,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,3,1.0,0.14090408384799957,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,4,1.0,-0.16381461918354034,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,5,1.0,-0.13957999646663666,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,6,1.0,0.10056543350219727,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,7,1.0,-0.10913421958684921,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,8,1.0,0.030989184975624084,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,9,1.0,0.09982261806726456,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,10,1.0,-0.15679320693016052,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,11,1.0,-0.1360468715429306,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,12,1.0,-0.08258527517318726,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,13,1.0,0.2402746081352234,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,14,1.0,0.01149813737720251,100,OpenBMI_MI,0,TRAIN
16,2,PCA,0,15,1.0,-0.01483866572380066,100,OpenBMI_MI,0,TRAIN
2,1,PCA,0,0,0.25,-0.22650015354156494,100,OpenBMI_MI,0,TRAIN
2,1,PCA,0,1,0.25,0.0202130526304245,100,OpenBMI_MI,0,TRAIN
2,1,PCA,0,2,0.25,-0.31721439957618713,100,OpenBMI_MI,0,TRAIN
2,1,PCA,0,3,0.25,-0.00826149433851242,100,OpenBMI_MI,0,TRAIN
2,1,PCA,0,4,0.25,-0.1326725035905838,100,OpenBMI_MI,0,TRAIN
