method,fold,subject_id,combined_BA,protected_only_BA,adaptive_only_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_RMSE,functional_teacher_correlation
IDENTITY_SOURCE_ONLY,4,38,0.6766666666666666,0.5566666666666666,0.6833333333333332,-0.006666666666666668,0.11999999999999995,0.2981367523140442,1.524321624342525,1.144643109085409,0.1188533466388072
IDENTITY_SOURCE_ONLY,4,52,0.79,0.6699999999999999,0.7866666666666667,0.0033333333333333335,0.12000000000000004,0.375114851509409,1.7319168202237434,1.165152539337351,0.43809289911350163
IDENTITY_SOURCE_ONLY,4,8,0.7666666666666666,0.6866666666666665,0.7399999999999999,0.02666666666666667,0.08000000000000003,0.4473715486901817,1.8369368340190444,1.186526893085847,0.308480176024215
PUD_SOURCE_ONLY,0,15,0.7833333333333333,0.7833333333333333,0.5966666666666667,0.18666666666666662,-3.700743415417188e-17,1.312649807581633,0.7081446390672532,0.4603192422270134,0.893298940584934
PUD_SOURCE_ONLY,0,19,0.6699999999999999,0.6633333333333333,0.5833333333333334,0.08666666666666656,0.006666666666666633,1.1526860189038812,0.6379641662279746,0.46755490017545553,0.865714828779263
PUD_SOURCE_ONLY,0,32,0.6,0.61,0.57,0.029999999999999968,-0.009999999999999933,1.4986498178425507,0.7248714898100315,0.7995373393826245,0.6934254941420303
PUD_SOURCE_ONLY,0,33,0.7966666666666667,0.7999999999999999,0.5800000000000001,0.2166666666666666,-0.003333333333333332,1.48312194542141,0.6533371091784974,0.5398929839376566,0.8987027993036577
PUD_SOURCE_ONLY,0,41,0.73,0.7166666666666667,0.63,0.09999999999999994,0.01333333333333333,1.418845295578821,0.7432666881892304,0.46611207237927843,0.8994741415357305
PUD_SOURCE_ONLY,0,46,0.6333333333333333,0.6433333333333334,0.5766666666666667,0.05666666666666661,-0.010000000000000066,1.5761425182975113,0.6272493928167479,0.5993209546644627,0.8628401735664344
PUD_SOURCE_ONLY,0,47,0.93,0.8700000000000001,0.5933333333333334,0.3366666666666666,0.05999999999999991,1.598070264176622,0.6577542367000699,0.6011143056894417,0.8742817269423439
PUD_SOURCE_ONLY,0,49,0.8300000000000001,0.7733333333333334,0.6866666666666666,0.14333333333333328,0.05666666666666661,1.5495275650444775,0.7604014379288068,0.532876001562314,0.8779093451912509
PUD_SOURCE_ONLY,1,14,0.7833333333333333,0.7166666666666667,0.5666666666666668,0.21666666666666665,0.06666666666666667,1.5591361095817309,0.8152703481494169,0.85086657868104,0.7656155988439179
PUD_SOURCE_ONLY,1,2,0.7433333333333333,0.7366666666666667,0.61,0.13333333333333333,0.006666666666666667,1.8472943788267815,0.9112391739951785,0.7568524096123461,0.8485708641347713
PUD_SOURCE_ONLY,1,34,0.65,0.5966666666666667,0.59,0.05999999999999991,0.053333333333333295,1.6187114186794769,1.102992562930927,0.790172109324839,0.7493859812033947
