dataset,fold,method,seed,subject_id,BA,accuracy,macro_F1,NLL,trials,outcome_subject_count_fold
OpenBMI,3,TASK_ONLY_MATCHED,0,15,0.9,0.9,0.9,0.2981886676281397,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,17,0.66,0.66,0.6550324675324675,0.6733287063729199,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,20,0.9199999999999999,0.92,0.9197109594540345,0.21944405230660055,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,21,0.98,0.98,0.9799919967987194,0.06107529573419551,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,24,0.58,0.58,0.5,1.2238545463472328,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,27,0.9299999999999999,0.93,0.9298245614035088,0.14999474609609903,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,28,0.94,0.94,0.9397832195905259,0.11613249709332024,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,38,0.78,0.78,0.7777777777777778,0.4617308762346291,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,41,0.79,0.79,0.78997899789979,0.46935716981394904,100,11
OpenBMI,3,TASK_ONLY_MATCHED,0,46,0.75,0.75,0.742559983523839,0.5238996865339424,100,11
OpenBMI,3,SSPG,0,9,0.8,0.8,0.797979797979798,0.48389130007218917,100,11
OpenBMI,3,SSPG,0,15,0.9,0.9,0.9,0.2977454892298843,100,11
OpenBMI,3,SSPG,0,17,0.66,0.66,0.6550324675324675,0.66936857644507,100,11
OpenBMI,3,SSPG,0,20,0.9199999999999999,0.92,0.9197109594540345,0.2197980157075085,100,11
OpenBMI,3,SSPG,0,21,0.98,0.98,0.9799919967987194,0.06187987130394772,100,11
OpenBMI,3,SSPG,0,24,0.58,0.58,0.5,1.219383180373989,100,11
OpenBMI,3,SSPG,0,27,0.9299999999999999,0.93,0.9298245614035088,0.14938735745728343,100,11
OpenBMI,3,SSPG,0,28,0.94,0.94,0.9397832195905259,0.11507515843087937,100,11
OpenBMI,3,SSPG,0,38,0.78,0.78,0.7777777777777778,0.46364024563825446,100,11
OpenBMI,3,SSPG,0,41,0.8,0.8,0.7999199679871949,0.467694784950339,100,11
OpenBMI,3,SSPG,0,46,0.75,0.75,0.742559983523839,0.523512869270768,100,11
