task,fold,session,variant,dimension,mean_gate,std_gate,Pr_gate_lt_0p9,Pr_gate_gt_1p1,label
OpenBMI_MI,3,S1,PROTECTED_NATIVE_TRANSFER_GATE,3,1.000020980834961,0.0009494544356130064,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S1,PROTECTED_NATIVE_TRANSFER_GATE,ALL,0.9998129606246948,0.001677774591371417,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,P_ONLY_TRANSFER_GATE,0,0.9987327456474304,0.001735747093334794,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,P_ONLY_TRANSFER_GATE,1,1.0005475282669067,0.0010828488739207387,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,P_ONLY_TRANSFER_GATE,2,0.9982722401618958,0.00217382051050663,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,P_ONLY_TRANSFER_GATE,3,1.000937819480896,0.0011920214165002108,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,P_ONLY_TRANSFER_GATE,ALL,0.999622642993927,0.001970549114048481,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,RANDOM_TRANSFER_GATE,0,0.9582821130752563,0.07528318464756012,0.22357142857142856,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,RANDOM_TRANSFER_GATE,1,1.0082632303237915,0.06369659304618835,0.037142857142857144,0.08214285714285714,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,RANDOM_TRANSFER_GATE,2,1.009846568107605,0.044689275324344635,0.0,0.011428571428571429,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,RANDOM_TRANSFER_GATE,3,0.9899731278419495,0.012518711388111115,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,RANDOM_TRANSFER_GATE,ALL,0.9915912747383118,0.05831379070878029,0.06517857142857143,0.023392857142857142,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,PROTECTED_NATIVE_TRANSFER_GATE,0,0.9993389248847961,0.0012317282380536199,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,PROTECTED_NATIVE_TRANSFER_GATE,1,1.000637173652649,0.0019152004970237613,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,3,S2,PROTECTED_NATIVE_TRANSFER_GATE,2,0.9988647699356079,0.0018677974585443735,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
