task,fold,subject,session,variant,suffix,native_wrong_trials,native_wrong_rescued,native_wrong_rescue_rate,BA,macro_F1,NLL,trials
OpenBMI_MI,2,46,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,40,2,0.05,0.61,0.5920075321686369,1.235642671585083,100
OpenBMI_MI,2,46,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,40,1,0.025,0.6000000000000001,0.5833333333333333,1.2096648216247559,100
OpenBMI_MI,2,46,2,BASE,original_frozen_SIRE_suffix,31,0,0.0,0.69,0.6615351020853806,0.8987360596656799,100
OpenBMI_MI,2,46,2,FULL_STUDENT,original_frozen_SIRE_suffix,31,0,0.0,0.6799999999999999,0.6483516483516483,0.942827582359314,100
OpenBMI_MI,2,46,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,31,0,0.0,0.6799999999999999,0.6483516483516483,0.931169331073761,100
OpenBMI_MI,2,46,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,31,0,0.0,0.6799999999999999,0.6483516483516483,0.9103917479515076,100
OpenBMI_MI,3,8,1,BASE,original_frozen_SIRE_suffix,17,0,0.0,0.8300000000000001,0.8291628982011858,0.5728697776794434,100
OpenBMI_MI,3,8,1,FULL_STUDENT,original_frozen_SIRE_suffix,17,0,0.0,0.8200000000000001,0.818840579710145,0.5823114514350891,100
OpenBMI_MI,3,8,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,17,0,0.0,0.8200000000000001,0.818840579710145,0.5782968401908875,100
OpenBMI_MI,3,8,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,17,0,0.0,0.8200000000000001,0.818840579710145,0.5767436623573303,100
OpenBMI_MI,3,8,2,BASE,original_frozen_SIRE_suffix,16,0,0.0,0.8400000000000001,0.8397435897435898,0.4777502119541168,100
OpenBMI_MI,3,8,2,FULL_STUDENT,original_frozen_SIRE_suffix,16,0,0.0,0.78,0.7777777777777778,0.4957652986049652,100
OpenBMI_MI,3,8,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,16,0,0.0,0.8,0.7987117552334944,0.48619750142097473,100
OpenBMI_MI,3,8,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,16,0,0.0,0.8,0.7987117552334944,0.486490398645401,100
OpenBMI_MI,3,14,1,BASE,original_frozen_SIRE_suffix,39,0,0.0,0.61,0.5882166613873931,0.7986719012260437,100
OpenBMI_MI,3,14,1,FULL_STUDENT,original_frozen_SIRE_suffix,39,1,0.02564102564102564,0.62,0.6006725514922235,0.7777020931243896,100
OpenBMI_MI,3,14,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,39,1,0.02564102564102564,0.62,0.6006725514922235,0.789298415184021,100
OpenBMI_MI,3,14,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,39,1,0.02564102564102564,0.62,0.6006725514922235,0.7864496111869812,100
OpenBMI_MI,3,14,2,BASE,original_frozen_SIRE_suffix,36,0,0.0,0.64,0.6376811594202898,0.8833072781562805,100
OpenBMI_MI,3,14,2,FULL_STUDENT,original_frozen_SIRE_suffix,36,1,0.027777777777777776,0.61,0.6096486838154338,0.880459189414978,100
OpenBMI_MI,3,14,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,36,1,0.027777777777777776,0.63,0.6290726817042607,0.8822988271713257,100
OpenBMI_MI,3,14,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,36,1,0.027777777777777776,0.62,0.6193910256410255,0.8811348676681519,100
OpenBMI_MI,3,32,1,BASE,original_frozen_SIRE_suffix,29,0,0.0,0.71,0.69662098545873,0.5720123648643494,100
OpenBMI_MI,3,32,1,FULL_STUDENT,original_frozen_SIRE_suffix,29,2,0.06896551724137931,0.71,0.7013695808876532,0.5635254383087158,100
OpenBMI_MI,3,32,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,29,1,0.034482758620689655,0.72,0.7083333333333334,0.5683704614639282,100
OpenBMI_MI,3,32,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,29,1,0.034482758620689655,0.72,0.7083333333333334,0.5664657354354858,100
OpenBMI_MI,3,32,2,BASE,original_frozen_SIRE_suffix,29,0,0.0,0.71,0.7099709970997099,0.7517123222351074,100
OpenBMI_MI,3,32,2,FULL_STUDENT,original_frozen_SIRE_suffix,29,0,0.0,0.7,0.7,0.7627536654472351,100
OpenBMI_MI,3,32,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,29,0,0.0,0.71,0.7099709970997099,0.7562756538391113,100
OpenBMI_MI,3,32,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,29,0,0.0,0.71,0.7099709970997099,0.7576844692230225,100
OpenBMI_MI,3,35,1,BASE,original_frozen_SIRE_suffix,0,0,,1.0,1.0,0.027555638924241066,100
OpenBMI_MI,3,35,1,FULL_STUDENT,original_frozen_SIRE_suffix,0,0,,1.0,1.0,0.027627862989902496,100
OpenBMI_MI,3,35,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,0,0,,1.0,1.0,0.027625907212495804,100
OpenBMI_MI,3,35,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,0,0,,1.0,1.0,0.027541644871234894,100
OpenBMI_MI,3,35,2,BASE,original_frozen_SIRE_suffix,10,0,0.0,0.8999999999999999,0.8998397435897436,0.2679676115512848,100
OpenBMI_MI,3,35,2,FULL_STUDENT,original_frozen_SIRE_suffix,10,0,0.0,0.8799999999999999,0.8795664391810518,0.2721029818058014,100
OpenBMI_MI,3,35,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,10,0,0.0,0.8999999999999999,0.8998397435897436,0.26965728402137756,100
