pool,policy_family,method_id,fold_id,seed_id,subjects,balanced_accuracy,accuracy,macro_f1,OUTER_TEST_USED,delta_balanced_accuracy_vs_target_keep,delta_balanced_accuracy_vs_best_ensemble,delta_accuracy_vs_target_keep,delta_accuracy_vs_best_ensemble,delta_macro_f1_vs_target_keep,delta_macro_f1_vs_best_ensemble,analysis_role
holdout,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,0,1,8,0.845,0.845,0.8426494036807683,False,0.009375000000000022,-0.010624999999999996,0.009375000000000022,-0.010624999999999996,0.011758923951962763,-0.010803455322083155,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,1,0,8,0.854375,0.854375,0.8531597246972289,False,0.009375000000000022,0.006249999999999978,0.009375000000000022,0.006249999999999978,0.009165094686798492,0.007166757738562901,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,1,1,8,0.8325,0.8325,0.8306607209397608,False,0.007500000000000062,-0.015625,0.007500000000000062,-0.015625,0.007909298909300255,-0.015332246018905149,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,2,0,7,0.8507142857142858,0.8507142857142858,0.8428968384136082,False,0.010714285714285787,-0.02571428571428569,0.010714285714285787,-0.02571428571428569,0.009941914511006789,-0.030634564614359094,SEPARATE_POOL_AUDIT
holdout,DIRECT_CONSENSUS_CONTROL,C3_ACTION_MASKED_DIRECT_CONSENSUS_PROTECTED_SAFE,2,1,7,0.8692857142857143,0.8692857142857143,0.8673407511478315,False,0.005714285714285783,-0.0071428571428571175,0.005714285714285783,-0.0071428571428571175,0.006337986314551403,-0.006190651880135789,SEPARATE_POOL_AUDIT
holdout,FROZEN_V2_INTERVENTION,I003_CROSS_RUN_FULL,0,0,8,0.8362499999999999,0.8362499999999999,0.8337981832474994,False,-0.007500000000000062,-0.01937500000000003,-0.007500000000000062,-0.01937500000000003,-0.008431962385646363,-0.01965467575535207,SEPARATE_POOL_AUDIT
holdout,FROZEN_V2_INTERVENTION,I003_CROSS_RUN_FULL,0,1,8,0.850625,0.850625,0.8475152241378128,False,0.015000000000000013,-0.0050000000000000044,0.015000000000000013,-0.0050000000000000044,0.016624744409007186,-0.005937634865038732,SEPARATE_POOL_AUDIT
holdout,FROZEN_V2_INTERVENTION,I003_CROSS_RUN_FULL,1,0,8,0.841875,0.8418749999999999,0.8397336713304099,False,-0.0031249999999999334,-0.006249999999999978,-0.0031250000000000444,-0.006250000000000089,-0.004260958680020521,-0.006259295628256112,SEPARATE_POOL_AUDIT
holdout,FROZEN_V2_INTERVENTION,I003_CROSS_RUN_FULL,1,1,8,0.841875,0.841875,0.8395712599273673,False,0.016875000000000084,-0.006249999999999978,0.016875000000000084,-0.006249999999999978,0.016819837896906664,-0.00642170703129874,SEPARATE_POOL_AUDIT
holdout,FROZEN_V2_INTERVENTION,I003_CROSS_RUN_FULL,2,0,7,0.8671428571428572,0.8671428571428572,0.8635980501063656,False,0.027142857142857246,-0.00928571428571423,0.027142857142857246,-0.00928571428571423,0.030643126203764193,-0.00993335292160169,SEPARATE_POOL_AUDIT
