pool,method_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,reference_balanced_accuracy,reference_accuracy,reference_macro_f1,delta_BA_vs_B6,delta_accuracy_vs_B6,delta_macro_f1_vs_B6,OUTER_TEST_USED
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,47,200,0.94,0.94,0.9399459513562206,0.9299999999999999,0.93,0.9299719887955182,0.010000000000000009,0.009999999999999898,0.009973962560702376,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,48,200,0.845,0.845,0.8425396825396825,0.755,0.755,0.7546995068959474,0.08999999999999997,0.08999999999999997,0.08784017564373503,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,49,200,0.915,0.915,0.9148275257396228,0.85,0.85,0.8484848484848485,0.06500000000000006,0.06500000000000006,0.06634267725477427,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,5,200,0.965,0.965,0.9649991249781245,0.955,0.955,0.9549988749718743,0.010000000000000009,0.010000000000000009,0.010000250006250155,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,50,200,0.745,0.745,0.7314022383146808,0.64,0.64,0.609375,0.10499999999999998,0.10499999999999998,0.12202723831468076,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,51,200,0.785,0.785,0.7849516141131755,0.765,0.765,0.7649471131004475,0.020000000000000018,0.020000000000000018,0.020004501012727993,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,52,200,0.84,0.84,0.83998399839984,0.795,0.795,0.7949538646195394,0.04499999999999993,0.04499999999999993,0.04503013378030052,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,54,200,0.76,0.76,0.7570604312177346,0.6950000000000001,0.695,0.6937059074590144,0.06499999999999995,0.06500000000000006,0.0633545237587202,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,8,200,0.85,0.85,0.8487750781328763,0.8300000000000001,0.83,0.8286117552172598,0.019999999999999907,0.020000000000000018,0.02016332291561651,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,10,200,0.88,0.88,0.87998799879988,0.8,0.8,0.8,0.07999999999999996,0.07999999999999996,0.07998799879987994,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,11,200,0.895,0.895,0.8949343339587242,0.76,0.76,0.7597838054248824,0.135,0.135,0.1351505285338418,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,12,200,0.96,0.96,0.96,0.835,0.835,0.8349628666449951,0.125,0.125,0.12503713335500488,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,13,200,0.87,0.87,0.8689384010484928,0.71,0.71,0.705762987012987,0.16000000000000003,0.16000000000000003,0.16317541403550584,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,15,200,0.95,0.95,0.9499198717948718,0.9099999999999999,0.91,0.9097744360902256,0.040000000000000036,0.039999999999999925,0.04014543570464624,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,16,200,0.9299999999999999,0.93,0.9299719887955182,0.885,0.885,0.8849741191768148,0.04499999999999993,0.04500000000000004,0.044997869618703445,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,18,200,0.97,0.97,0.9699879951980792,0.9099999999999999,0.91,0.9094202898550725,0.06000000000000005,0.05999999999999994,0.060567705343006706,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,19,200,0.9299999999999999,0.93,0.9298878205128205,0.85,0.85,0.8487750781328763,0.07999999999999996,0.08000000000000007,0.08111274237994415,False
exploration,ORACLE_KEEP_PLUS_ACTION_PROTECTED_SAFE_GLOBAL,2,200,0.9299999999999999,0.93,0.9299929992999301,0.825,0.825,0.8249956248906223,0.10499999999999998,0.1050000000000001,0.10499737440930779,False
