backbone,fold,block,subject,base_BA,candidate_BA,random_BA_mean,u_abs,u_random,u_spec,delta_BA,delta_BA_random,delta_BA_specific,logit_RMS,margin_displacement,prediction_flip_rate,total_variation
TeCh,2,P01_04,sub-35,0.8400000000000001,0.5,0.8402,0.520440655908852,0.03147548025732684,0.4889651756515252,-0.3400000000000001,0.00019999999999986695,-0.34019999999999995,1.350083954464611,1.5730600464527256,0.46,0.30752631195180113
TeCh,2,P01_04,sub-49,0.875,0.5,0.853,0.5229535502705939,0.042659429712057516,0.4802941205585364,-0.375,-0.02200000000000002,-0.353,1.2995164231499432,1.573106638521366,0.465,0.30829188201506946
TeCh,2,P05_08,sub-9,0.585,0.585,0.5800000000000001,0.0008118013638573596,-0.007781797999650212,0.008593599363507572,0.0,-0.004999999999999893,0.004999999999999893,0.014554096306876835,0.019428607107493195,0.0,0.003676753370627861
TeCh,2,P05_08,sub-22,0.51,0.515,0.5116999999999999,0.0007333778749799424,-0.002523025066754622,0.0032564029417345647,0.0050000000000000044,0.0016999999999999238,0.0033000000000000806,0.012986771849226036,0.017267581948510885,0.005,0.0037989946865220493
TeCh,2,P05_08,sub-25,0.935,0.935,0.9268500000000003,0.0003211017698413948,0.01578842546013292,-0.015467323690291525,0.0,-0.008149999999999769,0.008149999999999769,0.020685902229107215,0.02593451425538708,0.0,0.0026823758420131227
TeCh,2,P05_08,sub-26,0.7,0.7,0.6958,0.00443989055799409,-0.005491837575328366,0.009931728133322456,0.0,-0.0041999999999999815,0.0041999999999999815,0.026245214341057754,0.029636035957976106,0.0,0.00404476184675871
TeCh,2,P05_08,sub-29,0.7949999999999999,0.7949999999999999,0.7971499999999999,0.002008774471364062,0.004221440114056315,-0.0022126656426922527,0.0,0.0021499999999999853,-0.0021499999999999853,0.017885497123869998,0.021935868495105315,0.0,0.003219007972729565
TeCh,2,P05_08,sub-34,0.54,0.54,0.5365000000000001,0.00011651623725712074,-0.005822315588977951,0.005938831826235072,0.0,-0.0034999999999999476,0.0034999999999999476,0.01513135475419986,0.019770668014865198,0.0,0.004015008985579406
TeCh,2,P05_08,sub-35,0.8400000000000001,0.845,0.8406499999999998,0.000621259080145801,0.012193457502042045,-0.011572198421896244,0.004999999999999893,0.0006499999999997064,0.004350000000000187,0.016670527385337294,0.021782807135478352,0.005,0.0029310261223181424
TeCh,2,P05_08,sub-49,0.875,0.875,0.8724999999999998,-5.2508397788189506e-05,0.016518321912708474,-0.016570830310496665,0.0,-0.0025000000000001688,0.0025000000000001688,0.014662772666270679,0.0177322229366199,0.0,0.002673796128707358
