dataset,fold,method,bn_layer,running_mean_abs_L2,running_mean_relative_L2,running_var_abs_L2,running_var_relative_L2,source_num_batches_tracked,current_num_batches_tracked
WBCIC,4,JOINT-CE,spatial_norm.1,0.0764944776892662,0.3297329189404545,0.36882516741752625,0.34871686973597166,3213,4473
WBCIC,4,JOINT-CE,spatial_norm.2,0.049694813787937164,0.19351817089250967,0.15490277111530304,0.1911248989340309,3213,4473
WBCIC,4,JOINT-CE,temporal_norm.0,0.000403325044317171,0.654287749058962,0.10162319242954254,0.05755961124441258,3213,4473
WBCIC,4,JOINT-CE,temporal_norm.1,0.00025083537911996245,0.6895839388527284,0.15883411467075348,0.15772651779827285,3213,4473
WBCIC,4,JOINT-CE,temporal_norm.2,0.0010924728121608496,0.24972773960678843,0.3460962772369385,0.18416071196354264,3213,4473
WBCIC,4,NRRF-v1,norm1,0.04668407142162323,0.17213133939004013,0.09572908282279968,0.10828504198722232,3213,4473
WBCIC,4,NRRF-v1,norm2,0.04401315748691559,0.17821526672577906,0.0762314647436142,0.10430799716916256,3213,4473
WBCIC,4,NRRF-v1,spatial_norm.0,0.08524639904499054,0.3802041321541864,0.1218547374010086,0.22459767310292642,3213,4473
WBCIC,4,NRRF-v1,spatial_norm.1,0.06734880805015564,0.2903100947462816,0.342807799577713,0.3241179652322605,3213,4473
WBCIC,4,NRRF-v1,spatial_norm.2,0.051854394376277924,0.20192786304135354,0.1590389758348465,0.1962283047885638,3213,4473
WBCIC,4,NRRF-v1,temporal_norm.0,0.0004039651248604059,0.6553261097155849,0.09703369438648224,0.054960108937410185,3213,4473
WBCIC,4,NRRF-v1,temporal_norm.1,0.00030445613083429635,0.8369953977192653,0.21241670846939087,0.21093546445294628,3213,4473
WBCIC,4,NRRF-v1,temporal_norm.2,0.0009914591209962964,0.2266370773193063,0.37096115946769714,0.1973915229132116,3213,4473
