comparison,task,target,feature_set,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,scale_alpha_max,-0.046434243539665,-0.009033167237907985,0.031232446400372066,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,scale_alpha_min,0.16420555236880852,0.0700925898638218,0.07009258986382179,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,scale_alpha_entropy,-0.4840476384574784,-0.2224091893797259,0.2282606217931129,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,scale_alpha_range,-0.08912870658135359,-0.03145655230178638,0.03573965528723312,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,b0_embedding_l2_norm,0.24900761226150264,0.21064067538713563,0.21064067538713563,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,0,seed0,b0_final_temporal_feature_l2_norm,-0.12782574738769964,-0.03076852428761932,0.10943827567235345,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,b0_top1_probability,0.007824872530444936,-0.015457575808668694,0.025841335329528904,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,b0_margin,0.00782439594106711,-0.015457775840169182,0.02584129845519345,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,b0_entropy,0.2140930687335117,0.17165200034687805,0.17165200034687803,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,b0_logit_l2_norm,0.02516614937294749,-0.04561221788133331,0.11354676340819267,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,candidate_top1_probability,-0.010506672850586578,-0.03295321795940519,0.032953217959405194,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,candidate_margin,-0.010506860473327054,-0.032953538804818605,0.032953538804818605,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,candidate_entropy,-0.2605434268742501,-0.26336231022727963,0.26336231022727963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,candidate_logit_l2_norm,-0.0878620704826228,0.12000029635743532,0.15514512455048446,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,top1_probability_difference,-0.012412243747159367,-0.013023035902060465,0.01814040681585219,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,margin_difference,-0.012412069651015455,-0.01302313256518092,0.018140481261350254,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,entropy_difference,-0.31927725843623395,-0.2952312646057969,0.29523126460579696,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,MECH,1,seed0,probability_L1_distance,-0.0026207786659479286,-0.03723628011886835,0.03723628011886835,1.0
