task,fold,subject,session,arm,label,trials,mean_P_distance,cosine_similarity,standardized_P_MSE,native_to_oracle_movement_recovery,movement_direction_agreement
OpenBMI_MI,3,14,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.5278182625770569,0.8809090256690979,0.1261705905199051,0.03734983876347542,0.1382327824831009
OpenBMI_MI,3,32,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0911823511123657,0.7870530486106873,0.6443817615509033,0.008097702637314796,0.1044749990105629
OpenBMI_MI,3,35,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7315695285797119,0.9359040260314941,0.24856221675872803,0.0729321613907814,0.29322659969329834
OpenBMI_MI,3,43,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4270305931568146,0.9244246482849121,0.08187341690063477,0.11228733509778976,0.34943535923957825
OpenBMI_MI,3,46,2,MARGIN_UPPER_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7382599711418152,0.8713259100914001,0.23291076719760895,0.02964308299124241,0.14442335069179535
OpenBMI_MI,3,8,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7025955319404602,0.8915839195251465,0.25389063358306885,0.02489318698644638,0.10924039036035538
OpenBMI_MI,3,14,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.5294995307922363,0.8815751075744629,0.12836620211601257,0.03657475486397743,0.12707793712615967
OpenBMI_MI,3,32,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0965288877487183,0.7848150730133057,0.6506549119949341,0.007408311124891043,0.10019528120756149
OpenBMI_MI,3,35,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.741844117641449,0.9355872273445129,0.25667428970336914,0.062172677367925644,0.2771275043487549
OpenBMI_MI,3,43,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4295535385608673,0.9241896867752075,0.08331897854804993,0.10907605290412903,0.362773597240448
OpenBMI_MI,3,46,2,CE_UPPER_LOGIT_ONLY,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7438397407531738,0.8719845414161682,0.2377001792192459,0.024747492745518684,0.12574604153633118
OpenBMI_MI,3,8,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6969438195228577,0.8935364484786987,0.24704131484031677,0.030886996537446976,0.11588017642498016
OpenBMI_MI,3,14,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.5278181433677673,0.8809091448783875,0.12617048621177673,0.03735007345676422,0.13823236525058746
OpenBMI_MI,3,32,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0911824703216553,0.7870530486106873,0.6443817019462585,0.008097932673990726,0.10447545349597931
OpenBMI_MI,3,35,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7315700650215149,0.9359039068222046,0.24856242537498474,0.0729319229722023,0.2932247817516327
OpenBMI_MI,3,43,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.4270305335521698,0.9244248270988464,0.0818733423948288,0.11228788644075394,0.3494355380535126
OpenBMI_MI,3,46,2,CE_UPPER_FULL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.7382599115371704,0.8713258504867554,0.23291069269180298,0.029643381014466286,0.14442533254623413
OpenBMI_MI,4,11,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6541546583175659,0.865885317325592,0.16086788475513458,0.01116676814854145,0.05466736853122711
OpenBMI_MI,4,15,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.0024945735931396,0.9047814011573792,0.4454168677330017,0.016716264188289642,0.13844746351242065
OpenBMI_MI,4,34,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,1.5521966218948364,0.8736773133277893,0.899444580078125,0.018325531855225563,0.10694330930709839
OpenBMI_MI,4,38,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.5125119686126709,0.8816928863525391,0.08001689612865448,0.041597794741392136,0.08124460279941559
OpenBMI_MI,4,48,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.8139910101890564,0.8486717343330383,0.2857755720615387,0.0025153683964163065,-0.0033801423851400614
OpenBMI_MI,4,52,2,CE_ONLY_CONTINUATION,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.5213401317596436,0.891234278678894,0.09300599992275238,0.05684037134051323,0.1341523379087448
OpenBMI_MI,4,11,2,TOP3_DISTILL,POST_HOC_DISCOVERY_DIAGNOSTIC,100,0.6257780194282532,0.8779714703559875,0.14425930380821228,0.023063691332936287,0.06966165453195572
