dataset,fold,model,mean_abs_logit,mean_logit_l2,mean_decision_margin,predictive_entropy,confidence,fraction_finite,class_ordering
WBCIC,2,CodeBrain+EEGNet,1.3138613672011221,2.0121207435317605,2.185558180967346,0.39980715080102497,0.8037047486015445,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,2,EEGNet+LiteBN,1.321357446653613,1.9598361267777806,2.456069680348349,0.3743678681103905,0.8117519085361106,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,EEGNet,1.1273353686252274,1.6948695982657949,2.08741079010537,0.3951913622639905,0.8097846414331032,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,LiteBN,1.4076958811900355,2.0234291459824147,2.79193671398083,0.3028323901595263,0.8656283509248884,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,EEGConformer,0.2966760316699993,0.46961226559542774,0.5132907047961297,0.6448269291246106,0.6173778368428465,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,EEGConformer+LiteBN,0.8015708788761783,1.1561686765248231,1.5856553452097222,0.45478468831873625,0.7854621263840518,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,EEGConformer+EEGNet,0.6390984700657584,0.9481467969392957,1.2371524293988818,0.5171099420067503,0.7365386762295111,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,CBraMod,0.49475828170168473,0.7091929611462333,0.9770801227383907,0.5660318456490967,0.6732076045688601,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,CBraMod+LiteBN,0.9053491464823827,1.294981683768647,1.800627332614836,0.4274128783105206,0.798286728297551,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,CBraMod+EEGNet,0.7740331642434906,1.1452671423157694,1.468268755172617,0.4822785518943189,0.7560343796375109,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,CodeBrain,1.2565817685923482,1.9920870460511992,2.1972050193710855,0.38121607042960276,0.824940009016822,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,CodeBrain+LiteBN,1.2067133738741154,1.7956854709130194,2.3270585898247598,0.35706803929174585,0.8378067817010705,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,CodeBrain+EEGNet,1.0326312742862367,1.5158392155135756,2.0343708269983902,0.39859085030206054,0.8144641092593531,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,3,EEGNet+LiteBN,1.2084713881722335,1.7535240292739864,2.3848310679516844,0.34939002265104596,0.8408377117468887,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,EEGNet,1.430518324538134,2.1415304182726556,2.5947971127089113,0.3452147937060092,0.8343907880186525,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,LiteBN,1.829002754589698,2.6224988982137414,3.6327684689949575,0.25556292015567467,0.8835646450596285,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,EEGConformer,2.434235499398783,3.6804584371510054,4.8056242532469335,0.23664913557858958,0.8924093911265878,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,EEGConformer+LiteBN,2.0286868406327754,2.945778494467823,4.024161107970091,0.2604403108054468,0.8798906421241823,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,EEGConformer+EEGNet,1.8225104728899897,2.6719191680985714,3.573449427348872,0.2917917360361709,0.8634049137329077,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,CBraMod,2.498230058296273,3.5416160792603297,4.996218985502297,0.2462754253652634,0.8832721186058999,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,CBraMod+LiteBN,2.0486780628499885,2.911504094133576,4.0896213149682925,0.26595155607157084,0.8751142657060946,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,CBraMod+EEGNet,1.848192495125501,2.6693648302331585,3.64287962362015,0.2952129256731688,0.8606889016501452,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,CodeBrain,2.2376122097614766,3.181335247274171,4.466942565979941,0.2346473922469473,0.8947168616677542,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,CodeBrain+LiteBN,1.902487670055513,2.7042357839369724,3.795913855668623,0.2613482207728273,0.8811745728998305,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,CodeBrain+EEGNet,1.7061282583050585,2.460787211885925,3.3578538468053254,0.29061684536824356,0.8644760935754268,1.0,"logit[0]=class0, logit[1]=class1"
WBCIC,4,EEGNet+LiteBN,1.5659074215800501,2.288497102883213,3.031353711502937,0.30302924530440156,0.8571002227368499,1.0,"logit[0]=class0, logit[1]=class1"
