scope,task,fold,subject_id,method,BA,macro_F1,accuracy,trials
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,23,B0_Exact_LiteBN,0.75,0.7442455242966752,0.75,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,23,C0_LiteBN_DualCE,0.75,0.7457023700539112,0.75,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,30,B0_Exact_LiteBN,0.69,0.6756982948007113,0.69,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,30,C0_LiteBN_DualCE,0.6799999999999999,0.6666666666666666,0.68,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,48,B0_Exact_LiteBN,0.64,0.6347402597402598,0.64,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,48,C0_LiteBN_DualCE,0.5700000000000001,0.5647332725984411,0.57,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,50,B0_Exact_LiteBN,0.65,0.6419437340153453,0.65,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,50,C0_LiteBN_DualCE,0.61,0.6010230179028133,0.61,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,52,B0_Exact_LiteBN,0.81,0.8084484323016433,0.81,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,52,C0_LiteBN_DualCE,0.74,0.7373737373737375,0.74,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,8,B0_Exact_LiteBN,0.8400000000000001,0.839421918908069,0.84,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,2,8,C0_LiteBN_DualCE,0.8400000000000001,0.839421918908069,0.84,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,10,B0_Exact_LiteBN,0.76,0.7599039615846338,0.76,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,10,C0_LiteBN_DualCE,0.8,0.7999199679871949,0.8,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,16,B0_Exact_LiteBN,0.89,0.8899889988998899,0.89,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,16,C0_LiteBN_DualCE,0.81,0.8099809980998101,0.81,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,19,B0_Exact_LiteBN,0.79,0.78997899789979,0.79,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,19,C0_LiteBN_DualCE,0.81,0.8098288459613652,0.81,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,22,B0_Exact_LiteBN,0.6699999999999999,0.6683750376846548,0.67,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,22,C0_LiteBN_DualCE,0.6799999999999999,0.677938808373591,0.68,100
POST_GATE_EXPLORATORY_C0,OpenBMI_MI,3,27,B0_Exact_LiteBN,0.9299999999999999,0.9299929992999301,0.93,100
