seed,fold,subject_id,kind,source,target,condition,auroc
0,3,21,cross_paradigm,mi,ssvep,raw,0.95989990234375
0,3,24,cross_paradigm,mi,ssvep,raw,0.9140625
0,3,27,cross_paradigm,mi,ssvep,raw,0.68133544921875
0,3,28,cross_paradigm,mi,ssvep,raw,0.53564453125
0,3,38,cross_paradigm,mi,ssvep,raw,0.69049072265625
0,3,41,cross_paradigm,mi,ssvep,raw,0.7252197265625
0,3,46,cross_paradigm,mi,ssvep,raw,0.81024169921875
0,3,9,cross_paradigm,mi,ssvep,raw,0.74200439453125
0,3,15,cross_paradigm,mi,ssvep,erase_UL,0.19305419921875
0,3,17,cross_paradigm,mi,ssvep,erase_UL,0.633544921875
0,3,20,cross_paradigm,mi,ssvep,erase_UL,0.61029052734375
