dataset,fold,seed,method,subject_id,BA,macro_F1,NLL,trials,inference_random_effect
WBCIC,1,2,GroupDRO,18,0.63,0.6288773539958374,0.6348555718367469,400,False
WBCIC,1,2,GroupDRO,27,0.54,0.5093333333333333,0.6981091745360143,400,False
WBCIC,1,2,GroupDRO,36,0.92,0.9199979999499988,0.3547304151779604,400,False
WBCIC,1,2,GroupDRO,44,0.7224999999999999,0.7223594444687623,0.5595649443246878,400,False
WBCIC,1,2,GroupDRO,45,0.865,0.8645903859174001,0.4290492385667488,400,False
WBCIC,1,2,ProspectiveOnly,2,0.6174999999999999,0.6168078591956722,0.6340845033833502,400,False
WBCIC,1,2,ProspectiveOnly,11,0.875,0.8749874987498749,0.4158780958888796,400,False
WBCIC,1,2,ProspectiveOnly,13,0.7375,0.7344310184570442,0.5447054500827453,400,False
WBCIC,1,2,ProspectiveOnly,18,0.6275,0.6264704592031788,0.6347961209316622,400,False
WBCIC,1,2,ProspectiveOnly,27,0.5325,0.49930049333627863,0.6984714869474848,400,False
WBCIC,1,2,ProspectiveOnly,36,0.92,0.91999199919992,0.3545689253801731,400,False
WBCIC,1,2,ProspectiveOnly,44,0.72,0.7198248905565978,0.5595706963618654,400,False
WBCIC,1,2,ProspectiveOnly,45,0.8625,0.8620438825868026,0.42906541817133986,400,False
WBCIC,1,2,RandomEffectOnly,2,0.6174999999999999,0.6168078591956722,0.6340888446888714,400,False
WBCIC,1,2,RandomEffectOnly,11,0.875,0.8749874987498749,0.4158562610803624,400,False
WBCIC,1,2,RandomEffectOnly,13,0.7375,0.7344310184570442,0.5446808947479064,400,False
WBCIC,1,2,RandomEffectOnly,18,0.625,0.6240601503759399,0.6347909800412576,400,False
WBCIC,1,2,RandomEffectOnly,27,0.5325,0.49930049333627863,0.6985003455692016,400,False
WBCIC,1,2,RandomEffectOnly,36,0.9175,0.9174871073605251,0.35453750799976375,400,False
WBCIC,1,2,RandomEffectOnly,44,0.72,0.7198248905565978,0.5595654437454981,400,False
WBCIC,1,2,RandomEffectOnly,45,0.8625,0.8620438825868026,0.42904889988377803,400,False
WBCIC,1,2,AdversarialMixed,2,0.6174999999999999,0.6168078591956722,0.6340788410897282,400,False
WBCIC,1,2,AdversarialMixed,11,0.875,0.8749874987498749,0.41551857592687996,400,False
WBCIC,1,2,AdversarialMixed,13,0.7375,0.7344310184570442,0.5445542247703261,400,False
WBCIC,1,2,AdversarialMixed,18,0.625,0.6240601503759399,0.6347685585170219,400,False
WBCIC,1,2,AdversarialMixed,27,0.5325,0.49930049333627863,0.6985572893518637,400,False
WBCIC,1,2,AdversarialMixed,36,0.9175,0.9174871073605251,0.3541420574670217,400,False
WBCIC,1,2,AdversarialMixed,44,0.72,0.7198248905565978,0.5594495688528608,400,False
WBCIC,1,2,AdversarialMixed,45,0.8625,0.8620438825868026,0.4287213638768945,400,False
WBCIC,1,2,PERSIST-RE,2,0.6174999999999999,0.6168078591956722,0.6340791362694533,400,False
WBCIC,1,2,PERSIST-RE,11,0.875,0.8749874987498749,0.4155248724073716,400,False
WBCIC,1,2,PERSIST-RE,13,0.7375,0.7344310184570442,0.5445455274584419,400,False
WBCIC,1,2,PERSIST-RE,18,0.625,0.6240601503759399,0.6347662034545757,400,False
WBCIC,1,2,PERSIST-RE,27,0.5325,0.49930049333627863,0.6985621884686972,400,False
WBCIC,1,2,PERSIST-RE,36,0.9175,0.9174871073605251,0.3541369851214435,400,False
WBCIC,1,2,PERSIST-RE,44,0.72,0.7198248905565978,0.5594492811532363,400,False
WBCIC,1,2,PERSIST-RE,45,0.8625,0.8620438825868026,0.42872575633296506,400,False
WBCIC,2,0,ERM,9,0.7175,0.7167192073151625,0.5641966617742153,400,False
WBCIC,2,0,ERM,22,0.7075,0.7061611969536199,0.5718816951506126,400,False
WBCIC,2,0,ERM,25,0.9,0.8999374609130707,0.4151869542202866,400,False
WBCIC,2,0,ERM,26,0.8771231155778895,0.8770818008638412,0.4196233299590424,399,False
WBCIC,2,0,ERM,29,0.7275,0.7274846710127445,0.5753582518528142,400,False
WBCIC,2,0,ERM,34,0.4425,0.44207807154160333,0.7718811799708806,400,False
WBCIC,2,0,ERM,35,0.975,0.975,0.2953178580376366,400,False
WBCIC,2,0,ERM,49,0.8600000000000001,0.8594941790445605,0.47400906558213995,400,False
WBCIC,2,0,SubjectBalancedERM,9,0.7175,0.7167192073151625,0.5642022007436881,400,False
WBCIC,2,0,SubjectBalancedERM,22,0.71,0.7087695513544726,0.5718721931846514,400,False
WBCIC,2,0,SubjectBalancedERM,25,0.9,0.8999374609130707,0.41518193242919366,400,False
WBCIC,2,0,SubjectBalancedERM,26,0.8771231155778895,0.8770818008638412,0.41961818264792966,399,False
WBCIC,2,0,SubjectBalancedERM,29,0.7275,0.7274846710127445,0.5753596171899933,400,False
WBCIC,2,0,SubjectBalancedERM,34,0.4425,0.44207807154160333,0.7718829609955564,400,False
WBCIC,2,0,SubjectBalancedERM,35,0.975,0.975,0.29531590681322556,400,False
WBCIC,2,0,SubjectBalancedERM,49,0.8600000000000001,0.8594941790445605,0.4740233667170668,400,False
WBCIC,2,0,Mixup,9,0.7175,0.7167192073151625,0.5646527105332528,400,False
WBCIC,2,0,Mixup,22,0.71,0.7083595223130107,0.5725261160104741,400,False
WBCIC,2,0,Mixup,25,0.9,0.8999374609130707,0.41668008765550524,400,False
WBCIC,2,0,Mixup,26,0.8796231155778895,0.8795714070124252,0.4210874920294981,399,False
WBCIC,2,0,Mixup,29,0.725,0.7249724972497249,0.5757254614376932,400,False
WBCIC,2,0,Mixup,34,0.44499999999999995,0.44450005004504056,0.7709470924709116,400,False
WBCIC,2,0,Mixup,35,0.975,0.975,0.29725814511202747,400,False
WBCIC,2,0,Mixup,49,0.8600000000000001,0.8594941790445605,0.47495201988738034,400,False
WBCIC,2,0,GroupDRO,9,0.7175,0.7167192073151625,0.564284879421816,400,False
WBCIC,2,0,GroupDRO,22,0.7125,0.7113725490196079,0.5718481510720196,400,False
WBCIC,2,0,GroupDRO,25,0.9,0.8999374609130707,0.4152578551333745,400,False
WBCIC,2,0,GroupDRO,26,0.8796356783919599,0.8796077445310535,0.4196992201546578,399,False
WBCIC,2,0,GroupDRO,29,0.7275,0.7274846710127445,0.5753967966559158,400,False
WBCIC,2,0,GroupDRO,34,0.4425,0.44207807154160333,0.7718237473051249,400,False
WBCIC,2,0,GroupDRO,35,0.9775,0.9774998593741211,0.295471661083894,400,False
WBCIC,2,0,GroupDRO,49,0.8600000000000001,0.8594941790445605,0.4742090552759376,400,False
WBCIC,2,0,ProspectiveOnly,9,0.7175,0.7167192073151625,0.5642290564469444,400,False
WBCIC,2,0,ProspectiveOnly,22,0.7075,0.7061611969536199,0.5719257459618657,400,False
WBCIC,2,0,ProspectiveOnly,25,0.9,0.8999374609130707,0.4152871943125986,400,False
WBCIC,2,0,ProspectiveOnly,26,0.8771231155778895,0.8770818008638412,0.4197240436950303,399,False
WBCIC,2,0,ProspectiveOnly,29,0.725,0.7249724972497249,0.575383050561651,400,False
WBCIC,2,0,ProspectiveOnly,34,0.4425,0.44207807154160333,0.7718114529805,400,False
WBCIC,2,0,ProspectiveOnly,35,0.975,0.975,0.2954515315340712,400,False
WBCIC,2,0,ProspectiveOnly,49,0.8600000000000001,0.8594941790445605,0.47407695379339443,400,False
WBCIC,2,0,RandomEffectOnly,9,0.7175,0.7167192073151625,0.5641971406400664,400,False
WBCIC,2,0,RandomEffectOnly,22,0.7075,0.7061611969536199,0.5718944387578858,400,False
WBCIC,2,0,RandomEffectOnly,25,0.9,0.8999374609130707,0.41520295519101114,400,False
WBCIC,2,0,RandomEffectOnly,26,0.8771231155778895,0.8770818008638412,0.41963915166878246,399,False
WBCIC,2,0,RandomEffectOnly,29,0.725,0.7249724972497249,0.5753609397943888,400,False
WBCIC,2,0,RandomEffectOnly,34,0.4425,0.44207807154160333,0.7718692397208337,400,False
WBCIC,2,0,RandomEffectOnly,35,0.975,0.975,0.29533490804150675,400,False
WBCIC,2,0,RandomEffectOnly,49,0.8600000000000001,0.8594941790445605,0.4740091034862376,400,False
WBCIC,2,0,AdversarialMixed,9,0.7175,0.7167192073151625,0.5642006447995788,400,False
WBCIC,2,0,AdversarialMixed,22,0.7075,0.7061611969536199,0.5718967317144529,400,False
WBCIC,2,0,AdversarialMixed,25,0.9,0.8999374609130707,0.4152098982488056,400,False
WBCIC,2,0,AdversarialMixed,26,0.8771231155778895,0.8770818008638412,0.41964856535378003,399,False
WBCIC,2,0,AdversarialMixed,29,0.725,0.7249724972497249,0.5753598942691444,400,False
WBCIC,2,0,AdversarialMixed,34,0.4425,0.44207807154160333,0.7718667630412079,400,False
WBCIC,2,0,AdversarialMixed,35,0.975,0.975,0.29535695737747125,400,False
WBCIC,2,0,AdversarialMixed,49,0.8600000000000001,0.8594941790445605,0.4740196787694104,400,False
WBCIC,2,0,PERSIST-RE,9,0.7175,0.7167192073151625,0.5641927481670334,400,False
WBCIC,2,0,PERSIST-RE,22,0.7075,0.7061611969536199,0.5718910364267928,400,False
WBCIC,2,0,PERSIST-RE,25,0.9,0.8999374609130707,0.4151945583572308,400,False
WBCIC,2,0,PERSIST-RE,26,0.8771231155778895,0.8770818008638412,0.41963073880017016,399,False
WBCIC,2,0,PERSIST-RE,29,0.725,0.7249724972497249,0.5753579284889176,400,False
WBCIC,2,0,PERSIST-RE,34,0.4425,0.44207807154160333,0.7718765955821251,400,False
WBCIC,2,0,PERSIST-RE,35,0.975,0.975,0.29532342353727714,400,False
WBCIC,2,0,PERSIST-RE,49,0.8600000000000001,0.8594941790445605,0.4739988841554153,400,False
WBCIC,2,1,ERM,9,0.7424999999999999,0.7419177018147194,0.554071457373589,400,False
WBCIC,2,1,ERM,22,0.7150000000000001,0.7137907659862921,0.588581361029594,400,False
WBCIC,2,1,ERM,25,0.8999999999999999,0.8998397435897436,0.41077465855087064,400,False
WBCIC,2,1,ERM,26,0.8623743718592964,0.8611471416368756,0.45341720955224674,399,False
WBCIC,2,1,ERM,29,0.7625,0.7604503533357289,0.5321972722329941,400,False
WBCIC,2,1,ERM,34,0.505,0.5013975976429704,0.7386921625628406,400,False
WBCIC,2,1,ERM,35,0.98,0.98,0.30409751121755957,400,False
WBCIC,2,1,ERM,49,0.8374999999999999,0.8356001542829321,0.5005131181651766,400,False
WBCIC,2,1,SubjectBalancedERM,9,0.7424999999999999,0.7419177018147194,0.5540713337487915,400,False
WBCIC,2,1,SubjectBalancedERM,22,0.7150000000000001,0.7137907659862921,0.5885814309347955,400,False
WBCIC,2,1,SubjectBalancedERM,25,0.8999999999999999,0.8998397435897436,0.4107745424192222,400,False
WBCIC,2,1,SubjectBalancedERM,26,0.8623743718592964,0.8611471416368756,0.453416877850764,399,False
WBCIC,2,1,SubjectBalancedERM,29,0.7625,0.7604503533357289,0.5321969927035637,400,False
WBCIC,2,1,SubjectBalancedERM,34,0.505,0.5013975976429704,0.7386919844001943,400,False
WBCIC,2,1,SubjectBalancedERM,35,0.98,0.98,0.30409753150083146,400,False
WBCIC,2,1,SubjectBalancedERM,49,0.8374999999999999,0.8356001542829321,0.5005126817659424,400,False
WBCIC,2,1,Mixup,9,0.7424999999999999,0.7419177018147194,0.5548617387745157,400,False
WBCIC,2,1,Mixup,22,0.7150000000000001,0.7137907659862921,0.5894051158183726,400,False
WBCIC,2,1,Mixup,25,0.8999999999999999,0.8998397435897436,0.4129783466029988,400,False
WBCIC,2,1,Mixup,26,0.8623743718592964,0.8611471416368756,0.45523342638554815,399,False
WBCIC,2,1,Mixup,29,0.7625,0.7604503533357289,0.5330295298278567,400,False
WBCIC,2,1,Mixup,34,0.505,0.5013975976429704,0.7376316968855187,400,False
WBCIC,2,1,Mixup,35,0.98,0.98,0.3070846829434519,400,False
WBCIC,2,1,Mixup,49,0.8374999999999999,0.8356001542829321,0.5019857381275499,400,False
WBCIC,2,1,GroupDRO,9,0.7424999999999999,0.7419177018147194,0.5541220868707794,400,False
WBCIC,2,1,GroupDRO,22,0.7150000000000001,0.7137907659862921,0.5886348701100129,400,False
WBCIC,2,1,GroupDRO,25,0.8999999999999999,0.8998397435897436,0.41091801914382925,400,False
WBCIC,2,1,GroupDRO,26,0.8623743718592964,0.8611471416368756,0.4535287038013999,399,False
WBCIC,2,1,GroupDRO,29,0.7625,0.7604503533357289,0.5322426046126943,400,False
WBCIC,2,1,GroupDRO,34,0.505,0.5013975976429704,0.7386199217184238,400,False
WBCIC,2,1,GroupDRO,35,0.98,0.98,0.3043094923950527,400,False
WBCIC,2,1,GroupDRO,49,0.8374999999999999,0.8356001542829321,0.5005806285578455,400,False
WBCIC,2,1,ProspectiveOnly,9,0.7424999999999999,0.7419177018147194,0.5540997826919262,400,False
