dataset,fold,seed,method,rank,lambda_R,lambda_P,center_e_norm,center_a_norm,center_e_mean_norm,center_a_mean_norm,random_effect_variance,random_effect_parameter_norm,subject_count,future_session_used
OpenBMI,2,0,ProspectiveOnly,1,0.001,0.5,0.10545822978019714,0.17201390862464905,0.0,1.1641532182693481e-10,0.0008284193463623524,0.23238345980644226,32,False
OpenBMI,2,0,RandomEffectOnly,1,0.001,0.5,0.1533232033252716,0.21868886053562164,2.3283064365386963e-10,9.404861334161296e-10,0.0015174467116594315,0.3406960666179657,32,False
OpenBMI,2,0,AdversarialMixed,1,0.001,0.5,0.1696750819683075,0.21929381787776947,4.656612873077393e-10,1.4399780257079442e-09,0.001692027784883976,0.35502883791923523,32,False
OpenBMI,2,0,PERSIST-RE,1,0.001,0.5,0.09510277211666107,0.23158089816570282,6.402842700481415e-10,5.206251540990081e-10,0.0011430245358496904,0.286350280046463,32,False
OpenBMI,2,1,ERM,1,0.001,0.5,0.11215085536241531,0.16271540522575378,1.7462298274040222e-10,3.4924596548080444e-10,0.0008259947644546628,0.23368524014949799,32,False
OpenBMI,2,1,SubjectBalancedERM,1,0.001,0.5,0.11488166451454163,0.15339936316013336,3.4924596548080444e-10,4.692851662824182e-10,0.0007992491591721773,0.23470991849899292,32,False
OpenBMI,2,1,Mixup,1,0.001,0.5,0.08007676899433136,0.16205552220344543,5.820766091346741e-10,5.206251540990081e-10,0.0006237050984054804,0.20807042717933655,32,False
OpenBMI,2,1,GroupDRO,1,0.001,0.5,0.09760548919439316,0.1573268473148346,2.9103830456733704e-10,3.148270810715559e-10,0.000700201781000942,0.2349419891834259,32,False
OpenBMI,2,1,ProspectiveOnly,1,0.001,0.5,0.10354094207286835,0.17079821228981018,2.3283064365386963e-10,2.3283064365386963e-10,0.0008088779868558049,0.23507139086723328,32,False
OpenBMI,2,1,RandomEffectOnly,1,0.001,0.5,0.138652503490448,0.24380046129226685,4.656612873077393e-10,1.4586798435800574e-09,0.0015636166790500283,0.35267379879951477,32,False
OpenBMI,2,1,AdversarialMixed,1,0.001,0.5,0.036139559000730515,0.2178056836128235,2.9103830456733704e-11,3.134578430152857e-10,0.0007951362058520317,0.24399694800376892,32,False
OpenBMI,2,1,PERSIST-RE,1,0.001,0.5,0.10617756098508835,0.220864400267601,2.3283064365386963e-10,6.187559353776351e-10,0.001137969782575965,0.2842915654182434,32,False
OpenBMI,2,2,ERM,1,0.001,0.5,0.12047296017408371,0.15552425384521484,1.1641532182693481e-10,1.0493535207434235e-10,0.0008521182462573051,0.22414422035217285,32,False
OpenBMI,2,2,SubjectBalancedERM,1,0.001,0.5,0.09746378660202026,0.14720627665519714,3.4924596548080444e-10,2.6031257704950406e-10,0.0006503887707367539,0.21169327199459076,32,False
OpenBMI,2,2,Mixup,1,0.001,0.5,0.0941617414355278,0.1664062887430191,2.3283064365386963e-10,1.8406878798948867e-10,0.0007255545351654291,0.2218748927116394,32,False
OpenBMI,2,2,GroupDRO,1,0.001,0.5,0.12022752314805984,0.14530014991760254,1.0477378964424133e-09,6.5854449671221e-10,0.0008013925980776548,0.21285749971866608,32,False
OpenBMI,2,2,ProspectiveOnly,1,0.001,0.5,0.11924460530281067,0.16213497519493103,1.1641532182693481e-10,7.809377033929366e-10,0.0008759521879255772,0.2315465807914734,32,False
OpenBMI,2,2,RandomEffectOnly,1,0.001,0.5,0.16727080941200256,0.21069908142089844,0.0,1.3015628852475203e-10,0.0016072334256023169,0.34604930877685547,32,False
OpenBMI,2,2,AdversarialMixed,1,0.001,0.5,0.12681464850902557,0.2120886892080307,2.3283064365386963e-10,5.206251540990081e-10,0.0012327666627243161,0.27788740396499634,32,False
OpenBMI,2,2,PERSIST-RE,1,0.001,0.5,0.1291876584291458,0.19749459624290466,2.3283064365386963e-10,5.820766091346741e-11,0.0011574823874980211,0.29710784554481506,32,False
OpenBMI,3,0,ERM,1,0.001,0.5,0.11692127585411072,0.16449064016342163,1.7462298274040222e-10,2.999954173965591e-10,0.0008704655338078737,0.2339959442615509,32,False
OpenBMI,3,0,SubjectBalancedERM,1,0.001,0.5,0.09496522694826126,0.16925792396068573,1.1641532182693481e-10,4.799926567322643e-10,0.0007456500316038728,0.22964437305927277,32,False
OpenBMI,3,0,Mixup,1,0.001,0.5,0.08530843257904053,0.15470732748508453,0.0,6.269156860305714e-10,0.000614669406786561,0.21913829445838928,32,False
