dataset,role,fold,seed,subject,method,recipe,alpha,BA,macro_F1,margin,CE,ECE,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_unchanged,oracle_label,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,0,47,previous_full_pda,upda_r1_l20.001_one_se,1.0,0.96,0.96,2.1411338908336344,0.22480015005660056,0.12248029960392369,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,persistent_ce,upda_r1_l20.001_one_se,1.0,0.94,0.9399759903961584,4.530350888155349,0.15984931132696786,0.031195807228170624,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,u_pda,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,2.06015438079834,0.2334073098876841,0.12897824696328003,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,eb_u_pda,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,2.06015438079834,0.2334073098876841,0.12897824696328003,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,random_gate,upda_r1_l20.001_one_se,0.25,0.96,0.96,2.677703507637592,0.1893102745508661,0.08456024730557227,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,correct_adapter,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,2.06015438079834,0.2334073098876841,0.12897824696328003,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,wrong_adapter,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,2.06015438079834,0.2334073098876841,0.12897824696328003,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,shuffled_adapter,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,2.06015438079834,0.2334073098876841,0.12897824696328003,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,47,oracle_alpha,upda_r1_l20.001_one_se,0.0,0.96,0.959983993597439,2.06015438079834,0.2334073098876841,0.12897824696328003,False,False,True,DIAGNOSTIC_UPPER_BOUND_ONLY,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,population,upda_r1_l20.001_one_se,0.0,0.74,0.7267759562841529,1.5186396789550782,0.606422841039143,0.11150411839951002,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,intercept_only,upda_r1_l20.001_one_se,1.0,0.81,0.8099809980998101,1.5186396789550787,0.4567778170228854,0.07681881971604229,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,ordinary_adapter,upda_r1_l20.001_one_se,1.0,0.5,0.3333333333333333,0.8223703275494019,1.9989748144677293,0.4801865632726969,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,previous_full_pda,upda_r1_l20.001_one_se,1.0,0.75,0.7479584635547938,0.9096749932013669,0.4721695393341088,0.08009163743069142,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,49,persistent_ce,upda_r1_l20.001_one_se,1.0,0.76,0.7519636213311285,1.367199745269265,0.5193652788576383,0.11119402387242489,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
