dataset,fold,seed,subject,correct_adapter,full_pda,ordinary_adapter,population,shuffled_adapter,wrong_adapter,full_pda_minus_population_future_BA,ordinary_adapter_minus_population_future_BA,correct_minus_wrong_future_BA,correct_minus_shuffled_future_BA,persistent_norm,transient_norm,persistent_transient_ratio,historical_crossfit_gain
OpenBMI,3,0,20,0.8,0.8,0.78,0.79,0.79,0.8,0.010000000000000009,-0.010000000000000009,0.0,0.010000000000000009,0.3298130354117437,0.0066201809502147,49.819338457968485,-0.55
OpenBMI,3,0,23,0.59,0.59,0.55,0.6,0.6,0.5900000000000001,-0.010000000000000009,-0.04999999999999993,-1.1102230246251565e-16,-0.010000000000000009,0.3631815859712203,0.0116650703779989,31.134110142721724,-0.54
OpenBMI,3,0,26,0.8,0.8,0.76,0.8,0.8,0.8,0.0,-0.040000000000000036,0.0,0.0,0.565939169059533,0.0334965059134629,16.89546875490887,-0.24
OpenBMI,3,0,35,0.81,0.81,0.8,0.79,0.79,0.79,0.020000000000000018,0.010000000000000009,0.020000000000000018,0.020000000000000018,0.7178276523654986,0.0041541227196686,172.79885569262808,-0.1499999999999999
OpenBMI,3,1,1,0.69,0.69,0.7,0.71,0.69,0.67,-0.020000000000000018,-0.010000000000000009,0.019999999999999907,0.0,0.5158679008803919,0.0418032294808343,12.340383919785523,-0.56
OpenBMI,3,1,5,0.77,0.77,0.77,0.8,0.73,0.74,-0.030000000000000027,-0.030000000000000027,0.030000000000000027,0.040000000000000036,0.6247362876190108,0.0172080924884971,36.30479601598015,-0.4399999999999999
OpenBMI,3,1,6,0.91,0.91,0.79,0.95,0.93,0.93,-0.039999999999999925,-0.15999999999999992,-0.020000000000000018,-0.020000000000000018,0.7235227664731803,0.0529389454443651,13.667117098763306,-0.4
OpenBMI,3,1,7,0.78,0.78,0.79,0.74,0.76,0.79,0.040000000000000036,0.050000000000000044,-0.010000000000000009,0.020000000000000018,0.4988848137871175,0.0008190741675641,609.0838089433724,-0.38
OpenBMI,3,1,20,0.82,0.82,0.83,0.85,0.74,0.82,-0.030000000000000027,-0.020000000000000018,0.0,0.07999999999999996,0.4950639995726617,0.0130960131601565,37.80264982314228,-0.6300000000000001
OpenBMI,3,1,23,0.6,0.6,0.65,0.62,0.6,0.58,-0.020000000000000018,0.030000000000000027,0.020000000000000018,0.0,0.629935373488482,0.0554030954075882,11.370039324593476,-0.48
OpenBMI,3,1,26,0.85,0.85,0.86,0.89,0.8300000000000001,0.85,-0.040000000000000036,-0.030000000000000027,0.0,0.019999999999999907,0.567313902701816,0.0723824001090716,7.837732678758123,-0.36
OpenBMI,3,1,35,0.86,0.86,0.8600000000000001,0.85,0.88,0.88,0.010000000000000009,0.01000000000000012,-0.020000000000000018,-0.020000000000000018,0.6965850361486375,0.016720542588745,41.660432515959336,-0.62
OpenBMI,3,2,1,0.69,0.69,0.64,0.7,0.69,0.58,-0.010000000000000009,-0.05999999999999994,0.10999999999999999,0.0,0.4129962125487886,0.0313177813040076,13.187275578041614,-0.6599999999999999
OpenBMI,3,2,5,0.6,0.6,0.69,0.68,0.66,0.61,-0.08000000000000007,0.009999999999999898,-0.010000000000000009,-0.06000000000000005,0.4281772859568188,0.0148629515080924,28.808361900641824,-0.65
