task,fold,subject_id,TFFormer_BA,LiteBN_BA,delta_pp
OpenBMI_ERP,2,25,0.7766666666666666,0.770909090909091,0.5757575757575628
OpenBMI_ERP,2,29,0.8542424242424242,0.8675757575757577,-1.333333333333342
OpenBMI_ERP,2,36,0.9654545454545455,0.9596969696969697,0.5757575757575739
OpenBMI_ERP,2,37,0.9609090909090909,0.9627272727272727,-0.1818181818181719
OpenBMI_ERP,2,39,0.6875757575757575,0.6696969696969697,1.7878787878787827
OpenBMI_ERP,2,42,0.7660606060606061,0.7721212121212121,-0.6060606060605989
OpenBMI_ERP,2,51,0.7166666666666666,0.7124242424242424,0.42424242424241587
OpenBMI_ERP,2,54,0.6645454545454546,0.6736363636363636,-0.9090909090909038
OpenBMI_ERP,3,4,0.9030303030303031,0.9039393939393939,-0.09090909090908594
OpenBMI_ERP,3,12,0.9612121212121212,0.9633333333333334,-0.21212121212121904
OpenBMI_ERP,3,13,0.9090909090909092,0.9066666666666667,0.24242424242424399
OpenBMI_ERP,3,17,0.8324242424242425,0.8227272727272728,0.9696969696969759
OpenBMI_ERP,3,18,0.9348484848484848,0.9327272727272727,0.21212121212120794
OpenBMI_ERP,3,24,0.8009090909090909,0.81,-0.909090909090915
OpenBMI_ERP,3,25,0.7951515151515152,0.7863636363636364,0.8787878787878789
OpenBMI_ERP,3,29,0.8524242424242424,0.8454545454545455,0.6969696969696959
OpenBMI_ERP,3,36,0.9524242424242424,0.9545454545454546,-0.21212121212121904
OpenBMI_ERP,3,37,0.9372727272727273,0.9378787878787879,-0.060606060606060996
OpenBMI_ERP,3,39,0.7078787878787879,0.7027272727272728,0.5151515151515129
OpenBMI_ERP,3,42,0.8333333333333334,0.8296969696969697,0.363636363636366
OpenBMI_ERP,3,51,0.7548484848484849,0.7487878787878788,0.60606060606061
OpenBMI_ERP,3,54,0.73,0.7133333333333334,1.6666666666666607
OpenBMI_ERP,4,4,0.907878787878788,0.9130303030303031,-0.5151515151515129
OpenBMI_ERP,4,12,0.9696969696969697,0.9681818181818183,0.15151515151514694
OpenBMI_ERP,4,13,0.9306060606060607,0.9206060606060606,1.0000000000000009
OpenBMI_ERP,4,17,0.8381818181818181,0.8345454545454545,0.363636363636366
OpenBMI_ERP,4,18,0.9048484848484848,0.9142424242424243,-0.939393939393951
OpenBMI_ERP,4,24,0.7893939393939393,0.8136363636363636,-2.4242424242424288
OpenBMI_ERP,4,25,0.8460606060606061,0.8166666666666667,2.9393939393939417
OpenBMI_ERP,4,29,0.8469696969696969,0.8400000000000001,0.6969696969696848
OpenBMI_ERP,4,36,0.9518181818181818,0.9551515151515151,-0.33333333333332993
OpenBMI_ERP,4,37,0.9463636363636363,0.9396969696969697,0.6666666666666599
OpenBMI_ERP,4,39,0.7290909090909091,0.7163636363636363,1.272727272727281
OpenBMI_ERP,4,42,0.8733333333333333,0.8651515151515151,0.8181818181818179
OpenBMI_ERP,4,51,0.7363636363636363,0.7290909090909091,0.7272727272727209
OpenBMI_ERP,4,54,0.6984848484848485,0.6633333333333333,3.5151515151515156
OpenBMI_MI,0,4,0.79,0.8,-1.0000000000000009
OpenBMI_MI,0,12,0.69,0.7,-1.0000000000000009
OpenBMI_MI,0,13,0.71,0.6799999999999999,3.0000000000000027
OpenBMI_MI,0,17,0.65,0.65,0.0
