model,task,fold,seed,subject_id,persistent_block,nonpersistent_block,block_rank,score_U_persistent,score_U_nonpersistent,Delta_future,Delta_worst
CBraMod,OpenBMI_ERP,0,2,24,5,7,4,0.029886662081882107,0.013885074818477698,0.15625,0.15625
CBraMod,OpenBMI_ERP,0,2,25,5,7,4,0.029886662081882107,0.013885074818477698,0.0,-0.015625
CBraMod,OpenBMI_ERP,0,2,29,5,7,4,0.029886662081882107,0.013885074818477698,0.109375,0.0625
CBraMod,OpenBMI_ERP,0,2,36,5,7,4,0.029886662081882107,0.013885074818477698,0.15625,0.078125
CBraMod,OpenBMI_ERP,0,2,37,5,7,4,0.029886662081882107,0.013885074818477698,0.046875,-0.03125
CBraMod,OpenBMI_ERP,0,2,39,5,7,4,0.029886662081882107,0.013885074818477698,0.015625,0.015625
CBraMod,OpenBMI_ERP,0,2,4,5,7,4,0.029886662081882107,0.013885074818477698,0.015625,-0.1875
CBraMod,OpenBMI_ERP,0,2,42,5,7,4,0.029886662081882107,0.013885074818477698,0.0625,0.09375
CBraMod,OpenBMI_ERP,0,2,51,5,7,4,0.029886662081882107,0.013885074818477698,0.078125,0.03125
CBraMod,OpenBMI_ERP,0,2,54,5,7,4,0.029886662081882107,0.013885074818477698,0.140625,0.109375
