model,task,fold,seed,status,block_id,block_rank,score_U,persistence_margin,persistence_pass,subject_id,future_BA,worst_BA
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,18,0.703125,0.6875
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,24,0.5625,0.5625
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,25,0.984375,0.75
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,29,0.546875,0.546875
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,36,0.84375,0.8125
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,37,0.640625,0.609375
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,39,0.75,0.75
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,42,0.59375,0.59375
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,51,0.703125,0.625
EEGNet,OpenBMI_MI,2,1,ESTIMABLE,3,4,0.12900000671304662,0.03693094323389232,True,54,0.6875,0.640625
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,4,0.71875,0.71875
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,12,0.515625,0.515625
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,13,0.703125,0.5625
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,17,0.484375,0.484375
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,18,0.5,0.5
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,24,0.53125,0.53125
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,25,0.9375,0.765625
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,29,0.609375,0.53125
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,36,0.671875,0.671875
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,37,0.59375,0.59375
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,39,0.609375,0.609375
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,42,0.59375,0.546875
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,51,0.609375,0.609375
EEGNet,OpenBMI_MI,2,2,ESTIMABLE,2,4,0.06659006590351753,0.0219631286803633,True,54,0.734375,0.59375
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,4,0.796875,0.734375
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,12,0.546875,0.546875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,13,0.65625,0.65625
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,17,0.46875,0.46875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,18,0.59375,0.59375
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,24,0.421875,0.421875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,25,0.9375,0.65625
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,29,0.5,0.5
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,36,0.78125,0.578125
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,37,0.5,0.5
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,39,0.546875,0.546875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,42,0.65625,0.65625
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,51,0.625,0.625
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,1,4,0.041635611057644864,0.07274854388087988,True,54,0.578125,0.53125
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,4,0.5625,0.4375
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,12,0.453125,0.453125
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,13,0.46875,0.46875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,17,0.625,0.625
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,18,0.46875,0.46875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,24,0.5625,0.5625
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,25,0.875,0.75
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,29,0.546875,0.4375
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,36,0.640625,0.546875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,37,0.578125,0.53125
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,39,0.453125,0.453125
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,42,0.421875,0.421875
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,51,0.59375,0.5625
EEGNet,OpenBMI_MI,3,0,ESTIMABLE,2,4,0.0074958932182831485,0.03407419309951366,True,54,0.609375,0.5625
EEGNet,OpenBMI_MI,3,1,ESTIMABLE,3,4,0.1130903789676234,0.03508648755960166,True,4,0.796875,0.703125
