task,model,subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,repeated_runs,protected_rank_mean,protected_rank_min,protected_rank_max
OpenBMI_SSVEP,TFFormer,42,0.6046666666666667,0.5253333333333333,0.5625466666666666,7.933333333333333,4.211999999999999,3.721333333333334,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,51,0.7766666666666667,0.6006666666666667,0.6977333333333333,17.6,7.893333333333335,9.706666666666665,15,4.533333333333333,0,8
OpenBMI_SSVEP,TFFormer,54,0.8786666666666666,0.7073333333333333,0.7938799999999999,17.133333333333326,8.478666666666662,8.654666666666664,15,4.533333333333333,0,8
WBCIC_MI,LiteBN,sub-10,0.8153333333333334,0.606,0.7860499999999999,20.93333333333333,2.9283333333333323,18.005,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-15,0.7443333333333334,0.551,0.70491,19.333333333333332,3.9423333333333335,15.391,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-20,0.5073333333333333,0.5036666666666666,0.5028266666666668,0.36666666666666775,0.45066666666666555,-0.08399999999999765,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-39,0.8183333333333334,0.6333333333333333,0.7906666666666666,18.5,2.766666666666667,15.733333333333333,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-4,0.6493333333333333,0.5346666666666666,0.6343433333333334,11.466666666666665,1.4989999999999972,9.967666666666668,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-40,0.8510000000000001,0.5813333333333334,0.8065033333333332,26.966666666666665,4.4496666666666735,22.516999999999992,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-43,0.9903333333333334,0.6453333333333333,0.9534866666666666,34.5,3.6846666666666703,30.81533333333333,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-46,0.962,0.629,0.9237433333333332,33.3,3.825666666666668,29.474333333333334,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-51,0.7896666666666667,0.5656666666666667,0.7713466666666666,22.4,1.8319999999999972,20.568,15,3.2666666666666666,1,4
WBCIC_MI,LiteBN,sub-8,0.9136666666666666,0.607,0.8687366666666667,30.666666666666668,4.492999999999997,26.173666666666673,15,3.2666666666666666,1,4
WBCIC_MI,TFFormer,sub-10,0.8170000000000001,0.6056666666666667,0.7832566666666666,21.133333333333333,3.374333333333334,17.759,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-15,0.7446666666666667,0.5436666666666666,0.7008233333333334,20.1,4.384333333333331,15.715666666666667,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-20,0.5036666666666666,0.5016666666666666,0.5025533333333334,0.200000000000001,0.11133333333332995,0.08866666666667088,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-39,0.8203333333333334,0.625,0.7864966666666666,19.53333333333334,3.383666666666666,16.14966666666667,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-4,0.6506666666666666,0.5256666666666666,0.6332966666666666,12.500000000000004,1.7370000000000019,10.763000000000002,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-40,0.8546666666666667,0.571,0.8060666666666666,28.366666666666667,4.860000000000004,23.50666666666666,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-43,0.991,0.6323333333333333,0.9453833333333334,35.86666666666667,4.5616666666666665,31.305,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-46,0.9653333333333334,0.6173333333333333,0.9194366666666667,34.8,4.589666666666663,30.210333333333335,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-51,0.7916666666666666,0.5579999999999999,0.76938,23.366666666666667,2.2286666666666664,21.138,15,3.3333333333333335,1,4
WBCIC_MI,TFFormer,sub-8,0.913,0.6016666666666667,0.8623866666666667,31.133333333333336,5.061333333333332,26.072000000000003,15,3.3333333333333335,1,4
