model,task,subject_id,session1_mean_BA,session2_mean_BA,session3_mean_BA_if_applicable,worst_session,WS_BA_subject
ModernTCN,OpenBMI_SSVEP,12,0.9900000000000001,0.9146666666666667,,S2,0.9146666666666667
ModernTCN,OpenBMI_SSVEP,13,0.826,0.6806666666666668,,S2,0.6806666666666668
ModernTCN,OpenBMI_SSVEP,17,0.8846666666666668,0.9113333333333333,,S1,0.8846666666666668
ModernTCN,OpenBMI_SSVEP,18,0.9760000000000002,0.9966666666666667,,S1,0.9760000000000002
ModernTCN,OpenBMI_SSVEP,24,0.8659999999999999,0.8553333333333334,,S2,0.8553333333333334
ModernTCN,OpenBMI_SSVEP,25,0.9800000000000002,0.9226666666666666,,S2,0.9226666666666666
ModernTCN,OpenBMI_SSVEP,29,0.8640000000000001,0.8979999999999998,,S1,0.8640000000000001
ModernTCN,OpenBMI_SSVEP,36,1.0,1.0,,S1,1.0
ModernTCN,OpenBMI_SSVEP,37,0.9693333333333335,0.9846666666666669,,S1,0.9693333333333335
ModernTCN,OpenBMI_SSVEP,39,0.9666666666666668,0.9506666666666667,,S2,0.9506666666666667
ModernTCN,OpenBMI_SSVEP,42,0.9786666666666668,0.512,,S2,0.512
ModernTCN,OpenBMI_SSVEP,51,0.46333333333333326,0.598,,S1,0.46333333333333326
ModernTCN,OpenBMI_SSVEP,54,0.5986666666666667,0.5940000000000001,,S2,0.5940000000000001
ModernTCN,WBCIC_MI,sub-4,0.49866666666666665,0.5436666666666666,0.6456666666666667,S1,0.49866666666666665
ModernTCN,WBCIC_MI,sub-8,0.7616666666666665,0.8366666666666666,0.8056666666666668,S1,0.7616666666666665
ModernTCN,WBCIC_MI,sub-10,0.6089999999999999,0.627,0.7456666666666666,S1,0.6089999999999999
ModernTCN,WBCIC_MI,sub-15,0.6846666666666666,0.6286666666666668,0.6069999999999999,S3,0.6069999999999999
ModernTCN,WBCIC_MI,sub-20,0.8629999999999999,0.7889999999999999,0.53,S3,0.53
ModernTCN,WBCIC_MI,sub-39,0.5546666666666666,0.7016666666666665,0.736,S1,0.5546666666666666
ModernTCN,WBCIC_MI,sub-40,0.7029999999999998,0.5836666666666666,0.6966666666666667,S2,0.5836666666666666
ModernTCN,WBCIC_MI,sub-43,0.9333333333333335,0.9090000000000001,0.896,S3,0.896
ModernTCN,WBCIC_MI,sub-46,0.8793333333333335,0.837,0.7510000000000001,S3,0.7510000000000001
ModernTCN,WBCIC_MI,sub-51,0.6806666666666665,0.7189999999999999,0.7330000000000001,S1,0.6806666666666665
Medformer,OpenBMI_MI,4,0.6066666666666667,0.7106666666666667,,S1,0.6066666666666667
Medformer,OpenBMI_MI,12,0.7313333333333335,0.668,,S2,0.668
Medformer,OpenBMI_MI,13,0.6659999999999999,0.6899999999999998,,S1,0.6659999999999999
Medformer,OpenBMI_MI,17,0.6540000000000001,0.572,,S2,0.572
Medformer,OpenBMI_MI,18,0.6333333333333334,0.5966666666666666,,S2,0.5966666666666666
Medformer,OpenBMI_MI,24,0.6473333333333334,0.61,,S2,0.61
Medformer,OpenBMI_MI,25,0.7859999999999999,0.9766666666666668,,S1,0.7859999999999999
Medformer,OpenBMI_MI,29,0.5399999999999999,0.584,,S1,0.5399999999999999
