task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,39,S1,RANDOM_BASIS_0,0.8,0.7987117552334944,0.45485949516296387,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,RANDOM_BASIS_1,0.8,0.7987117552334944,0.45528358221054077,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,RANDOM_BASIS_2,0.8,0.7987117552334944,0.4554082453250885,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,RANDOM_BASIS_3,0.8,0.7987117552334944,0.4553697109222412,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,39,S1,RANDOM_BASIS_4,0.8,0.7987117552334944,0.45507198572158813,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,BASELINE,0.72,0.7189883580891208,0.5610191822052002,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,PCA_POSITIVE_ONLY_ROUTING,0.73,0.7286704853783539,0.5700774192810059,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,SHUFFLED_UTILITY_ROUTING,0.74,0.7383252818035426,0.5600698590278625,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,PCA_SIGNED_UTILITY_ROUTING,0.73,0.7286704853783539,0.5700501203536987,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,RANDOM_BASIS_0,0.71,0.7092731829573935,0.5610747337341309,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,RANDOM_BASIS_1,0.72,0.7189883580891208,0.5611038208007812,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,RANDOM_BASIS_2,0.72,0.7189883580891208,0.5609163045883179,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,RANDOM_BASIS_3,0.72,0.7189883580891208,0.561110258102417,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,42,S1,RANDOM_BASIS_4,0.72,0.7189883580891208,0.5612776875495911,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,BASELINE,0.7,0.6989160979526294,0.5618537664413452,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,51,S1,PCA_POSITIVE_ONLY_ROUTING,0.7,0.6989160979526294,0.5651401281356812,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
